quest_id,file,source_node,target_node,npc_id
35023,src/main/resources/aion/data/static_data/quest_definition/quests/35023.xml,started,reward,799801
35044,src/main/resources/aion/data/static_data/quest_definition/quests/35044.xml,started,reward,799806
35049,src/main/resources/aion/data/static_data/quest_definition/quests/35049.xml,started,reward,799800
35049,src/main/resources/aion/data/static_data/quest_definition/quests/35049.xml,started,reward,799801
35050,src/main/resources/aion/data/static_data/quest_definition/quests/35050.xml,started,reward,799800
36502,src/main/resources/aion/data/static_data/quest_definition/quests/36502.xml,started,reward,799837
36502,src/main/resources/aion/data/static_data/quest_definition/quests/36502.xml,started,reward,799838
36508,src/main/resources/aion/data/static_data/quest_definition/quests/36508.xml,started,reward,799837
36508,src/main/resources/aion/data/static_data/quest_definition/quests/36508.xml,started,reward,799838
36521,src/main/resources/aion/data/static_data/quest_definition/quests/36521.xml,started,reward,799837
36521,src/main/resources/aion/data/static_data/quest_definition/quests/36521.xml,started,reward,799838
36523,src/main/resources/aion/data/static_data/quest_definition/quests/36523.xml,started,reward,799837
36523,src/main/resources/aion/data/static_data/quest_definition/quests/36523.xml,started,reward,799838
39604,src/main/resources/aion/data/static_data/quest_definition/quests/39604.xml,started,reward,800922
39604,src/main/resources/aion/data/static_data/quest_definition/quests/39604.xml,started,reward,800923
39609,src/main/resources/aion/data/static_data/quest_definition/quests/39609.xml,started,reward,800927
39609,src/main/resources/aion/data/static_data/quest_definition/quests/39609.xml,started,reward,800928
39613,src/main/resources/aion/data/static_data/quest_definition/quests/39613.xml,started,reward,800927
39613,src/main/resources/aion/data/static_data/quest_definition/quests/39613.xml,started,reward,800928
39713,src/main/resources/aion/data/static_data/quest_definition/quests/39713.xml,started,reward,800936
39713,src/main/resources/aion/data/static_data/quest_definition/quests/39713.xml,started,reward,800937
39713,src/main/resources/aion/data/static_data/quest_definition/quests/39713.xml,started,reward,800938
45016,src/main/resources/aion/data/static_data/quest_definition/quests/45016.xml,started,reward,799849
45023,src/main/resources/aion/data/static_data/quest_definition/quests/45023.xml,started,reward,799842
45023,src/main/resources/aion/data/static_data/quest_definition/quests/45023.xml,started,reward,799843
45035,src/main/resources/aion/data/static_data/quest_definition/quests/45035.xml,started,reward,799848
45036,src/main/resources/aion/data/static_data/quest_definition/quests/45036.xml,started,reward,799848
45037,src/main/resources/aion/data/static_data/quest_definition/quests/45037.xml,started,reward,799848
45038,src/main/resources/aion/data/static_data/quest_definition/quests/45038.xml,started,reward,799848
45043,src/main/resources/aion/data/static_data/quest_definition/quests/45043.xml,started,reward,799849
45044,src/main/resources/aion/data/static_data/quest_definition/quests/45044.xml,started,reward,799849
45049,src/main/resources/aion/data/static_data/quest_definition/quests/45049.xml,started,reward,799842
45049,src/main/resources/aion/data/static_data/quest_definition/quests/45049.xml,started,reward,799843
45050,src/main/resources/aion/data/static_data/quest_definition/quests/45050.xml,started,reward,799842
45050,src/main/resources/aion/data/static_data/quest_definition/quests/45050.xml,started,reward,799843
45051,src/main/resources/aion/data/static_data/quest_definition/quests/45051.xml,started,reward,799842
45051,src/main/resources/aion/data/static_data/quest_definition/quests/45051.xml,started,reward,799843
46502,src/main/resources/aion/data/static_data/quest_definition/quests/46502.xml,started,reward,799882
46502,src/main/resources/aion/data/static_data/quest_definition/quests/46502.xml,started,reward,799883
46508,src/main/resources/aion/data/static_data/quest_definition/quests/46508.xml,started,reward,799882
46508,src/main/resources/aion/data/static_data/quest_definition/quests/46508.xml,started,reward,799883
46514,src/main/resources/aion/data/static_data/quest_definition/quests/46514.xml,started,reward,799882
46514,src/main/resources/aion/data/static_data/quest_definition/quests/46514.xml,started,reward,799883
46520,src/main/resources/aion/data/static_data/quest_definition/quests/46520.xml,started,reward,799882
46520,src/main/resources/aion/data/static_data/quest_definition/quests/46520.xml,started,reward,799883
46522,src/main/resources/aion/data/static_data/quest_definition/quests/46522.xml,started,reward,799882
46522,src/main/resources/aion/data/static_data/quest_definition/quests/46522.xml,started,reward,799883
46523,src/main/resources/aion/data/static_data/quest_definition/quests/46523.xml,started,reward,799882
46523,src/main/resources/aion/data/static_data/quest_definition/quests/46523.xml,started,reward,799883
49600,src/main/resources/aion/data/static_data/quest_definition/quests/49600.xml,started,reward,800924
49604,src/main/resources/aion/data/static_data/quest_definition/quests/49604.xml,started,reward,800925
49604,src/main/resources/aion/data/static_data/quest_definition/quests/49604.xml,started,reward,800926
49607,src/main/resources/aion/data/static_data/quest_definition/quests/49607.xml,started,reward,800925
49607,src/main/resources/aion/data/static_data/quest_definition/quests/49607.xml,started,reward,800926
49609,src/main/resources/aion/data/static_data/quest_definition/quests/49609.xml,started,reward,800927
49609,src/main/resources/aion/data/static_data/quest_definition/quests/49609.xml,started,reward,800928
49609,src/main/resources/aion/data/static_data/quest_definition/quests/49609.xml,started,reward,800929
49612,src/main/resources/aion/data/static_data/quest_definition/quests/49612.xml,started,reward,800927
49612,src/main/resources/aion/data/static_data/quest_definition/quests/49612.xml,started,reward,800928
49612,src/main/resources/aion/data/static_data/quest_definition/quests/49612.xml,started,reward,800929
49613,src/main/resources/aion/data/static_data/quest_definition/quests/49613.xml,started,reward,800927
49613,src/main/resources/aion/data/static_data/quest_definition/quests/49613.xml,started,reward,800928
49613,src/main/resources/aion/data/static_data/quest_definition/quests/49613.xml,started,reward,800929
49615,src/main/resources/aion/data/static_data/quest_definition/quests/49615.xml,started,reward,800927
49615,src/main/resources/aion/data/static_data/quest_definition/quests/49615.xml,started,reward,800928
49615,src/main/resources/aion/data/static_data/quest_definition/quests/49615.xml,started,reward,800929
49700,src/main/resources/aion/data/static_data/quest_definition/quests/49700.xml,started,reward,800933
49706,src/main/resources/aion/data/static_data/quest_definition/quests/49706.xml,started,reward,800934
49706,src/main/resources/aion/data/static_data/quest_definition/quests/49706.xml,started,reward,800935
49707,src/main/resources/aion/data/static_data/quest_definition/quests/49707.xml,started,reward,800934
49707,src/main/resources/aion/data/static_data/quest_definition/quests/49707.xml,started,reward,800935
49710,src/main/resources/aion/data/static_data/quest_definition/quests/49710.xml,started,reward,800936
49710,src/main/resources/aion/data/static_data/quest_definition/quests/49710.xml,started,reward,800937
49710,src/main/resources/aion/data/static_data/quest_definition/quests/49710.xml,started,reward,800938
49711,src/main/resources/aion/data/static_data/quest_definition/quests/49711.xml,started,reward,800936
49711,src/main/resources/aion/data/static_data/quest_definition/quests/49711.xml,started,reward,800937
49711,src/main/resources/aion/data/static_data/quest_definition/quests/49711.xml,started,reward,800938
49712,src/main/resources/aion/data/static_data/quest_definition/quests/49712.xml,started,reward,800936
49712,src/main/resources/aion/data/static_data/quest_definition/quests/49712.xml,started,reward,800937
49712,src/main/resources/aion/data/static_data/quest_definition/quests/49712.xml,started,reward,800938
80135,src/main/resources/aion/data/static_data/quest_definition/quests/80135.xml,started,reward,830243
80141,src/main/resources/aion/data/static_data/quest_definition/quests/80141.xml,started,reward,830244
80143,src/main/resources/aion/data/static_data/quest_definition/quests/80143.xml,started,reward,830244
80145,src/main/resources/aion/data/static_data/quest_definition/quests/80145.xml,started,reward,830244
80147,src/main/resources/aion/data/static_data/quest_definition/quests/80147.xml,started,reward,830244
80149,src/main/resources/aion/data/static_data/quest_definition/quests/80149.xml,started,reward,830244
80207,src/main/resources/aion/data/static_data/quest_definition/quests/80207.xml,started,reward,799763
80211,src/main/resources/aion/data/static_data/quest_definition/quests/80211.xml,started,reward,799763
80255,src/main/resources/aion/data/static_data/quest_definition/quests/80255.xml,started,reward,831163
80256,src/main/resources/aion/data/static_data/quest_definition/quests/80256.xml,started,reward,831164
80467,src/main/resources/aion/data/static_data/quest_definition/quests/80467.xml,started,reward,831859
80546,src/main/resources/aion/data/static_data/quest_definition/quests/80546.xml,started,reward,831999
80550,src/main/resources/aion/data/static_data/quest_definition/quests/80550.xml,started,reward,831999
80848,src/main/resources/aion/data/static_data/quest_definition/quests/80848.xml,started,reward,833787
