quest,shape,stage,report_row,counters,stage_gates,reward_projection,kill_route_kinds,kill_route_targets,migration_repair,field_alignment_problems,monster_alignment_problems,noop_kill_routes,unresolved_monsters,verdict,html_steps,html_file,legacy_handler,legacy_var0_writes
1340,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,counter-grid,,False,,,,basilisk_27_an,COUNTER_CHAIN_OK,,,_13403Portal_Predictions.java,1;3;5;6;7
1343,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,shellizardnamed_31_an,COUNTER_CHAIN_OK,,,,
1346,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,kill-chain,k9,False,,,,basilisk_29_an,COUNTER_CHAIN_OK,,,_1346Killing_For_Castor.java,qs.getQuestVarById(0;qs.getQuestVarById(0
1347,COUNTER_CHAIN,,,SECTION_0<7;SECTION_1<3,SECTION_5==0,var0=7;var1=3,kill-chain,a0b3;a1b3;a2b3;a3b3;a4b3;a5b3;a6b3;a7b0;a7b1;a7b2;a7b3,False,,,,"neutl1_30_an,neutl1_32_an",COUNTER_CHAIN_OK,,,_1347Raiding_Klaw.java,
1348,COUNTER_CHAIN,,,SECTION_0<5,SECTION_5==0,var0=5,kill-chain,k5,False,,,,neutl2_32_an,COUNTER_CHAIN_OK,,,,
1349,COUNTER_CHAIN,,,SECTION_0<4,SECTION_5==0,var0=4,kill-chain,k4,False,,,,lf2_neut_spawner,COUNTER_CHAIN_OK,,,,
1350,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<3;SECTION_2<3,SECTION_5==0,var0=4;var1=3;var2=3,counter-grid,,False,,,,"catos_31_an,mimicre2_31_an,sheluk_30_an",COUNTER_CHAIN_OK,,,,
1352,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<3,SECTION_5==0,var0=5;var1=3,counter-grid,,False,,,,"5c_succubus_31_ae,5c_succubuspath_31_ae",COUNTER_CHAIN_OK,,,,
1357,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,kill-chain,k7,False,,,,dritonfield_33_an,COUNTER_CHAIN_OK,,,,
1365,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"elementalearth2_31_an,elementalearth3_31_an",COUNTER_CHAIN_OK,,,,
1370,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,lehparfinamed_34_ae,COUNTER_CHAIN_OK,,,_13700The_Unknown_Balaurea.java,qs.getQuestVarById(0;qs.getQuestVarById(0;1;qs.getQuestVarById(0;1;1;5;2;4
1376,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,kill-chain,k7,False,,,,cherubim2_35_n,COUNTER_CHAIN_OK,,,_1376AMountaineOfTrouble.java,1;1;1;1;1;1;1;1;1;1
1377,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<6,SECTION_5==0,var0=4;var1=6,counter-grid,,False,,,,"cherubim2_35_n,cherubim3_35_n",COUNTER_CHAIN_OK,,,_13770Central_Control.java,1
1379,COUNTER_CHAIN,,,SECTION_0<6;SECTION_1<4,SECTION_5==0,var0=6;var1=4,counter-grid,,False,,,,"drake_28_an,drake_30_an",COUNTER_CHAIN_OK,,,,
1380,COUNTER_CHAIN,,,SECTION_0<8,SECTION_5==0,var0=8,counter-grid,,False,,,,drakybaby_28_an,COUNTER_CHAIN_OK,,,_13800New_Lands_To_Behold.java,qs.getQuestVarById(0;4
1383,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,counter-grid,,False,,,,griffon_32_an,COUNTER_CHAIN_OK,,,_13830Stigma_101.java,1;1;1;1;1
1387,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,harpy_33_an,COUNTER_CHAIN_OK,,,_13870The_Enraged_Kysis_Guardian.java,1
1395,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<3;SECTION_2<5,SECTION_5==0,var0=2;var1=3;var2=5,counter-grid,,False,,,,"lehparwa_38_an,lehparworkerem_37_an,lehparworkerfm_38_an",COUNTER_CHAIN_OK,,,_13950Location_Of_The_Missing_Daevas.java,1;4;3;1;1;2;4;2;1;1;2;1;3;4;5;2
1396,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<3;SECTION_2<4;SECTION_3<1,SECTION_5==0,var0=2;var1=3;var2=4;var3=1,counter-grid,,False,,,,"lehparas_39_an,lehparkn_40_an,lehparpreist_39_an,lehparwizard_39_an",COUNTER_CHAIN_OK,,,_13960Evergale_Canyon_Operation_Support_Officer.java,1;1;1;2;1;3;1;1
1397,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"lehparassoldier_39_an,lehparfisoldier_38_an",COUNTER_CHAIN_OK,,,,
1400,COUNTER_CHAIN,,,SECTION_0<7;SECTION_1<3,SECTION_5==0,var0=7;var1=3,counter-grid,,False,,,,"troll_35_an,trollkin_35_an",COUNTER_CHAIN_OK,,,,
1401,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<2,SECTION_5==0,var0=3;var1=2,counter-grid,,False,,,,"troll_37_an,trollkin_37_an",COUNTER_CHAIN_OK,,,_14010Terrain_Of_The_Verteron_Fortress.java,1;1;2;1
1404,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,counter-grid,,False,,,,hellhound_35_an,COUNTER_CHAIN_OK,,,_14040Orders_From_Reshanta.java,var + 1;var + 1;var + 1;var + 6;var + 1;var + 1;var + 1;qs.getQuestVarById(0;var + 1;var + 1;var + 1;var + 1;12;var + 1;var + 1;var + 1;var + 1;var + 1;5;1;2;3;4;5;6;3
1406,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,counter-grid,,False,,,,tauricre_36_an,COUNTER_CHAIN_OK,,,,
1407,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,tauricrenamed_37_an,COUNTER_CHAIN_OK,,,,
1409,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,counter-grid,,False,,,,browniemwa_37_an,COUNTER_CHAIN_OK,,,,
1418,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<3;SECTION_2<3,SECTION_5==0,var0=3;var1=3;var2=3,kill-routes,a0b0c1;a0b0c2;a0b0c3;a0b1c0;a0b1c1;a0b1c2;a0b1c3;a0b2c0;a0b2c1;a0b2c2;a0b2c3;a0b3c0;a0b3c1;a0b3c2;a0b3c3;a1b0c0;a1b0c1;a1b0c2;a1b0c3;a1b1c0;a1b1c1;a1b1c2;a1b1c3;a1b2c0;a1b2c1;a1b2c2;a1b2c3;a1b3c0;a1b3c1;a1b3c2;a1b3c3;a2b0c0;a2b0c1;a2b0c2;a2b0c3;a2b1c0;a2b1c1;a2b1c2;a2b1c3;a2b2c0;a2b2c1;a2b2c2;a2b2c3;a2b3c0;a2b3c1;a2b3c2;a2b3c3;a3b0c0;a3b0c1;a3b0c2;a3b0c3;a3b1c0;a3b1c1;a3b1c2;a3b1c3;a3b2c0;a3b2c1;a3b2c2;a3b2c3;a3b3c0;a3b3c1;a3b3c2;a3b3c3,False,,,kill-routes-only,"lupyllini_19_n,mandurib_21_an,mandurit_21_an",COUNTER_CHAIN_OK,,,,
1421,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,frillfaimamfemale_21_an,COUNTER_CHAIN_OK,,,_14211Empyrean_Scribe.java,
1427,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,kill-routes;transition,a0b1;a0b2;a0b3;a0b4;a0b5;a1b0;a1b1;a1b2;a1b3;a1b4;a1b5;a2b0;a2b1;a2b2;a2b3;a2b4;a2b5;a3b0;a3b1;a3b2;a3b3;a3b4;a3b5;a4b0;a4b1;a4b2;a4b3;a4b4;a4b5;a5b0;a5b1;a5b2;a5b3;a5b4;a5b5,False,,,,"elementalearth2_21_an,vespa_21_n",COUNTER_CHAIN_OK,,,,
1470,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,firesanctuaryqueenboss_37_ae,COUNTER_CHAIN_OK,,,_1470HannetsVengeance.java,var + 1
1474,COUNTER_CHAIN,,,SECTION_0<1;SECTION_1<1,SECTION_5==0,var0=1;var1=1,counter-grid,,False,,,,"lehparasnamed_40_ae,lehparelementalnamed_40_ae",COUNTER_CHAIN_OK,,,,
1476,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,counter-grid,,False,,,,frillfaimammale_22_an,COUNTER_CHAIN_OK,,,,
1477,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"mandurib_23_an,mandurit_23_an",COUNTER_CHAIN_OK,,,,
1485,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,manduritnamedq_23_an,COUNTER_CHAIN_OK,,,,
1488,COUNTER_CHAIN,,,SECTION_0<1;SECTION_1<1;SECTION_2<1,SECTION_5==0,var0=1;var1=1;var2=1,counter-grid,,False,,,,"curesnamedq1_25_an,curesnamedq2_24_an,curesnamedq3_23_an",COUNTER_CHAIN_OK,,,,
1497,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<5,SECTION_5==0,var0=3;var1=5,counter-grid,,False,,,,"krallscouthk_new_28_ae,rec_krallrangerk_new_29_ae",COUNTER_CHAIN_OK,,,,
1501,COUNTER_CHAIN,,,SECTION_0<5,SECTION_5==0,var0=5,kill-chain,k5,False,,,,ettin_30_an,COUNTER_CHAIN_OK,,,_15010Grabbin_Grub.java,
1507,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<5,SECTION_5==0,var0=3;var1=5,counter-grid,,False,,,,"kalnifre_30_an,zaif2_31_an",COUNTER_CHAIN_OK,,,_15070Shelling_Out_Crystals.java,1;1;1
1517,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<6,SECTION_5==0,var0=4;var1=6,counter-grid,,False,,,,"idlf3ci_kea_nagakn_46_ae,idlf3ci_wea_nagawi_46_ae",COUNTER_CHAIN_OK,,,,
1521,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,kill-chain,k7,False,,,,cherubim3_32_an,COUNTER_CHAIN_OK,,,,
1522,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,kill-chain,k7,False,,,,cherubim4_33_an,COUNTER_CHAIN_OK,,,,
1525,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,kill-chain,k10,False,,,,agrint_34_an,COUNTER_CHAIN_OK,,,,
1529,COUNTER_CHAIN,,,SECTION_0<5,SECTION_5==0,var0=5,kill-chain,k5,False,,,,zombie_34_an,COUNTER_CHAIN_OK,,,,
1531,COUNTER_CHAIN,,,SECTION_0<7,SECTION_5==0,var0=7,kill-chain,k7,False,,,,trollre_34_an,COUNTER_CHAIN_OK,,,,
1536,COUNTER_CHAIN,,,SECTION_0<6;SECTION_1<3,SECTION_5==0,var0=6;var1=3,counter-grid,,False,,,,"elementalearth2_34_an,elementalearth2_35_an",COUNTER_CHAIN_OK,,,,
1542,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,frillfaimam1st_37_an,COUNTER_CHAIN_OK,,,_15420Protect_Wildersage_Artifact_Outpost.java,1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6
1546,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"neuth1_38_an,neutl1_37_an",COUNTER_CHAIN_OK,,,_15464Protect_Redemption_Landing.java,
1548,COUNTER_CHAIN,,,SECTION_0<5,SECTION_5==0,var0=5,kill-chain,k5,False,,,,lf3_neutspawner_q1053,COUNTER_CHAIN_OK,,,_1548KlawControl.java,var + 1;var + 1;1;2
1551,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"manduribre_39_an,manduritre_39_an",COUNTER_CHAIN_OK,,,_15510Behind_Enemy_Lines.java,1;1;1;1;1;1;1
1557,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<2;SECTION_2<2;SECTION_3<2,SECTION_5==0,var0=2;var1=2;var2=2;var3=2,kill-routes,a0b0c0d1;a0b0c0d2;a0b0c1d0;a0b0c1d1;a0b0c1d2;a0b0c2d0;a0b0c2d1;a0b0c2d2;a0b1c0d0;a0b1c0d1;a0b1c0d2;a0b1c1d0;a0b1c1d1;a0b1c1d2;a0b1c2d0;a0b1c2d1;a0b1c2d2;a0b2c0d0;a0b2c0d1;a0b2c0d2;a0b2c1d0;a0b2c1d1;a0b2c1d2;a0b2c2d0;a0b2c2d1;a0b2c2d2;a1b0c0d0;a1b0c0d1;a1b0c0d2;a1b0c1d0;a1b0c1d1;a1b0c1d2;a1b0c2d0;a1b0c2d1;a1b0c2d2;a1b1c0d0;a1b1c0d1;a1b1c0d2;a1b1c1d0;a1b1c1d1;a1b1c1d2;a1b1c2d0;a1b1c2d1;a1b1c2d2;a1b2c0d0;a1b2c0d1;a1b2c0d2;a1b2c1d0;a1b2c1d1;a1b2c1d2;a1b2c2d0;a1b2c2d1;a1b2c2d2;a2b0c0d0;a2b0c0d1;a2b0c0d2;a2b0c1d0;a2b0c1d1;a2b0c1d2;a2b0c2d0;a2b0c2d1;a2b0c2d2;a2b1c0d0;a2b1c0d1;a2b1c0d2;a2b1c1d0;a2b1c1d1;a2b1c1d2;a2b1c2d0;a2b1c2d1;a2b1c2d2;a2b2c0d0;a2b2c0d1;a2b2c0d2;a2b2c1d0;a2b2c1d1;a2b2c1d2;a2b2c2d0;a2b2c2d1;a2b2c2d2,False,,,kill-routes-only,"neuth1_38_an,neuth2_38_an,neutl1_37_an,neutl2_37_an",COUNTER_CHAIN_OK,,,_15570Klaw_Hunting_In_The_Dark.java,1;1;1;1;1;1;1;1;1;1
1558,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<3;SECTION_2<3,SECTION_5==0,var0=3;var1=3;var2=3,kill-routes;transition,a0b0c1;a0b0c2;a0b0c3;a0b1c0;a0b1c1;a0b1c2;a0b1c3;a0b2c0;a0b2c1;a0b2c2;a0b2c3;a0b3c0;a0b3c1;a0b3c2;a0b3c3;a1b0c0;a1b0c1;a1b0c2;a1b0c3;a1b1c0;a1b1c1;a1b1c2;a1b1c3;a1b2c0;a1b2c1;a1b2c2;a1b2c3;a1b3c0;a1b3c1;a1b3c2;a1b3c3;a2b0c0;a2b0c1;a2b0c2;a2b0c3;a2b1c0;a2b1c1;a2b1c2;a2b1c3;a2b2c0;a2b2c1;a2b2c2;a2b2c3;a2b3c0;a2b3c1;a2b3c2;a2b3c3;a3b0c0;a3b0c1;a3b0c2;a3b0c3;a3b1c0;a3b1c1;a3b1c2;a3b1c3;a3b2c0;a3b2c1;a3b2c2;a3b2c3;a3b3c0;a3b3c1;a3b3c2;a3b3c3,False,,,,"frillfaimam2st_39_an,frillfaimamnm2st_39_an,frillfaimamre2st_39_an",COUNTER_CHAIN_OK,,,_15580Research_And_Destroy.java,
1565,COUNTER_CHAIN,,,SECTION_0<6;SECTION_1<4,SECTION_5==0,var0=6;var1=4,counter-grid,,False,,,,"banshee_37_an,bookie_36_an",COUNTER_CHAIN_OK,,,,
1567,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<4;SECTION_2<6,SECTION_5==0,var0=4;var1=4;var2=6,counter-grid,,False,,,,"agrint_36_an,agrintbaby_35_an,rottentree_36_an",COUNTER_CHAIN_OK,,,_15670Investigating_The_Archon_Howitzer_Invasion.java,1;1;1;2;3
1570,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<6,SECTION_5==0,var0=4;var1=6,kill-chain;kill-routes,a0b6;a1b0;a1b1;a1b2;a1b3;a1b4;a1b5;a1b6;a2b0;a2b1;a2b2;a2b3;a2b4;a2b5;a2b6;a3b0;a3b1;a3b2;a3b3;a3b4;a3b5;a3b6;a4b0;a4b1;a4b2;a4b3;a4b4;a4b5;a4b6,False,,,,"zombie_38_an,zombie_40_an",COUNTER_CHAIN_OK,,,_15700.java,1;1;1;1;1;1;1;1;1;1
1571,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,kill-chain,k10,False,,,,rottentree_34_an,COUNTER_CHAIN_OK,,,_15710.java,
1572,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,kill-chain,k10,False,,,,xipetomove_36_an,COUNTER_CHAIN_OK,,,,
1575,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<7,SECTION_5==0,var0=3;var1=7,counter-grid,,False,,,,"octasidere_35_an,slimere_36_an",COUNTER_CHAIN_OK,,,,
1577,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<2;SECTION_2<2;SECTION_3<2,SECTION_5==0,var0=2;var1=2;var2=2;var3=2,kill-routes;transition,a0b0c0d1;a0b0c0d2;a0b0c1d0;a0b0c1d1;a0b0c1d2;a0b0c2d0;a0b0c2d1;a0b0c2d2;a0b1c0d0;a0b1c0d1;a0b1c0d2;a0b1c1d0;a0b1c1d1;a0b1c1d2;a0b1c2d0;a0b1c2d1;a0b1c2d2;a0b2c0d0;a0b2c0d1;a0b2c0d2;a0b2c1d0;a0b2c1d1;a0b2c1d2;a0b2c2d0;a0b2c2d1;a0b2c2d2;a1b0c0d0;a1b0c0d1;a1b0c0d2;a1b0c1d0;a1b0c1d1;a1b0c1d2;a1b0c2d0;a1b0c2d1;a1b0c2d2;a1b1c0d0;a1b1c0d1;a1b1c0d2;a1b1c1d0;a1b1c1d1;a1b1c1d2;a1b1c2d0;a1b1c2d1;a1b1c2d2;a1b2c0d0;a1b2c0d1;a1b2c0d2;a1b2c1d0;a1b2c1d1;a1b2c1d2;a1b2c2d0;a1b2c2d1;a1b2c2d2;a2b0c0d0;a2b0c0d1;a2b0c0d2;a2b0c1d0;a2b0c1d1;a2b0c1d2;a2b0c2d0;a2b0c2d1;a2b0c2d2;a2b1c0d0;a2b1c0d1;a2b1c0d2;a2b1c1d0;a2b1c1d1;a2b1c1d2;a2b1c2d0;a2b1c2d1;a2b1c2d2;a2b2c0d0;a2b2c0d1;a2b2c0d2;a2b2c1d0;a2b2c1d1;a2b2c1d2;a2b2c2d0;a2b2c2d1;a2b2c2d2,False,,,,"bat_36_an,catosre_36_an,mudthorn_36_an,slime_36_an",COUNTER_CHAIN_OK,,,,
1581,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,spectrenamedq_41_an,COUNTER_CHAIN_OK,,,,
1583,COUNTER_CHAIN,,,SECTION_0<7;SECTION_1<1,SECTION_5==0,var0=7;var1=1,counter-grid,,False,,,,"bansheenamedq_40_an,bookie_38_an",COUNTER_CHAIN_OK,,,,
1584,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<2,SECTION_5==0,var0=2;var1=2,counter-grid,,False,,,,"undeadlightficn_41_an,undeadlightwicn_41_an",COUNTER_CHAIN_OK,,,,
1587,COUNTER_CHAIN,,,SECTION_0<9;SECTION_1<1,SECTION_5==0,var0=9;var1=1,counter-grid,,False,,,,"graveknight_44_an,lich_45_an",COUNTER_CHAIN_OK,,,,
1590,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,skeleton_41_an,COUNTER_CHAIN_OK,,,,
1593,COUNTER_CHAIN,,,SECTION_0<2;SECTION_1<1;SECTION_2<1;SECTION_3<1;SECTION_4<1,SECTION_5==0,var0=2;var1=1;var2=1;var3=1;var4=1,counter-grid,,False,,,,"labm_fellial_40_an,labm_slime_40_an,labpo_lockedkuillus_40_an,labr_lockagrint_41_an,labr_lockzombie_41_an",COUNTER_CHAIN_OK,,,,
