quest_id,file,source,target,npc_id,action_id,action_name,kind
2641,src/main/resources/aion/data/static_data/quest_definition/quests/2641.xml,started,reward,204796,10000,SETPRO1,REWARD_SHORTHAND
2641,src/main/resources/aion/data/static_data/quest_definition/quests/2641.xml,started,reward,204798,10000,SETPRO1,REWARD_SHORTHAND
2641,src/main/resources/aion/data/static_data/quest_definition/quests/2641.xml,started,reward,204817,10000,SETPRO1,REWARD_SHORTHAND
2653,src/main/resources/aion/data/static_data/quest_definition/quests/2653.xml,started,reward,204650,10000,SETPRO1,REWARD_SHORTHAND
2653,src/main/resources/aion/data/static_data/quest_definition/quests/2653.xml,started,reward,204655,10000,SETPRO1,REWARD_SHORTHAND
2724,src/main/resources/aion/data/static_data/quest_definition/quests/2724.xml,started,reward,278002,10000,SETPRO1,REWARD_SHORTHAND
2724,src/main/resources/aion/data/static_data/quest_definition/quests/2724.xml,started,reward,278014,10000,SETPRO1,REWARD_SHORTHAND
2724,src/main/resources/aion/data/static_data/quest_definition/quests/2724.xml,started,reward,278089,10000,SETPRO1,REWARD_SHORTHAND
2962,src/main/resources/aion/data/static_data/quest_definition/quests/2962.xml,started,reward,204253,10001,SETPRO2,REWARD_SHORTHAND
2962,src/main/resources/aion/data/static_data/quest_definition/quests/2962.xml,started,reward,278067,10001,SETPRO2,REWARD_SHORTHAND
2962,src/main/resources/aion/data/static_data/quest_definition/quests/2962.xml,started,reward,278137,10001,SETPRO2,REWARD_SHORTHAND
3088,src/main/resources/aion/data/static_data/quest_definition/quests/3088.xml,started,reward,798132,10001,SETPRO2,REWARD_SHORTHAND
3088,src/main/resources/aion/data/static_data/quest_definition/quests/3088.xml,started,reward,798166,10001,SETPRO2,REWARD_SHORTHAND
3088,src/main/resources/aion/data/static_data/quest_definition/quests/3088.xml,started,reward,798201,10001,SETPRO2,REWARD_SHORTHAND
3088,src/main/resources/aion/data/static_data/quest_definition/quests/3088.xml,started,reward,798202,10001,SETPRO2,REWARD_SHORTHAND
3088,src/main/resources/aion/data/static_data/quest_definition/quests/3088.xml,started,reward,798204,10001,SETPRO2,REWARD_SHORTHAND
3319,src/main/resources/aion/data/static_data/quest_definition/quests/3319.xml,started,reward,798050,10000,SETPRO1,REWARD_SHORTHAND
3319,src/main/resources/aion/data/static_data/quest_definition/quests/3319.xml,started,reward,798138,10000,SETPRO1,REWARD_SHORTHAND
3329,src/main/resources/aion/data/static_data/quest_definition/quests/3329.xml,a4b6,reward,203909,10000,SETPRO1,REWARD_SHORTHAND
4011,src/main/resources/aion/data/static_data/quest_definition/quests/4011.xml,started,reward,730139,10001,SETPRO2,REWARD_SHORTHAND
4501,src/main/resources/aion/data/static_data/quest_definition/quests/4501.xml,started,reward,204340,10000,SETPRO1,REWARD_SHORTHAND
4501,src/main/resources/aion/data/static_data/quest_definition/quests/4501.xml,started,reward,204348,10000,SETPRO1,REWARD_SHORTHAND
4501,src/main/resources/aion/data/static_data/quest_definition/quests/4501.xml,started,reward,204728,10000,SETPRO1,REWARD_SHORTHAND
4542,src/main/resources/aion/data/static_data/quest_definition/quests/4542.xml,started,reward,204743,10001,SETPRO2,REWARD_SHORTHAND
4542,src/main/resources/aion/data/static_data/quest_definition/quests/4542.xml,started,reward,204768,10001,SETPRO2,REWARD_SHORTHAND
4542,src/main/resources/aion/data/static_data/quest_definition/quests/4542.xml,started,reward,204808,10001,SETPRO2,REWARD_SHORTHAND
4966,src/main/resources/aion/data/static_data/quest_definition/quests/4966.xml,started,reward,798068,10000,SETPRO1,REWARD_SHORTHAND
4966,src/main/resources/aion/data/static_data/quest_definition/quests/4966.xml,started,reward,798385,10000,SETPRO1,REWARD_SHORTHAND
11012,src/main/resources/aion/data/static_data/quest_definition/quests/11012.xml,started,reward,799071,10001,SETPRO2,REWARD_SHORTHAND
11012,src/main/resources/aion/data/static_data/quest_definition/quests/11012.xml,started,reward,799072,10001,SETPRO2,REWARD_SHORTHAND
11012,src/main/resources/aion/data/static_data/quest_definition/quests/11012.xml,started,reward,799073,10001,SETPRO2,REWARD_SHORTHAND
11012,src/main/resources/aion/data/static_data/quest_definition/quests/11012.xml,started,reward,799074,10001,SETPRO2,REWARD_SHORTHAND
11068,src/main/resources/aion/data/static_data/quest_definition/quests/11068.xml,started,reward,799025,10000,SETPRO1,REWARD_SHORTHAND
11072,src/main/resources/aion/data/static_data/quest_definition/quests/11072.xml,started,reward,798937,10000,SETPRO1,REWARD_SHORTHAND
11139,src/main/resources/aion/data/static_data/quest_definition/quests/11139.xml,started,reward,799075,10000,SETPRO1,REWARD_SHORTHAND
11323,src/main/resources/aion/data/static_data/quest_definition/quests/11323.xml,started,s1,702725,10001,SETPRO2,EXPLICIT
11455,src/main/resources/aion/data/static_data/quest_definition/quests/11455.xml,started,reward,799070,10000,SETPRO1,REWARD_SHORTHAND
11458,src/main/resources/aion/data/static_data/quest_definition/quests/11458.xml,started,reward,798953,10000,SETPRO1,REWARD_SHORTHAND
13700,src/main/resources/aion/data/static_data/quest_definition/quests/13700.xml,started,reward,804699,10000,SETPRO1,REWARD_SHORTHAND
13701,src/main/resources/aion/data/static_data/quest_definition/quests/13701.xml,started,reward,798926,10000,SETPRO1,REWARD_SHORTHAND
13702,src/main/resources/aion/data/static_data/quest_definition/quests/13702.xml,k4,reward,802350,10000,SETPRO1,REWARD_SHORTHAND
14123,src/main/resources/aion/data/static_data/quest_definition/quests/14123.xml,report,reward,203933,10000,SETPRO1,EXPLICIT
14123,src/main/resources/aion/data/static_data/quest_definition/quests/14123.xml,report,reward,203991,10000,SETPRO1,EXPLICIT
14152,src/main/resources/aion/data/static_data/quest_definition/quests/14152.xml,k1,reward,203705,10000,SETPRO1,REWARD_SHORTHAND
14152,src/main/resources/aion/data/static_data/quest_definition/quests/14152.xml,k1,reward,204504,10000,SETPRO1,REWARD_SHORTHAND
14152,src/main/resources/aion/data/static_data/quest_definition/quests/14152.xml,k1,reward,204574,10000,SETPRO1,REWARD_SHORTHAND
14200,src/main/resources/aion/data/static_data/quest_definition/quests/14200.xml,k3,reward,798155,10000,SETPRO1,REWARD_SHORTHAND
14200,src/main/resources/aion/data/static_data/quest_definition/quests/14200.xml,k3,reward,798206,10000,SETPRO1,REWARD_SHORTHAND
14220,src/main/resources/aion/data/static_data/quest_definition/quests/14220.xml,started,reward,802540,10001,SETPRO2,REWARD_SHORTHAND
15402,src/main/resources/aion/data/static_data/quest_definition/quests/15402.xml,started,s1,805352,10001,SETPRO2,EXPLICIT
16900,src/main/resources/aion/data/static_data/quest_definition/quests/16900.xml,k1,reward,203901,10000,SETPRO1,REWARD_SHORTHAND
16901,src/main/resources/aion/data/static_data/quest_definition/quests/16901.xml,k1,reward,203901,10000,SETPRO1,REWARD_SHORTHAND
16902,src/main/resources/aion/data/static_data/quest_definition/quests/16902.xml,k1,reward,204500,10000,SETPRO1,REWARD_SHORTHAND
16903,src/main/resources/aion/data/static_data/quest_definition/quests/16903.xml,k1,reward,204500,10000,SETPRO1,REWARD_SHORTHAND
16960,src/main/resources/aion/data/static_data/quest_definition/quests/16960.xml,k1,reward,801281,10000,SETPRO1,REWARD_SHORTHAND
18301,src/main/resources/aion/data/static_data/quest_definition/quests/18301.xml,started,reward,730373,10001,SETPRO2,REWARD_SHORTHAND
18301,src/main/resources/aion/data/static_data/quest_definition/quests/18301.xml,started,reward,730374,10001,SETPRO2,REWARD_SHORTHAND
18301,src/main/resources/aion/data/static_data/quest_definition/quests/18301.xml,started,reward,799530,10001,SETPRO2,REWARD_SHORTHAND
18940,src/main/resources/aion/data/static_data/quest_definition/quests/18940.xml,started,reward,802431,10000,SETPRO1,REWARD_SHORTHAND
19064,src/main/resources/aion/data/static_data/quest_definition/quests/19064.xml,started,reward,203701,10000,SETPRO1,REWARD_SHORTHAND
21323,src/main/resources/aion/data/static_data/quest_definition/quests/21323.xml,started,s1,702726,10001,SETPRO2,EXPLICIT
23700,src/main/resources/aion/data/static_data/quest_definition/quests/23700.xml,started,reward,804719,10000,SETPRO1,REWARD_SHORTHAND
23701,src/main/resources/aion/data/static_data/quest_definition/quests/23701.xml,started,reward,799225,10000,SETPRO1,REWARD_SHORTHAND
24112,src/main/resources/aion/data/static_data/quest_definition/quests/24112.xml,started,reward,203631,10000,SETPRO1,REWARD_SHORTHAND
24151,src/main/resources/aion/data/static_data/quest_definition/quests/24151.xml,started,reward,204715,10000,SETPRO1,REWARD_SHORTHAND
24220,src/main/resources/aion/data/static_data/quest_definition/quests/24220.xml,started,reward,802542,10001,SETPRO2,REWARD_SHORTHAND
25000,src/main/resources/aion/data/static_data/quest_definition/quests/25000.xml,started,s1,804753,10001,SETPRO2,EXPLICIT
25402,src/main/resources/aion/data/static_data/quest_definition/quests/25402.xml,started,s1,805357,10001,SETPRO2,EXPLICIT
26960,src/main/resources/aion/data/static_data/quest_definition/quests/26960.xml,k1,reward,801280,10000,SETPRO1,REWARD_SHORTHAND
27500,src/main/resources/aion/data/static_data/quest_definition/quests/27500.xml,started,reward,806264,10001,SETPRO2,EXPLICIT
27500,src/main/resources/aion/data/static_data/quest_definition/quests/27500.xml,started,reward,806265,10001,SETPRO2,EXPLICIT
28940,src/main/resources/aion/data/static_data/quest_definition/quests/28940.xml,started,reward,802433,10000,SETPRO1,REWARD_SHORTHAND
30061,src/main/resources/aion/data/static_data/quest_definition/quests/30061.xml,started,reward,798927,10000,SETPRO1,REWARD_SHORTHAND
30107,src/main/resources/aion/data/static_data/quest_definition/quests/30107.xml,started,reward,799029,10000,SETPRO1,REWARD_SHORTHAND
30161,src/main/resources/aion/data/static_data/quest_definition/quests/30161.xml,started,reward,799225,10000,SETPRO1,REWARD_SHORTHAND
39003,src/main/resources/aion/data/static_data/quest_definition/quests/39003.xml,started,reward,800500,10000,SETPRO1,REWARD_SHORTHAND
39003,src/main/resources/aion/data/static_data/quest_definition/quests/39003.xml,started,reward,800512,10000,SETPRO1,REWARD_SHORTHAND
49003,src/main/resources/aion/data/static_data/quest_definition/quests/49003.xml,started,reward,800502,10000,SETPRO1,REWARD_SHORTHAND
49003,src/main/resources/aion/data/static_data/quest_definition/quests/49003.xml,started,reward,800511,10000,SETPRO1,REWARD_SHORTHAND
