quest_id	handler_path	expected_from	expected_to	xml_var0	recovery_vars	handover_writes	verdict
3057	src/main/java/com/aionemu/gameserver/quest/handlers/theobomos/_3057Cursed_Zirius.java	0	1	0			MISSING_RECOVERY_EDGE
3074	src/main/java/com/aionemu/gameserver/quest/handlers/theobomos/_3074Dangerous_Probability.java	0	0	0			SELF_REWARD_NO_STEP
3076	src/main/java/com/aionemu/gameserver/quest/handlers/theobomos/_3076Bolstering_The_Aetheric_Field.java	2	3	3			MISMATCH_PROJECTION
3547	src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_3547Enemy_Harassing_The_Elim.java	1	1	0			SELF_REWARD_NO_STEP
3921	src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_3921Shoshinerk_Reward.java	0	0	0			SELF_REWARD_NO_STEP
3936	src/main/java/com/aionemu/gameserver/quest/handlers/miragent_holy_templar/_3936Decorations_Of_Sanctum.java	1	1	1			SELF_REWARD_NO_STEP
3937	src/main/java/com/aionemu/gameserver/quest/handlers/miragent_holy_templar/_3937Group_The_Decorations_Of_Sanctum.java	1	1	1			SELF_REWARD_NO_STEP
3961	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_3961GrowthFlorasFirstCharm.java	1	1	2			SELF_REWARD_NO_STEP
3962	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_3962GrowthFlorasSecondCharm.java	1	1	2			SELF_REWARD_NO_STEP
3963	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_3963GrowthFlorasThirdCharm.java	1	1	2			SELF_REWARD_NO_STEP
3964	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_3964GrowthFlorasFourthCharm.java	1	1	2			SELF_REWARD_NO_STEP
3965	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_3965TotheGalleriaofGrandeur.java	1	1	0			SELF_REWARD_NO_STEP
4038	src/main/java/com/aionemu/gameserver/quest/handlers/brusthonin/_4038Alas_Poor_Groznak.java	2	3	0			MISMATCH_PROJECTION
4074	src/main/java/com/aionemu/gameserver/quest/handlers/brusthonin/_4074Gain_Or_Lose.java	0	0	0			SELF_REWARD_NO_STEP
4542	src/main/java/com/aionemu/gameserver/quest/handlers/beluslan/_4542The_Secret_Of_The_Seiren_Treasure.java	5	6	0			MISMATCH_PROJECTION
4913	src/main/java/com/aionemu/gameserver/quest/handlers/beluslan/_4913A_Future_Threat.java	0	0	0			SELF_REWARD_NO_STEP
4921	src/main/java/com/aionemu/gameserver/quest/handlers/beluslan/_4921Chocorunerk_Reward.java	0	0	0			SELF_REWARD_NO_STEP
4940	src/main/java/com/aionemu/gameserver/quest/handlers/fenris_fang/_4940Decorations_Of_Pandaemonium.java	1	1	0			SELF_REWARD_NO_STEP
4941	src/main/java/com/aionemu/gameserver/quest/handlers/fenris_fang/_4941Group_Pandaemonium_Honors.java	1	1	0			SELF_REWARD_NO_STEP
4966	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_4966GrowthNinissFirstCharm.java	1	1	2			SELF_REWARD_NO_STEP
4967	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_4967GrowthNinissSecondCharm.java	1	1	2			SELF_REWARD_NO_STEP
4968	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_4968GrowthNinissThirdCharm.java	1	1	2			SELF_REWARD_NO_STEP
4969	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_4969GrowthNinissFourthCharm.java	1	1	2			SELF_REWARD_NO_STEP
10528	src/main/java/com/aionemu/gameserver/quest/handlers/archdaeva/_10528Protection_Artifact_1.java	11	12	11		11	MISSING_RECOVERY_EDGE
11051	src/main/java/com/aionemu/gameserver/quest/handlers/inggison_armor/_11051Paris_I_Love_You.java	0	0	0			SELF_REWARD_NO_STEP
11052	src/main/java/com/aionemu/gameserver/quest/handlers/inggison_armor/_11052Gloves_And_Glossy_Beads.java	0	0	0			SELF_REWARD_NO_STEP
11053	src/main/java/com/aionemu/gameserver/quest/handlers/inggison_armor/_11053These_Shoes_Are_Made_For_Stalking.java	0	0	0			SELF_REWARD_NO_STEP
11054	src/main/java/com/aionemu/gameserver/quest/handlers/inggison_armor/_11054Accounts_About_The_Armor.java	0	0	0			SELF_REWARD_NO_STEP
11055	src/main/java/com/aionemu/gameserver/quest/handlers/inggison_armor/_11055Another_Piece.java	0	0	0			SELF_REWARD_NO_STEP
11077	src/main/java/com/aionemu/gameserver/quest/handlers/inggison/_11077AWeaponOfWorth.java	2	3	0			MISMATCH_PROJECTION
11147	src/main/java/com/aionemu/gameserver/quest/handlers/inggison/_11147Cute_Beady_Eyes.java	4	4	4			SELF_REWARD_NO_STEP
11319	src/main/java/com/aionemu/gameserver/quest/handlers/cygnea/_11319Tour_De_Cygnea.java	0	0	0			SELF_REWARD_NO_STEP
11340	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11340.java	5	6	NO_XML			NO_XML
11341	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11341.java	5	6	NO_XML			NO_XML
11342	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11342.java	5	6	NO_XML			NO_XML
11343	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11343.java	5	6	NO_XML			NO_XML
11344	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11344.java	5	6	NO_XML			NO_XML
11345	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11345.java	5	6	NO_XML			NO_XML
11346	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11346.java	5	6	NO_XML			NO_XML
11347	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11347.java	5	6	NO_XML			NO_XML
11348	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11348.java	5	6	NO_XML			NO_XML
11349	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11349.java	5	6	NO_XML			NO_XML
11350	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11350.java	5	6	NO_XML			NO_XML
11351	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11351.java	5	6	NO_XML			NO_XML
11352	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11352.java	5	6	NO_XML			NO_XML
11353	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11353.java	5	6	NO_XML			NO_XML
11370	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11370.java	5	6	NO_XML			NO_XML
11371	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11371.java	5	6	NO_XML			NO_XML
11372	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11372.java	5	6	NO_XML			NO_XML
11373	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11373.java	5	6	NO_XML			NO_XML
11374	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11374.java	5	6	NO_XML			NO_XML
11375	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11375.java	5	6	NO_XML			NO_XML
11376	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11376.java	5	6	NO_XML			NO_XML
11377	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11377.java	5	6	NO_XML			NO_XML
11378	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11378.java	5	6	NO_XML			NO_XML
11379	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11379.java	5	6	NO_XML			NO_XML
11380	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11380.java	5	6	NO_XML			NO_XML
11381	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11381.java	5	6	NO_XML			NO_XML
11382	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11382.java	5	6	NO_XML			NO_XML
11383	src/main/java/com/aionemu/gameserver/quest/handlers/master_server/_11383.java	5	6	NO_XML			NO_XML
11460	src/main/java/com/aionemu/gameserver/quest/handlers/inggison/_11460TheShulackofTaloc.java	1	1	0			SELF_REWARD_NO_STEP
11465	src/main/java/com/aionemu/gameserver/quest/handlers/taloc_hollow/_11465MysteriousSeed.java	0	0	1			SELF_REWARD_NO_STEP
11466	src/main/java/com/aionemu/gameserver/quest/handlers/taloc_hollow/_11466AHardSeedtoCrack.java	0	0	0			SELF_REWARD_NO_STEP
13305	src/main/java/com/aionemu/gameserver/quest/handlers/eternal_bastion/_13305Meet_Stifas_The_Stiff.java	0	0	0			SELF_REWARD_NO_STEP
13700	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13700The_Unknown_Balaurea.java	0	0	0			SELF_REWARD_NO_STEP
13701	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13701A_New_Land_A_New_War.java	0	0	0			SELF_REWARD_NO_STEP
13702	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13702Tomul_Tap.java	4	5	4			MISSING_RECOVERY_EDGE
13703	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13703Igniting_The_Conflict.java	1	2	1			MISSING_RECOVERY_EDGE
13704	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13704Fona_Quick_Fix.java	1	1	1		1	SELF_REWARD_NO_STEP
13705	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13705Coastal_Bypass_Operation.java	3	4	3		3,3	MISSING_RECOVERY_EDGE
13708	src/main/java/com/aionemu/gameserver/quest/handlers/levinshor/_13708Proximity_Protect.java	1	1	1		1	SELF_REWARD_NO_STEP
13809	src/main/java/com/aionemu/gameserver/quest/handlers/kaldor/_13809Tree_Is_Company.java	3	4	0			MISMATCH_PROJECTION
13812	src/main/java/com/aionemu/gameserver/quest/handlers/kaldor/_13812An_Unlikely_Alliance.java	0	0	1		1	SELF_REWARD_NO_STEP
13830	src/main/java/com/aionemu/gameserver/quest/handlers/stigma_vision/_13830Stigma_101.java	1	1	1		1	SELF_REWARD_NO_STEP
13831	src/main/java/com/aionemu/gameserver/quest/handlers/stigma_vision/_13831Pelias_Aid.java	1	1	1		1	SELF_REWARD_NO_STEP
13832	src/main/java/com/aionemu/gameserver/quest/handlers/stigma_vision/_13832StiGreat.java	1	1	1			SELF_REWARD_NO_STEP
13833	src/main/java/com/aionemu/gameserver/quest/handlers/stigma_vision/_13833Stigmore.java	1	1	1			SELF_REWARD_NO_STEP
13834	src/main/java/com/aionemu/gameserver/quest/handlers/stigma_vision/_13834StigMajor.java	1	1	1			SELF_REWARD_NO_STEP
13880	src/main/java/com/aionemu/gameserver/quest/handlers/kaldor/_13880Secure_Wealhtheow_Keep.java	1	2	1		1,1,1	MISSING_RECOVERY_EDGE
13902	src/main/java/com/aionemu/gameserver/quest/handlers/hero_alliance/_13902Bracing_For_Balaurea.java	0	0	0			SELF_REWARD_NO_STEP
13950	src/main/java/com/aionemu/gameserver/quest/handlers/bastion_of_souls/_13950Location_Of_The_Missing_Daevas.java	2	4	4			MISMATCH_PROJECTION
13951	src/main/java/com/aionemu/gameserver/quest/handlers/bastion_of_souls/_13951An_Undelivered_Letter.java	1	1	1		1	SELF_REWARD_NO_STEP
13952	src/main/java/com/aionemu/gameserver/quest/handlers/bastion_of_souls/_13952Logion_Journal.java	0	0	1		1	SELF_REWARD_NO_STEP
13953	src/main/java/com/aionemu/gameserver/quest/handlers/bastion_of_souls/_13953Ownerless_Balaur_Sword.java	1	2	2		2	MISMATCH_PROJECTION
13956	src/main/java/com/aionemu/gameserver/quest/handlers/bastion_of_souls/_13956Attack_On_Bastion_Of_Souls.java	4	5	5		5	MISMATCH_PROJECTION
13967	src/main/java/com/aionemu/gameserver/quest/handlers/evergale_canyon/_13967A_Fragment_Fallen_At_The_Cave.java	0	1	1		1,1	MISMATCH_PROJECTION
14022	src/main/java/com/aionemu/gameserver/quest/handlers/mission/_14022The_Test_Of_The_Heart.java	7	7	7			SELF_REWARD_NO_STEP
14024	src/main/java/com/aionemu/gameserver/quest/handlers/mission/_14024A_Kralling_Suspicion.java	3	3	3			SELF_REWARD_NO_STEP
14201	src/main/java/com/aionemu/gameserver/quest/handlers/theobomos/_14201Weapon_Of_Past_Destruction.java	2	2	0			SELF_REWARD_NO_STEP
14211	src/main/java/com/aionemu/gameserver/quest/handlers/transidium_annex/_14211Empyrean_Scribe.java	0	0	NONE		1	SELF_REWARD_NO_STEP
14220	src/main/java/com/aionemu/gameserver/quest/handlers/panesterra/_14220New_Zone_New_Rules.java	1	1	0			SELF_REWARD_NO_STEP
15300	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15300Taking_Arms.java	13	14	13	14		OK
15301	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15301Two_Steps_Closer.java	2	3	0			MISMATCH_PROJECTION
15302	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15302Hand_In_Glove.java	2	3	0			MISMATCH_PROJECTION
15303	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15303Souled_Shoulder.java	2	3	0			MISMATCH_PROJECTION
15304	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15304Last_Leg_And_Wit_End.java	3	4	4		4	MISMATCH_PROJECTION
15305	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15305Buffed_Shirt.java	2	3	0			MISMATCH_PROJECTION
15306	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15306Wielding_Power.java	9	10	10		10	MISMATCH_PROJECTION
15334	src/main/java/com/aionemu/gameserver/quest/handlers/high_daevanion/_15334Devoted_Prayers.java	1	1	1		1	SELF_REWARD_NO_STEP
15406	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15406Defeat_The_Ereshkigal_Legion.java	4	5	1	0	1,1	MISMATCH_PROJECTION
15407	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15407Defeat_The_Beritra_Legion_In_The_Ruins_Of_Roah.java	4	5	1	0	1,1	MISMATCH_PROJECTION
15408	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15408Defeat_The_Beritra_Legion_In_Asteria.java	4	5	1	0	1,1	MISMATCH_PROJECTION
15409	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15409Defeat_Terracrusher.java	1	2	1		1	MISSING_RECOVERY_EDGE
15410	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15410Defeat_Wurg_The_Glacier.java	1	2	1		1	MISSING_RECOVERY_EDGE
15411	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15411Protect_The_Ruins_Of_Roah.java	2	3	1		1	MISMATCH_PROJECTION
15412	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15412Protect_Bloodburn_Reach.java	2	3	1		1	MISMATCH_PROJECTION
15413	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15413Protect_Lake_Asteria.java	2	3	1		1	MISMATCH_PROJECTION
15414	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15414Protect_Rattlefrost_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15415	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15415Protect_Sliversleet_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15416	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15416Protect_Coldforge_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15417	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15417Protect_Shimmerfrost_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15418	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15418Protect_Icehowl_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15419	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15419Protect_Chillhaunt_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15420	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15420Protect_Wildersage_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15421	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15421Protect_Dauntless_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15422	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15422Protect_Anchorbrak_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15423	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15423Protect_Brokenblade_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15424	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15424Protect_Sootguzzle_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15425	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15425Protect_Flameruin_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15426	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15426Protect_Stokebellow_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15427	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15427Protect_Blazerack_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15428	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15428Protect_Smoldergeist_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15429	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15429Protect_Moltenspike_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15430	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15430Shield_Rattlefrost_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15431	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15431Shield_Silversleet_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15432	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15432Shield_Coldforge_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15433	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15433Shield_Shimmerfrost_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15434	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15434Shield_Icehowl_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15435	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15435Shield_Chillhaunt_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15436	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15436Shield_Wildersage_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15437	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15437Shield_Dauntless_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15438	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15438Shield_Anchorbrak_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15439	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15439Shield_Brokenblade_Artifact_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15440	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15440Shield_Sootguzzle_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15441	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15441Shield_Flameruin_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15442	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15442Shield_Stokebellow_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15443	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15443Shield_Blazerack_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15444	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15444Shield_Smoldergeist_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15445	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15445Shield_Moltenspike_Outpost.java	5	6	1		1	MISMATCH_PROJECTION
15472	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15472Scaling_Up_For_The_Outposts.java	1	2	1		1	MISSING_RECOVERY_EDGE
15473	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15473Artifact_Base_Foundations.java	1	2	1		1	MISSING_RECOVERY_EDGE
15474	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15474Ruins_Of_Roah_Occupation.java	1	2	1		1	MISSING_RECOVERY_EDGE
15475	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15475Occupiers_Groundwork.java	1	2	1		1	MISSING_RECOVERY_EDGE
15476	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15476Enhance_Base_Accessibility.java	8	9	1		1	MISMATCH_PROJECTION
15477	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15477Improve_Base_Accessibility.java	8	9	1		1	MISMATCH_PROJECTION
15480	src/main/java/com/aionemu/gameserver/quest/handlers/redemption_landing/_15480Clearing_A_Path.java	1	2	1			MISSING_RECOVERY_EDGE
15563	src/main/java/com/aionemu/gameserver/quest/handlers/iluma/_15563Broken_Archon_Medals.java	0	0	1		1	SELF_REWARD_NO_STEP
15602	src/main/java/com/aionemu/gameserver/quest/handlers/iluma/_15602Gurgan_The_Great.java	3	4	5		5	MISMATCH_PROJECTION
15606	src/main/java/com/aionemu/gameserver/quest/handlers/iluma/_15606The_Hall_Of_Zephyr.java	4	5	5		5	MISMATCH_PROJECTION
15680	src/main/java/com/aionemu/gameserver/quest/handlers/iluma/_15680Shuket_Of_The_Iron_Star_Pirates.java	7	8	8		8	MISMATCH_PROJECTION
16800	src/main/java/com/aionemu/gameserver/quest/handlers/archives_of_eternity/_16800Into_The_Archives.java	2	3	1		1,1,1	MISMATCH_PROJECTION
16809	src/main/java/com/aionemu/gameserver/quest/handlers/archives_of_eternity/_16809Completed_History_Of_Atreia.java	0	0	1		1	SELF_REWARD_NO_STEP
16810	src/main/java/com/aionemu/gameserver/quest/handlers/archives_of_eternity/_16810Completed_Record_Of_The_Humans.java	0	0	1		1	SELF_REWARD_NO_STEP
16811	src/main/java/com/aionemu/gameserver/quest/handlers/archives_of_eternity/_16811Completed_History_Of_The_Empyrean_Lords.java	0	0	1		1	SELF_REWARD_NO_STEP
16839	src/main/java/com/aionemu/gameserver/quest/handlers/trials_of_eternity/_16839Dimensional_Monster_Bullion.java	1	2	2		2	MISMATCH_PROJECTION
16922	src/main/java/com/aionemu/gameserver/quest/handlers/danuar_reliquary/_16922Shugo_Checkup.java	0	0	0			SELF_REWARD_NO_STEP
16979	src/main/java/com/aionemu/gameserver/quest/handlers/engulfed_ophidan_bridge/_16979Engulfed_Bridge.java	0	0	0			SELF_REWARD_NO_STEP
16990	src/main/java/com/aionemu/gameserver/quest/handlers/illuminary_obelisk/_16990Strengthen_The_Defense.java	0	0	0			SELF_REWARD_NO_STEP
17526	src/main/java/com/aionemu/gameserver/quest/handlers/IDAbRe_Core_03/_17526.java	1	2	0			MISMATCH_PROJECTION
17550	src/main/java/com/aionemu/gameserver/quest/handlers/IDAb1_Heroes/_17550.java	0	0	0			SELF_REWARD_NO_STEP
