========================================
= 套装ID数据，由灰色枫叶GM工具自动生成 =
========================================
套装ID:1 名字:长袍防具套装(测试)      STR值：STR_TEST_SET_01
套装ID:183 名字:破坏神殿之锁链套装      STR值：STR_CH_TEMPLE_L_NAMED_02
套装ID:184 名字:破坏神殿之金属套装      STR值：STR_PL_TEMPLE_L_NAMED_02
套装ID:185 名字:鲁德拉之鳞剑套装      STR值：STR_SWORDX2_E_CATACOMBS
套装ID:186 名字:鲁德拉之匕首套装      STR值：STR_DAGGERX2_E_CATACOMBS
套装ID:187 名字:鲁德拉之枪鳞剑套装      STR值：STR_SWORDXSHIELD_E_CATACOMBS
套装ID:188 名字:鲁德拉之战斗锤套装      STR值：STR_MACEXSHIELD_E_CATACOMBS
套装ID:189 名字:敏锐的帕德玛夏之长剑套装      STR值：STR_SWORDXSHIELD_E_DRAMATA
套装ID:190 名字:敏锐的帕德玛夏之战斗锤套装      STR值：STR_MACEXSHIELD_E_DRAMATA
套装ID:191 名字:敏锐的帕德玛夏之匕首套装      STR值：STR_DAGGERX2_E_DRAMATA
套装ID:192 名字:帕德玛夏长袍套装      STR值：STR_RB_DRAMATA_E_NAMED_01
套装ID:193 名字:帕德玛夏皮革套装      STR值：STR_LT_DRAMATA_E_NAMED_01
套装ID:194 名字:帕德玛夏锁链套装      STR值：STR_CH_DRAMATA_E_NAMED_01
套装ID:195 名字:帕德玛夏金属套装      STR值：STR_PL_DRAMATA_E_NAMED_01
套装ID:196 名字:敏锐的帕德玛夏之鱼鳞剑套装      STR值：STR_SWORDXSWORD_E_DRAMATA
套装ID:197 名字:拉克莎之鳞剑套装      STR值：STR_SWORDX2_RAKSHA
套装ID:198 名字:拉克莎之匕首套装      STR值：STR_DAGGERX2_RAKSHA
套装ID:199 名字:拉克莎之枪鳞剑套装      STR值：STR_SWORDXSHIELD_RAKSHA
套装ID:200 名字:拉克莎之战斗锤套装      STR值：STR_MACEXSHIELD_RAKSHA
套装ID:201 名字:拉克莎军团兵之长袍套装      STR值：STR_RB_RAKSHA_U_NAMED
套装ID:202 名字:拉克莎军团兵之皮革套装      STR值：STR_LT_RAKSHA_U_NAMED
套装ID:203 名字:拉克莎军团兵之锁链套装      STR值：STR_CH_RAKSHA_U_NAMED
套装ID:204 名字:拉克莎军团兵之金属套装      STR值：STR_PL_RAKSHA_U_NAMED
套装ID:205 名字:提亚马特军团兵之鳞剑套装      STR值：STR_SWORDX2_LDF4B
套装ID:206 名字:提亚马特军团兵之匕首套装      STR值：STR_DAGGERX2_LDF4B
套装ID:207 名字:提亚马特军团兵之枪鳞剑套装      STR值：STR_SWORDXSHIELD_LDF4B
套装ID:208 名字:提亚马特军团兵之战斗锤套装      STR值：STR_MACEXSHIELD_LDF4B
套装ID:209 名字:提亚马特军团兵之长袍套装      STR值：STR_RB_LDF4B_U_NAMED
套装ID:210 名字:提亚马特军团兵之皮革套装      STR值：STR_LT_LDF4B_U_NAMED
套装ID:211 名字:提亚马特军团兵之锁链套装      STR值：STR_CH_LDF4B_U_NAMED
套装ID:212 名字:提亚马特军团兵之金属套装      STR值：STR_PL_LDF4B_U_NAMED
套装ID:213 名字:古代精灵之鳞剑套装      STR值：STR_SWORDX2_ELEMENTAL
套装ID:214 名字:古代精灵之匕首套装      STR值：STR_DAGGERX2_ELEMENTAL
套装ID:215 名字:古代精灵之暗杀剑套装      STR值：STR_SWORDXDAGGER_ELEMENTAL
套装ID:216 名字:古代精灵之枪鳞剑套装      STR值：STR_SWORDXSHIELD_ELEMENTAL
套装ID:217 名字:古代精灵之战斗锤套装      STR值：STR_MACEXSHIELD_ELEMENTAL_01
套装ID:218 名字:古代精灵之战棍套装      STR值：STR_MACEXSHIELD_ELEMENTAL_02
套装ID:219 名字:古代精灵之长袍套装      STR值：STR_RB_IDELEMENTAL_E_60A
套装ID:220 名字:古代精灵之皮革套装      STR值：STR_LT_IDELEMENTAL_E_60A
套装ID:221 名字:古代精灵之锁链套装      STR值：STR_CH_IDELEMENTAL_E_60A
套装ID:222 名字:古代精灵之金属套装      STR值：STR_PL_IDELEMENTAL_E_60A
套装ID:223 名字:抵抗军剑星之金属套装      STR值：STR_PL_YUN_FIGHTER
套装ID:224 名字:抵抗军守护星之金属套装      STR值：STR_PL_YUN_KNIGHT
套装ID:225 名字:抵抗军杀星之皮革套装      STR值：STR_LT_YUN_ASSASSIN
套装ID:226 名字:抵抗军弓星之皮革套装      STR值：STR_LT_YUN_RANGER
套装ID:227 名字:抵抗军治愈星之锁链套装      STR值：STR_CH_YUN_PRIEST
套装ID:228 名字:抵抗军护法星之锁链套装      STR值：STR_CH_YUN_CHANTER
套装ID:229 名字:抵抗军魔道星之长袍套装      STR值：STR_RB_YUN_WIZARD
套装ID:230 名字:抵抗军精灵星之长袍套装      STR值：STR_RB_YUN_ELEMENTALIST
套装ID:231 名字:鸢族训练兵之鳞剑套装      STR值：STR_SWORDX2_NQ_L_57A
套装ID:232 名字:鸢族训练兵之匕首套装      STR值：STR_DAGGERX2_NQ_L_57A
套装ID:233 名字:鸢族训练兵之枪鳞剑套装      STR值：STR_SWORDXSHIELD_NQ_L_57A
套装ID:234 名字:鸢族训练兵之战棍套装      STR值：STR_MACEXSHIELD_NQ_L_57A
套装ID:235 名字:鸢族训练兵之战斗锤套装      STR值：STR_MACEXSHIELD_NQ_L_57B
套装ID:236 名字:鸢族训练兵之长袍套装      STR值：STR_RB_NQ_L_57A
套装ID:237 名字:鸢族训练兵之皮革套装      STR值：STR_LT_NQ_L_57A
套装ID:238 名字:鸢族训练兵之锁链套装      STR值：STR_CH_NQ_L_57A
套装ID:239 名字:鸢族训练兵之金属套装      STR值：STR_PL_NQ_L_57A
套装ID:240 名字:鸢族军团兵之鳞剑套装      STR值：STR_SWORDX2_NQ_L_60A
套装ID:241 名字:鸢族军团兵之匕首套装      STR值：STR_DAGGERX2_NQ_L_60A
套装ID:242 名字:鸢族军团兵之枪鳞剑套装      STR值：STR_SWORDXSHIELD_NQ_L_60A
套装ID:243 名字:鸢族军团兵之战棍套装      STR值：STR_MACEXSHIELD_NQ_L_60A
套装ID:244 名字:鸢族军团兵之战斗锤套装      STR值：STR_MACEXSHIELD_NQ_L_60B
套装ID:245 名字:鸢族军团兵之长袍套装      STR值：STR_RB_NQ_L_60A
套装ID:246 名字:鸢族军团兵之皮革套装      STR值：STR_LT_NQ_L_60A
套装ID:247 名字:鸢族军团兵之锁链套装      STR值：STR_CH_NQ_L_60A
套装ID:248 名字:鸢族军团兵之金属套装      STR值：STR_PL_NQ_L_60A
套装ID:249 名字:鸢族精锐兵之鳞剑套装      STR值：STR_SWORDX2_NQ_U_60A
套装ID:250 名字:鸢族精锐兵之匕首套装      STR值：STR_DAGGERX2_NQ_U_60A
套装ID:251 名字:鸢族精锐兵之枪鳞剑套装      STR值：STR_SWORDXSHIELD_NQ_U_60A
套装ID:252 名字:鸢族精锐兵之战棍套装      STR值：STR_MACEXSHIELD_NQ_U_60A
套装ID:253 名字:鸢族精锐兵之战斗锤套装      STR值：STR_MACEXSHIELD_NQ_U_60B
套装ID:254 名字:鸢族精锐兵之长袍套装      STR值：STR_RB_NQ_U_60A
套装ID:255 名字:鸢族精锐兵之皮革套装      STR值：STR_LT_NQ_U_60A
套装ID:256 名字:鸢族精锐兵之锁链套装      STR值：STR_CH_NQ_U_60A
套装ID:257 名字:鸢族精锐兵之金属套装      STR值：STR_PL_NQ_U_60A
套装ID:258 名字:卡伦之鳞剑套装      STR值：STR_SWORDX2_NQ_E_60A
套装ID:259 名字:卡伦之匕首套装      STR值：STR_DAGGERX2_NQ_E_60A
套装ID:260 名字:卡伦之枪鳞剑套装      STR值：STR_SWORDXSHIELD_NQ_E_60A
套装ID:261 名字:卡伦之战棍套装      STR值：STR_MACEXSHIELD_NQ_E_60A
套装ID:262 名字:卡伦之战斗锤套装      STR值：STR_MACEXSHIELD_NQ_E_60B
套装ID:263 名字:卡伦之长袍套装      STR值：STR_RB_NQ_E_60A
套装ID:264 名字:卡伦之皮革套装      STR值：STR_LT_NQ_E_60A
套装ID:265 名字:卡伦之锁链套装      STR值：STR_CH_NQ_E_60A
套装ID:266 名字:卡伦之金属套装      STR值：STR_PL_NQ_E_60A
套装ID:267 名字:精锐守卫亲卫队之长袍套装      STR值：STR_RB_A_U2_60
套装ID:268 名字:精锐守卫亲卫队之皮革套装      STR值：STR_LT_A_U2_60
套装ID:269 名字:精锐守卫亲卫队之锁链套装      STR值：STR_CH_A_U2_60
套装ID:270 名字:精锐守卫亲卫队之金属套装      STR值：STR_PL_A_U2_60
套装ID:271 名字:精锐守卫亲卫队长之长袍套装      STR值：STR_RB_A_E2_60
套装ID:272 名字:精锐守卫亲卫队长之皮革套装      STR值：STR_LT_A_E2_60
套装ID:273 名字:精锐守卫亲卫队长之锁链套装      STR值：STR_CH_A_E2_60
套装ID:274 名字:精锐守卫亲卫队长之金属套装      STR值：STR_PL_A_E2_60
套装ID:275 名字:精锐执政官亲卫队之长袍套装      STR值：STR_RB_D_A_U2_60
套装ID:276 名字:精锐执政官亲卫队之皮革套装      STR值：STR_LT_D_A_U2_60
套装ID:277 名字:精锐执政官亲卫队之锁链套装      STR值：STR_CH_D_A_U2_60
套装ID:278 名字:精锐执政官亲卫队之金属套装      STR值：STR_PL_D_A_U2_60
套装ID:279 名字:精锐执政官亲卫队长之长袍套装      STR值：STR_RB_D_A_E2_60
套装ID:280 名字:精锐执政官亲卫队长之皮革套装      STR值：STR_LT_D_A_E2_60
套装ID:281 名字:精锐执政官亲卫队长之锁链套装      STR值：STR_CH_D_A_E2_60
套装ID:282 名字:精锐执政官亲卫队长之金属套装      STR值：STR_PL_D_A_E2_60
套装ID:283 名字:遗忘希埃尔之长袍套装      STR值：STR_RB_DEVA_E1_60
套装ID:284 名字:遗忘希埃尔之皮革套装      STR值：STR_LT_DEVA_E1_60
套装ID:285 名字:遗忘希埃尔之锁链套装      STR值：STR_CH_DEVA_E1_60
套装ID:286 名字:遗忘希埃尔之金属套装      STR值：STR_PL_DEVA_E1_60
套装ID:287 名字:初心者之守卫长袍套装      STR值：STR_RB_EVENT_A_U_40
套装ID:288 名字:初心者之守卫皮革套装      STR值：STR_LT_EVENT_A_U_40
套装ID:289 名字:初心者之守卫锁链套装      STR值：STR_CH_EVENT_A_U_40
套装ID:290 名字:初心者之守卫金属套装      STR值：STR_PL_EVENT_A_U_40
套装ID:291 名字:初心者之执政官长袍套装      STR值：STR_RB_EVENT_D_A_U_40
套装ID:292 名字:初心者之执政官皮革套装      STR值：STR_LT_EVENT_D_A_U_40
套装ID:293 名字:初心者之执政官锁链套装      STR值：STR_CH_EVENT_D_A_U_40
套装ID:294 名字:初心者之执政官金属套装      STR值：STR_PL_EVENT_D_A_U_40
套装ID:295 名字:敏锐的帕德玛夏之魔力枪套装      STR值：STR_GUNX2_E_DRAMATA
套装ID:296 名字:强化的圣灵守护者长袍套装      STR值：STR_WORLD_RB_DEVA_E1_55
套装ID:297 名字:强化的圣灵守护者皮革套装      STR值：STR_WORLD_LT_DEVA_E1_55
套装ID:298 名字:强化的圣灵守护者锁链套装      STR值：STR_WORLD_CH_DEVA_E1_55
套装ID:299 名字:强化的圣灵守护者金属套装      STR值：STR_WORLD_PL_DEVA_E1_55
