========================================
= 物品ID数据，由灰色枫叶GM工具自动生成 =
========================================
物品ID:100000001 名字:瑟库拉斯之剑      STR值：STR_SWORD_CIRCULOUS
物品ID:100000075 名字:NPC权杖 MA_R007      STR值：STR_NPC_MACE_N_R_07
物品ID:100000076 名字:NPC权杖 MA_R008      STR值：STR_NPC_MACE_N_R_08
物品ID:100000077 名字:NPC权杖 MA_R009      STR值：STR_NPC_MACE_N_R_09
物品ID:100000078 名字:NPC权杖 MA_R010      STR值：STR_NPC_MACE_N_R_10
物品ID:100000079 名字:NPC权杖 MA_R011      STR值：STR_NPC_MACE_N_R_11
物品ID:100000080 名字:NPC战棍 SW_R012      STR值：STR_NPC_MACE_N_R_12
物品ID:100000081 名字:NPC战棍 SW_R013      STR值：STR_NPC_MACE_N_R_13
物品ID:100000082 名字:NPC战棍 MA_U001      STR值：STR_NPC_MACE_N_U_01
物品ID:100000083 名字:NPC战棍 MA_U002      STR值：STR_NPC_MACE_N_U_02
物品ID:100000084 名字:NPC长剑 SW_U001      STR值：STR_NPC_SWORD_N_U_01
物品ID:100000085 名字:NPC战棍 MA_U003      STR值：STR_NPC_MACE_N_U_03
物品ID:100000086 名字:贝尔特伦守卫长剑      STR值：STR_SWORD_G_16A
物品ID:100000087 名字:阿尔特盖德执政官长剑      STR值：STR_SWORD_D_G_16A
物品ID:100000088 名字:变形长剑      STR值：STR_SWORD_POLYMORPH_01A
物品ID:100000089 名字:变形长剑      STR值：STR_SWORD_POLYMORPH_01A
物品ID:100000090 名字:18级模型长剑      STR值：STR_TEST_SWORD_18A
物品ID:100000091 名字:23级模型长剑      STR值：STR_TEST_SWORD_23A
物品ID:100000092 名字:满愿丸      STR值：STR_SWORD_C_N_C_01A
物品ID:100000093 名字:魔族满愿丸      STR值：STR_SWORD_D_C_N_C_01A
物品ID:100000094 名字:训练用长剑      STR值：STR_SWORD_N_C_01A
物品ID:100000095 名字:佣兵之长剑      STR值：STR_SWORD_N_C_03A
物品ID:100000096 名字:阿卡利奥斯长剑      STR值：STR_SWORD_N_C_08A
物品ID:100000097 名字:守卫之长剑      STR值：STR_SWORD_N_C_10A
物品ID:100000098 名字:旅行者之长剑      STR值：STR_SWORD_N_C_13A
物品ID:100000099 名字:贝尔特伦长剑      STR值：STR_SWORD_N_C_18A
物品ID:100000100 名字:开拓者之长剑      STR值：STR_SWORD_N_C_23A
物品ID:100000101 名字:埃尔特内长剑      STR值：STR_SWORD_N_C_28A
物品ID:100000102 名字:探险家之长剑      STR值：STR_SWORD_N_C_33A
物品ID:100000103 名字:因特尔蒂卡长剑      STR值：STR_SWORD_N_C_38A
物品ID:100000104 名字:圣战之长剑      STR值：STR_SWORD_N_C_43A
物品ID:100000105 名字:极乐世界长剑      STR值：STR_SWORD_N_C_48A
物品ID:100000106 名字:练习用长剑      STR值：STR_SWORD_D_N_C_01A
物品ID:100000107 名字:盗贼之长剑      STR值：STR_SWORD_D_N_C_03A
物品ID:100000108 名字:阿戴尔长剑      STR值：STR_SWORD_D_N_C_08A
物品ID:100000109 名字:执政官之长剑      STR值：STR_SWORD_D_N_C_10A
物品ID:100000110 名字:放浪者之长剑      STR值：STR_SWORD_D_N_C_13A
物品ID:100000111 名字:阿尔特盖德长剑      STR值：STR_SWORD_D_N_C_18A
物品ID:100000112 名字:掠夺者之长剑      STR值：STR_SWORD_D_N_C_23A
物品ID:100000113 名字:莫尔海姆长剑      STR值：STR_SWORD_D_N_C_28A
物品ID:100000114 名字:侵略者之长剑      STR值：STR_SWORD_D_N_C_33A
物品ID:100000115 名字:贝鲁斯兰长剑      STR值：STR_SWORD_D_N_C_38A
物品ID:100000116 名字:复仇之长剑      STR值：STR_SWORD_D_N_C_43A
物品ID:100000117 名字:伏魔殿长剑      STR值：STR_SWORD_D_N_C_48A
物品ID:100000125 名字:火之剑      STR值：STR_SWORD_N_C_23B
物品ID:100000133 名字:草原之长剑      STR值：STR_SWORD_N_C2_02A
物品ID:100000134 名字:峡谷之长剑      STR值：STR_SWORD_N_C2_07A
物品ID:100000135 名字:丛林之长剑      STR值：STR_SWORD_N_C2_12A
物品ID:100000136 名字:山坡之长剑      STR值：STR_SWORD_N_C2_17A
物品ID:100000137 名字:荒地之长剑      STR值：STR_SWORD_N_C2_22A
物品ID:100000138 名字:烈士之长剑      STR值：STR_SWORD_N_C2_27A
物品ID:100000139 名字:沼泽之长剑      STR值：STR_SWORD_N_C2_32A
物品ID:100000140 名字:密林之长剑      STR值：STR_SWORD_N_C2_37A
物品ID:100000141 名字:废墟之长剑      STR值：STR_SWORD_N_C2_42A
物品ID:100000142 名字:暴风之长剑      STR值：STR_SWORD_N_C2_47A
物品ID:100000143 名字:平原之长剑      STR值：STR_SWORD_D_N_C2_02A
物品ID:100000144 名字:湖水之长剑      STR值：STR_SWORD_D_N_C2_07A
物品ID:100000145 名字:丛林之长剑      STR值：STR_SWORD_D_N_C2_12A
物品ID:100000146 名字:高原之长剑      STR值：STR_SWORD_D_N_C2_17A
物品ID:100000147 名字:雪原之长剑      STR值：STR_SWORD_D_N_C2_22A
物品ID:100000148 名字:冰洁之长剑      STR值：STR_SWORD_D_N_C2_27A
物品ID:100000149 名字:火山之长剑      STR值：STR_SWORD_D_N_C2_32A
物品ID:100000150 名字:不毛地之长剑      STR值：STR_SWORD_D_N_C2_37A
物品ID:100000151 名字:冰河之长剑      STR值：STR_SWORD_D_N_C2_42A
物品ID:100000152 名字:风雪之长剑      STR值：STR_SWORD_D_N_C2_47A
物品ID:100000153 名字:森林精气之剑      STR值：STR_SWORD_N_R1_04A
物品ID:100000154 名字:佣兵队长之剑      STR值：STR_SWORD_N_R1_09A
物品ID:100000155 名字:下雨森林剑      STR值：STR_SWORD_N_R1_14A
物品ID:100000156 名字:微风之剑      STR值：STR_SWORD_N_R1_19A
物品ID:100000157 名字:放浪武士之剑      STR值：STR_SWORD_N_R1_24A
物品ID:100000158 名字:海市蜃楼剑      STR值：STR_SWORD_N_R1_29A
物品ID:100000159 名字:祭坛之剑      STR值：STR_SWORD_N_R1_34A
物品ID:100000160 名字:绝命之剑      STR值：STR_SWORD_N_R1_39A
物品ID:100000161 名字:古代的剑      STR值：STR_SWORD_N_R1_44A
物品ID:100000162 名字:夕阳之剑      STR值：STR_SWORD_N_R1_49A
物品ID:100000163 名字:恶灵之剑      STR值：STR_SWORD_D_N_R1_04A
物品ID:100000164 名字:夜空之剑      STR值：STR_SWORD_D_N_R1_09A
物品ID:100000165 名字:坚冰之剑      STR值：STR_SWORD_D_N_R1_14A
物品ID:100000166 名字:黑脚之剑      STR值：STR_SWORD_D_N_R1_19A
物品ID:100000167 名字:堕落骑士之剑      STR值：STR_SWORD_D_N_R1_24A
物品ID:100000168 名字:野兽之剑      STR值：STR_SWORD_D_N_R1_29A
物品ID:100000169 名字:祭品之剑      STR值：STR_SWORD_D_N_R1_34A
物品ID:100000170 名字:堕落之剑      STR值：STR_SWORD_D_N_R1_39A
物品ID:100000171 名字:异界之剑      STR值：STR_SWORD_D_N_R1_44A
物品ID:100000172 名字:黄昏之剑      STR值：STR_SWORD_D_N_R1_49A
物品ID:100000173 名字:天军9级兵之长剑      STR值：STR_SWORD_N_R1_C_16A
物品ID:100000174 名字:天军8级兵之长剑      STR值：STR_SWORD_N_C1_C_21A
物品ID:100000175 名字:天军7级兵之长剑      STR值：STR_SWORD_N_L1_C_26A
物品ID:100000176 名字:天军6级兵之长剑      STR值：STR_SWORD_N_C1_C_31A
物品ID:100000177 名字:天军5级兵之长剑      STR值：STR_SWORD_N_R1_C_36A
物品ID:100000178 名字:天军4级兵之长剑      STR值：STR_SWORD_N_C1_C_41A
物品ID:100000179 名字:天军3级兵之长剑      STR值：STR_SWORD_N_R1_C_46A
物品ID:100000180 名字:天军2级兵之长剑      STR值：STR_SWORD_N_R2_C_50A
物品ID:100000181 名字:魔军9级兵之长剑      STR值：STR_SWORD_D_N_R1_C_16A
物品ID:100000182 名字:魔军8级兵之长剑      STR值：STR_SWORD_D_N_C1_C_21A
物品ID:100000183 名字:魔军7级兵之长剑      STR值：STR_SWORD_D_N_L1_C_26A
物品ID:100000184 名字:魔军6级兵之长剑      STR值：STR_SWORD_D_N_C1_C_31A
物品ID:100000185 名字:魔军5级兵之长剑      STR值：STR_SWORD_D_N_R1_C_36A
物品ID:100000186 名字:魔军4级兵之长剑      STR值：STR_SWORD_D_N_C1_C_41A
物品ID:100000187 名字:魔军3级兵之长剑      STR值：STR_SWORD_D_N_R1_C_46A
物品ID:100000188 名字:魔军2级兵之长剑      STR值：STR_SWORD_D_N_R2_C_50A
物品ID:100000189 名字:钢铁长剑      STR值：STR_SWORD_N_C2_P_15A
物品ID:100000190 名字:强化钢铁长剑      STR值：STR_SWORD_N_C2_P_20A
物品ID:100000191 名字:钛质长剑      STR值：STR_SWORD_N_C2_P_25A
物品ID:100000192 名字:强化钛质长剑      STR值：STR_SWORD_N_C2_P_30A
物品ID:100000193 名字:亚德曼金属长剑      STR值：STR_SWORD_N_C2_P_35A
物品ID:100000194 名字:强化亚德曼金属长剑      STR值：STR_SWORD_N_C2_P_40A
物品ID:100000195 名字:闪光的钢铁长剑      STR值：STR_SWORD_N_R1_P_15A
物品ID:100000196 名字:闪光的强化钢铁长剑      STR值：STR_SWORD_N_R1_P_20A
物品ID:100000197 名字:闪光的钛质长剑      STR值：STR_SWORD_N_R1_P_25A
物品ID:100000198 名字:闪光的强化钛质长剑      STR值：STR_SWORD_N_R1_P_30A
物品ID:100000199 名字:闪光的亚德曼金属长剑      STR值：STR_SWORD_N_R1_P_35A
物品ID:100000200 名字:闪光的强化亚德曼金属长剑      STR值：STR_SWORD_N_R1_P_40A
物品ID:100000201 名字:匠人之钛质长剑      STR值：STR_SWORD_N_R2_P_25A
物品ID:100000202 名字:匠人之强化钛质长剑      STR值：STR_SWORD_N_R2_P_30A
物品ID:100000203 名字:匠人之亚德曼金属长剑      STR值：STR_SWORD_N_R2_P_35A
物品ID:100000204 名字:匠人之强化亚德曼金属长剑      STR值：STR_SWORD_N_R2_P_40A
物品ID:100000207 名字:匠人之发光的钛质长剑      STR值：STR_SWORD_N_L1_P_25A
物品ID:100000208 名字:匠人之发光的强化钛质长剑      STR值：STR_SWORD_N_L1_P_30A
物品ID:100000209 名字:匠人之发光的亚德曼金属长剑      STR值：STR_SWORD_N_L1_P_35A
物品ID:100000210 名字:匠人之发光的强化亚德曼金属长剑      STR值：STR_SWORD_N_L1_P_40A
物品ID:100000213 名字:达人之亚德曼金属长剑      STR值：STR_SWORD_N_L2_P_35A
物品ID:100000214 名字:达人之强化亚德曼金属长剑      STR值：STR_SWORD_N_L2_P_40A
物品ID:100000216 名字:达人之发光的亚德曼金属长剑      STR值：STR_SWORD_N_U1_P_35A
物品ID:100000217 名字:达人之发光的强化亚德曼金属长剑      STR值：STR_SWORD_N_U1_P_40A
物品ID:100000219 名字:祭司长之剑      STR值：STR_SWORD_N_R1_16A
物品ID:100000220 名字:吞卡拉之剑      STR值：STR_SWORD_N_R1_18A
物品ID:100000221 名字:大教主之剑      STR值：STR_SWORD_N_R2_20A
物品ID:100000222 名字:曼库之剑      STR值：STR_SWORD_N_R2_22A
物品ID:100000223 名字:勇气之标枪      STR值：STR_SWORD_N_U1_25A
物品ID:100000224 名字:克拉齐亚之剑      STR值：STR_SWORD_N_L1_29A
物品ID:100000225 名字:纽塔卡之毒牙      STR值：STR_SWORD_N_R2_32A
物品ID:100000226 名字:克拉提亚之剑      STR值：STR_SWORD_N_L2_32A
物品ID:100000227 名字:审判之剑      STR值：STR_SWORD_N_U1_35A
物品ID:100000228 名字:混沌之剑      STR值：STR_SWORD_N_U1_35B
物品ID:100000229 名字:图格鲁之剑      STR值：STR_SWORD_N_R2_37A
物品ID:100000230 名字:杰诺恩之剑      STR值：STR_SWORD_N_R2_38A
物品ID:100000231 名字:凯西亚之爪      STR值：STR_SWORD_N_R2_40A
物品ID:100000232 名字:贝海默斯之剑      STR值：STR_SWORD_N_L1_40A
物品ID:100000233 名字:克拉尔大族长之剑      STR值：STR_SWORD_N_L2_40A
物品ID:100000234 名字:钢铁长剑      STR值：STR_SWORD_D_N_C2_P_15A
物品ID:100000235 名字:强化钢铁长剑      STR值：STR_SWORD_D_N_C2_P_20A
物品ID:100000236 名字:钛质长剑      STR值：STR_SWORD_D_N_C2_P_25A
物品ID:100000237 名字:强化钛质长剑      STR值：STR_SWORD_D_N_C2_P_30A
物品ID:100000238 名字:亚德曼金属长剑      STR值：STR_SWORD_D_N_C2_P_35A
物品ID:100000239 名字:强化亚德曼金属长剑      STR值：STR_SWORD_D_N_C2_P_40A
物品ID:100000240 名字:闪光的钢铁长剑      STR值：STR_SWORD_D_N_R1_P_15A
物品ID:100000241 名字:闪光的强化钢铁长剑      STR值：STR_SWORD_D_N_R1_P_20A
物品ID:100000242 名字:闪光的钛质长剑      STR值：STR_SWORD_D_N_R1_P_25A
物品ID:100000243 名字:闪光的强化钛质长剑      STR值：STR_SWORD_D_N_R1_P_30A
物品ID:100000244 名字:闪光的亚德曼金属长剑      STR值：STR_SWORD_D_N_R1_P_35A
物品ID:100000245 名字:闪光的强化亚德曼金属长剑      STR值：STR_SWORD_D_N_R1_P_40A
物品ID:100000246 名字:匠人之钛质长剑      STR值：STR_SWORD_D_N_R2_P_25A
物品ID:100000247 名字:匠人之强化钛质长剑      STR值：STR_SWORD_D_N_R2_P_30A
物品ID:100000248 名字:匠人之亚德曼金属长剑      STR值：STR_SWORD_D_N_R2_P_35A
物品ID:100000249 名字:匠人之强化亚德曼金属长剑      STR值：STR_SWORD_D_N_R2_P_40A
物品ID:100000252 名字:匠人之发光的钛质长剑      STR值：STR_SWORD_D_N_L1_P_25A
物品ID:100000253 名字:匠人之发光的强化钛质长剑      STR值：STR_SWORD_D_N_L1_P_30A
物品ID:100000254 名字:匠人之发光的亚德曼金属长剑      STR值：STR_SWORD_D_N_L1_P_35A
物品ID:100000255 名字:匠人之发光的强化亚德曼金属长剑      STR值：STR_SWORD_D_N_L1_P_40A
物品ID:100000258 名字:达人之亚德曼金属长剑      STR值：STR_SWORD_D_N_L2_P_35A
物品ID:100000259 名字:达人之强化亚德曼金属长剑      STR值：STR_SWORD_D_N_L2_P_40A
物品ID:100000261 名字:达人之发光的亚德曼金属长剑      STR值：STR_SWORD_D_N_U1_P_35A
物品ID:100000262 名字:达人之发光的强化亚德曼金属长剑      STR值：STR_SWORD_D_N_U1_P_40A
物品ID:100000264 名字:宝物猎人之剑      STR值：STR_SWORD_D_N_R1_16A
物品ID:100000265 名字:努卡卡之剑      STR值：STR_SWORD_D_N_R1_18A
物品ID:100000266 名字:黑脚族长之剑      STR值：STR_SWORD_D_N_R2_20A
物品ID:100000267 名字:死亡之道具      STR值：STR_SWORD_D_N_U1_25A
物品ID:100000268 名字:塔兰之件      STR值：STR_SWORD_D_N_R2_26A
物品ID:100000269 名字:菲德里奥之剑      STR值：STR_SWORD_D_N_R2_27A
物品ID:100000270 名字:大王兹库克之剑      STR值：STR_SWORD_D_N_L1_27A
物品ID:100000271 名字:千年水参之剑      STR值：STR_SWORD_D_N_L1_30A
物品ID:100000272 名字:守护者之剑      STR值：STR_SWORD_D_N_R2_32A
物品ID:100000273 名字:撒皮罗之剑      STR值：STR_SWORD_D_N_L1_32A
物品ID:100000274 名字:撒旦之剑      STR值：STR_SWORD_D_N_U1_35A
物品ID:100000275 名字:克罗梅内之剑      STR值：STR_SWORD_D_N_U1_35B
物品ID:100000276 名字:哈尔密丹之剑      STR值：STR_SWORD_D_N_R2_38A
物品ID:100000277 名字:帝王之剑      STR值：STR_SWORD_D_N_L1_38A
物品ID:100000278 名字:金特之剑      STR值：STR_SWORD_D_N_R2_39A
物品ID:100000279 名字:赫姆纳顿之剑      STR值：STR_SWORD_D_N_R2_40A
物品ID:100000280 名字:卡萨卡之爪      STR值：STR_SWORD_D_N_U2_40A
物品ID:100000298 名字:18级模型长剑      STR值：STR_TEST_SWORD_18A
物品ID:100000299 名字:18级模型长剑      STR值：STR_TEST_SWORD_18A
物品ID:100000300 名字:灵魂之长剑      STR值：STR_SWORD_N_C2_A_24A
物品ID:100000301 名字:龟裂之长剑      STR值：STR_SWORD_N_C2_A_29A
物品ID:100000302 名字:太古之长剑      STR值：STR_SWORD_N_C2_A_34A
物品ID:100000303 名字:星云之长剑      STR值：STR_SWORD_N_C2_A_39A
物品ID:100000304 名字:次元之长剑      STR值：STR_SWORD_N_C2_A_44A
物品ID:100000305 名字:巨人之长剑      STR值：STR_SWORD_N_C2_A_49A
物品ID:100000306 名字:漂浮亡灵之剑      STR值：STR_SWORD_N_R1_A_27A
物品ID:100000307 名字:深红落日之剑      STR值：STR_SWORD_N_R1_A_32A
物品ID:100000308 名字:消失的文明之剑      STR值：STR_SWORD_N_R1_A_37A
物品ID:100000309 名字:血光香气之剑      STR值：STR_SWORD_N_R1_A_42A
物品ID:100000310 名字:流星之剑      STR值：STR_SWORD_N_R1_A_47A
物品ID:100000311 名字:流血之剑      STR值：STR_SWORD_N_L1_A_28A
物品ID:100000312 名字:伤心哭泣的骤雨之剑      STR值：STR_SWORD_N_L1_A_33A
物品ID:100000313 名字:战死军团士兵之剑      STR值：STR_SWORD_N_L1_A_38A
物品ID:100000314 名字:失翼天使之剑      STR值：STR_SWORD_N_L1_A_43A
物品ID:100000315 名字:古代英雄之剑      STR值：STR_SWORD_N_L1_A_48A
物品ID:100000316 名字:天使长之剑      STR值：STR_SWORD_N_U1_A_30A
物品ID:100000317 名字:死神之剑      STR值：STR_SWORD_N_U1_A_40A
物品ID:100000318 名字:没落的古代神灵之剑      STR值：STR_SWORD_N_U1_A_50A
物品ID:100000319 名字:遗忘战士之剑      STR值：STR_SWORD_N_R2_A_27A
物品ID:100000320 名字:玄铁剑      STR值：STR_SWORD_N_L1_A_30A
物品ID:100000321 名字:拉赫布利之剑      STR值：STR_SWORD_N_L2_A_41A
物品ID:100000322 名字:梅诺提奥斯之剑      STR值：STR_SWORD_N_U2_A_50A
物品ID:100000323 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000324 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000325 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000326 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000327 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000328 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000329 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000330 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000331 名字:雷帕尔团战棍      STR值：STR_LEHPAR_MACE01
物品ID:100000332 名字:雷帕尔团战棍      STR值：STR_LEHPAR_MACE01
物品ID:100000333 名字:雷帕尔团战棍      STR值：STR_LEHPAR_MACE01
物品ID:100000334 名字:雷帕尔团战棍      STR值：STR_LEHPAR_MACE01
物品ID:100000335 名字:雷帕尔团短剑      STR值：STR_LEHPAR_DAGGER01
物品ID:100000336 名字:雷帕尔团短剑      STR值：STR_LEHPAR_DAGGER01
物品ID:100000337 名字:雷帕尔团短剑      STR值：STR_LEHPAR_DAGGER01
物品ID:100000338 名字:雷帕尔团短剑      STR值：STR_LEHPAR_DAGGER01
物品ID:100000339 名字:山铜长剑      STR值：STR_SWORD_N_C2_P_45A
物品ID:100000340 名字:强化山铜长剑      STR值：STR_SWORD_N_C2_P_50A
物品ID:100000341 名字:闪光的山铜长剑      STR值：STR_SWORD_N_R1_P_45A
物品ID:100000342 名字:闪光的强化山铜长剑      STR值：STR_SWORD_N_R1_P_50A
物品ID:100000343 名字:匠人之山铜长剑      STR值：STR_SWORD_N_R2_P_45A
物品ID:100000344 名字:匠人之强化山铜长剑      STR值：STR_SWORD_N_R2_P_50A
物品ID:100000345 名字:匠人之发光的山铜长剑      STR值：STR_SWORD_N_L1_P_45A
物品ID:100000346 名字:匠人之发光的强化山铜长剑      STR值：STR_SWORD_N_L1_P_50A
物品ID:100000347 名字:达人之山铜长剑      STR值：STR_SWORD_N_L2_P_45A
物品ID:100000348 名字:达人之强化山铜长剑      STR值：STR_SWORD_N_L2_P_50A
物品ID:100000349 名字:达人之发光的山铜长剑      STR值：STR_SWORD_N_U1_P_45A
物品ID:100000350 名字:达人之发光的强化山铜长剑      STR值：STR_SWORD_N_U1_P_50A
物品ID:100000351 名字:山铜长剑      STR值：STR_SWORD_D_N_C2_P_45A
物品ID:100000352 名字:强化山铜长剑      STR值：STR_SWORD_D_N_C2_P_50A
物品ID:100000353 名字:闪光的山铜长剑      STR值：STR_SWORD_D_N_R1_P_45A
物品ID:100000354 名字:闪光的强化山铜长剑      STR值：STR_SWORD_D_N_R1_P_50A
物品ID:100000355 名字:匠人之山铜长剑      STR值：STR_SWORD_D_N_R2_P_45A
物品ID:100000356 名字:匠人之强化山铜长剑      STR值：STR_SWORD_D_N_R2_P_50A
物品ID:100000357 名字:匠人之发光的山铜长剑      STR值：STR_SWORD_D_N_L1_P_45A
物品ID:100000358 名字:匠人之发光的强化山铜长剑      STR值：STR_SWORD_D_N_L1_P_50A
