quest,file,field,delta,source,target,priority,declared_max,pre_bound,exact_matched,verdict,conditions
13841,13841.xml,var1,1,started,started,1,40,38,False,OK,variable-below:var1=39
13845,13845.xml,var1,1,started,started,1,40,38,False,OK,variable-below:var1=39
13849,13849.xml,var1,1,started,started,1,40,38,False,OK,variable-below:var1=39
13920,13920.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13921,13921.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13923,13923.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13924,13924.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13926,13926.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13927,13927.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13930,13930.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13931,13931.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13933,13933.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13934,13934.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13936,13936.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13937,13937.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13940,13940.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13943,13943.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
13944,13944.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
13945,13945.xml,var1,1,started,started,1,2,0,False,OK,variable-below:var1=1
13955,13955.xml,var1,1,started,reward,1,5,4,False,OK,"variable-sum-is:None=5,variable-below:var1=5"
13955,13955.xml,var1,1,started,started,2,5,4,False,OK,"variable-sum-below:None=5,variable-below:var1=5"
13955,13955.xml,var2,1,started,reward,1,5,4,False,OK,"variable-sum-is:None=5,variable-below:var2=5"
13955,13955.xml,var2,1,started,started,2,5,4,False,OK,"variable-sum-below:None=5,variable-below:var2=5"
14012,14012.xml,var1,1,s1,s1,,5,4,True,OK,"variable-is:var0=1,variable-below:var1=5"
14012,14012.xml,var2,1,s1,s1,,3,2,True,OK,"variable-is:var0=1,variable-below:var2=3"
14013,14013.xml,var1,1,hunting,hunting,,5,4,True,OK,"variable-is:var0=1,variable-below:var1=5"
14013,14013.xml,var2,1,hunting,hunting,,7,6,True,OK,"variable-is:var0=1,variable-below:var2=7"
14025,14025.xml,var1,1,s5,s5,,4,3,True,OK,"variable-is:var0=5,variable-below:var1=4"
14025,14025.xml,var2,1,s5,s5,,1,0,True,OK,"variable-is:var0=5,variable-below:var2=1"
14054,14054.xml,var1,1,s2,s2,1,6,5,False,OK,"variable-is:var0=2,variable-below:var1=6"
14054,14054.xml,var2,1,s2,s2,1,3,2,False,OK,"variable-is:var0=2,variable-below:var2=3"
14203,14203.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
14204,14204.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
15001,15001.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15001,15001.xml,var2,1,started,started,1,5,4,False,OK,variable-below:var2=5
15020,15020.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15020,15020.xml,var2,1,started,started,1,5,4,False,OK,variable-below:var2=5
15041,15041.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
15042,15042.xml,var1,1,started,started,1,2,1,False,OK,"world-is:None=None,variable-below:var1=2"
15050,15050.xml,var1,1,started,started,1,7,5,False,OK,variable-below:var1=6
15060,15060.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
15062,15062.xml,var1,1,started,started,1,7,5,False,OK,variable-below:var1=6
15065,15065.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15073,15073.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15073,15073.xml,var2,1,started,started,1,5,4,False,OK,variable-below:var2=5
15074,15074.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
15100,15100.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15100,15100.xml,var2,1,started,started,1,5,4,False,OK,variable-below:var2=5
15101,15101.xml,var1,1,hunt,hunt,1,10,9,False,OK,variable-below:var1=10
15104,15104.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15104,15104.xml,var2,1,started,started,1,3,2,False,OK,variable-below:var2=3
15201,15201.xml,var1,1,started,started,1,10,9,False,OK,variable-below:var1=10
15202,15202.xml,var1,1,started,started,1,10,9,False,OK,variable-below:var1=10
15203,15203.xml,var1,1,started,started,1,5,4,False,OK,variable-below:var1=5
15203,15203.xml,var2,1,started,started,1,3,2,False,OK,variable-below:var2=3
15203,15203.xml,var3,1,started,started,1,2,1,False,OK,variable-below:var3=2
15304,15304.xml,var1,1,s2,s2,1,59,58,False,OK,variable-below:var1=59
15306,15306.xml,var1,1,s3,s3,1,59,58,False,OK,variable-below:var1=59
15306,15306.xml,var1,1,s4,s4,1,59,58,False,OK,variable-below:var1=59
15306,15306.xml,var1,1,s5,s5,1,59,28,False,OK,variable-below:var1=29
15306,15306.xml,var1,1,s7,s7,1,59,3,False,OK,variable-below:var1=4
15314,15314.xml,var1,1,s2,s2,1,59,58,False,OK,variable-below:var1=59
15316,15316.xml,var1,1,s3,s3,1,59,58,False,OK,variable-below:var1=59
15316,15316.xml,var1,1,s4,s4,1,59,58,False,OK,variable-below:var1=59
15316,15316.xml,var1,1,s5,s5,1,59,28,False,OK,variable-below:var1=29
15316,15316.xml,var1,1,s7,s7,1,59,3,False,OK,variable-below:var1=4
15321,15321.xml,var1,1,s1,s1,1,59,28,False,OK,variable-below:var1=29
15321,15321.xml,var1,1,s3,s3,1,59,28,False,OK,variable-below:var1=29
15321,15321.xml,var1,1,s5,s5,1,59,8,False,OK,variable-below:var1=9
15321,15321.xml,var1,1,s7,s7,1,59,28,False,OK,variable-below:var1=29
15321,15321.xml,var1,1,s9,s9,1,59,28,False,OK,variable-below:var1=29
15321,15321.xml,var1,1,s11,s11,1,59,28,False,OK,variable-below:var1=29
15322,15322.xml,var1,1,s1,s1,1,9,8,False,OK,variable-below:var1=9
15322,15322.xml,var1,1,s3,s3,1,9,8,False,OK,variable-below:var1=9
15322,15322.xml,var1,1,s5,s5,1,9,8,False,OK,variable-below:var1=9
15322,15322.xml,var1,1,s7,s7,1,9,8,False,OK,variable-below:var1=9
15324,15324.xml,var1,1,started,started,1,20,18,False,OK,variable-below:var1=19
15324,15324.xml,var1,1,h1,h1,1,20,18,False,OK,variable-below:var1=19
15324,15324.xml,var1,1,h2,h2,1,20,18,False,OK,variable-below:var1=19
15325,15325.xml,var1,1,started,started,1,29,28,True,OK,variable-below:var1=29
15326,15326.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15400,15400.xml,var1,1,s6,s7,0,2,,False,UNBOUNDED,"variable-is:var0=6,variable-at-least:var1=0"
15400,15400.xml,var1,1,s6,s6,1,2,0,False,OK,"variable-is:var0=6,variable-below:var1=1"
15406,15406.xml,var1,1,started,started,1,4,2,True,OK,variable-below:var1=3
15406,15406.xml,var2,1,started,started,1,4,2,True,OK,variable-below:var2=3
15407,15407.xml,var1,1,started,started,1,4,2,True,OK,variable-below:var1=3
15407,15407.xml,var2,1,started,started,1,4,2,True,OK,variable-below:var2=3
15408,15408.xml,var1,1,started,started,1,4,2,True,OK,variable-below:var1=3
15408,15408.xml,var2,1,started,started,1,4,2,True,OK,variable-below:var2=3
15411,15411.xml,var1,1,started,started,1,2,0,False,OK,variable-below:var1=1
15412,15412.xml,var1,1,started,started,1,2,0,False,OK,variable-below:var1=1
15413,15413.xml,var1,1,started,started,1,2,0,False,OK,variable-below:var1=1
15414,15414.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15415,15415.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15416,15416.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15417,15417.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15418,15418.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15419,15419.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15420,15420.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15421,15421.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15422,15422.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15423,15423.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15424,15424.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15425,15425.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15426,15426.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15427,15427.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15428,15428.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15429,15429.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15430,15430.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15431,15431.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15432,15432.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15433,15433.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15434,15434.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15435,15435.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15436,15436.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15437,15437.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15438,15438.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15439,15439.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15440,15440.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15441,15441.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15442,15442.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15443,15443.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15444,15444.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15445,15445.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15476,15476.xml,var1,1,started,started,1,8,6,False,OK,variable-below:var1=7
15477,15477.xml,var1,1,started,started,1,8,6,True,OK,variable-below:var1=7
15500,15500.xml,var1,1,started,started,1,20,18,False,OK,variable-below:var1=19
15501,15501.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15503,15503.xml,var1,1,started,started,1,20,18,False,OK,variable-below:var1=19
15504,15504.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15506,15506.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15507,15507.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15509,15509.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15510,15510.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15512,15512.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15513,15513.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15515,15515.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15516,15516.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15518,15518.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15519,15519.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15520,15520.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15521,15521.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15522,15522.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15524,15524.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15525,15525.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15527,15527.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15528,15528.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15529,15529.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15530,15530.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15531,15531.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15533,15533.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15534,15534.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15536,15536.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15537,15537.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15546,15546.xml,var1,1,started,started,2,4,2,False,OK,variable-below:var1=3
15546,15546.xml,var2,1,started,started,2,4,2,False,OK,variable-below:var2=3
15546,15546.xml,var3,1,started,started,2,4,2,False,OK,variable-below:var3=3
15546,15546.xml,var4,1,started,started,2,4,2,False,OK,variable-below:var4=3
15560,15560.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
15566,15566.xml,var0,1,started,started,1,5,4,False,OK,"pvp-victim-level-delta:None=None,variable-below:var0=5"
15566,15566.xml,var0,1,started,reward,0,5,,False,UNBOUNDED,"pvp-victim-level-delta:None=None,variable-at-least:var0=4"
15570,15570.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15571,15571.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15572,15572.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15573,15573.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15574,15574.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15575,15575.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15576,15576.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15577,15577.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15578,15578.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15579,15579.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15580,15580.xml,var1,1,started,started,1,20,19,False,OK,variable-below:var1=20
15580,15580.xml,var2,1,started,started,1,20,19,False,OK,variable-below:var2=20
15596,15596.xml,var0,1,started,started,1,5,4,False,OK,"pvp-victim-level-delta:None=None,variable-below:var0=5"
15596,15596.xml,var0,1,started,reward,0,5,,False,UNBOUNDED,"pvp-victim-level-delta:None=None,variable-at-least:var0=4"
15604,15604.xml,var1,1,s1,s2,0,4,,False,UNBOUNDED,variable-at-least:var1=3
15604,15604.xml,var1,1,s1,s1,1,4,3,False,OK,variable-below:var1=4
15632,15632.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
15634,15634.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
15637,15637.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
15639,15639.xml,var1,1,started,started,1,3,1,False,OK,variable-below:var1=2
15640,15640.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
15671,15671.xml,var2,1,started,started,1,6,5,False,OK,variable-below:var2=6
15693,15693.xml,var1,1,started,started,1,10,8,False,OK,variable-below:var1=9
15694,15694.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15695,15695.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15696,15696.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15697,15697.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15698,15698.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15699,15699.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15700,15700.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15701,15701.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15702,15702.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15703,15703.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15704,15704.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15705,15705.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15706,15706.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15707,15707.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15708,15708.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
15709,15709.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
16801,16801.xml,var1,1,started,started,1,30,28,False,OK,"variable-is:var0=0,variable-below:var1=29"
16801,16801.xml,var1,1,started,reward,0,30,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=29"
16802,16802.xml,var1,1,started,started,1,30,28,False,OK,"variable-is:var0=0,variable-below:var1=29"
16802,16802.xml,var1,1,started,k1,0,30,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=29"
16802,16802.xml,var2,1,k1,k1,1,2,0,False,OK,"variable-is:var0=1,variable-below:var2=1"
16802,16802.xml,var2,1,k1,k2,0,2,,False,UNBOUNDED,"variable-is:var0=1,variable-at-least:var2=1"
16803,16803.xml,var1,1,started,started,1,30,28,False,OK,"variable-is:var0=0,variable-below:var1=29"
16803,16803.xml,var1,1,started,k1,0,30,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=29"
16805,16805.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
16806,16806.xml,var1,1,started,started,2,30,28,True,OK,variable-below:var1=29
16806,16806.xml,var1,1,started,started,1,30,29,True,OK,"variable-is:var1=29,variable-below:var2=2"
16806,16806.xml,var1,1,started,reward,0,30,29,True,OK,"variable-is:var1=29,variable-at-least:var2=2"
16806,16806.xml,var2,1,started,started,2,2,0,True,OK,variable-below:var2=1
16806,16806.xml,var2,1,started,started,1,2,1,True,OK,"variable-is:var2=1,variable-below:var1=30"
16806,16806.xml,var2,1,started,reward,0,2,1,True,OK,"variable-at-least:var1=30,variable-is:var2=1"
16807,16807.xml,var1,1,started,started,1,30,28,False,OK,variable-below:var1=29
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16821,16821.xml,var1,1,s2,s3,0,34,,False,UNBOUNDED,"variable-is:var0=2,variable-at-least:var1=33"
16821,16821.xml,var1,1,s2,s2,1,34,33,False,OK,"variable-is:var0=2,variable-below:var1=34"
16823,16823.xml,var1,1,started,started,1,5,3,False,OK,"variable-is:var0=0,variable-below:var1=4"
16828,16828.xml,var1,1,started,started,1,5,3,True,OK,"variable-is:var0=0,variable-below:var1=4"
16828,16828.xml,var1,1,started,reward,0,5,4,True,OK,"variable-is:var0=0,variable-is:var1=4"
16829,16829.xml,var1,1,started,started,1,10,8,True,OK,"variable-is:var0=0,variable-below:var1=9"
16829,16829.xml,var1,1,started,reward,0,10,9,True,OK,"variable-is:var0=0,variable-is:var1=9"
16832,16832.xml,var1,1,started,reward,,1,0,True,OK,"variable-is:var0=0,variable-is:var1=0"
16909,16909.xml,var0,1,started,reward,,1,0,False,OK,
16988,16988.xml,var1,1,started,started,1,5,3,False,OK,"variable-is:var0=0,variable-below:var1=4"
16988,16988.xml,var1,1,started,k1,0,5,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=4"
17160,17160.xml,var1,1,started,started,1,10,8,False,OK,"variable-is:var0=0,variable-below:var1=9"
17160,17160.xml,var1,1,started,k1,0,10,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=9"
17161,17161.xml,var1,1,started,started,1,10,8,False,OK,"variable-is:var0=0,variable-below:var1=9"
17161,17161.xml,var1,1,started,k1,0,10,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=9"
17510,17510.xml,var1,1,s3,s3,2,10,8,False,OK,variable-below:var1=9
17511,17511.xml,var1,1,started,s1,0,5,,False,UNBOUNDED,"variable-is:var0=0,variable-at-least:var1=4"
17511,17511.xml,var1,1,started,started,1,5,4,False,OK,"variable-is:var0=0,variable-below:var1=5"
17511,17511.xml,var1,1,s4,s5,0,5,,False,UNBOUNDED,"variable-is:var0=4,variable-at-least:var1=4"
