quest_id,quest_npc_id,display_name,desc_tag,competing_npc_ids,competing_names
1005,700082,蓝色动力装置,STR_OBJ_TRIGGER_Blue,700086,700086:portaltrigger_d2(STR_OBJ_TRIGGER_Blue)
1005,700083,紫色动力装置,STR_OBJ_TRIGGER_purple,700087,700087:portaltrigger_d3(STR_OBJ_TRIGGER_purple)
1006,211042,德拉克纽特突击兵,STR_LizardmanFighter_30_An,215392 215396 290020 290021 290064 290084 290104 290105 290107 290108,215392:IDAbProD3_LizardFi_50_An(STR_IDAbProD3_LizardFi_50_An) | 215396:IDAbProL3_LizardFi_50_An(STR_IDAbProL3_LizardFi_50_An) | 290020:BAb1_1141_Patrol_Dr_Kn_A(STR_LizardmanFighter_30_An) | 290021:BAb1_1141_LizardmanFighter_A(STR_LizardmanFighter_30_An) | 290064:BAb1_1201_LizardmanFighter_A(STR_LizardmanFighter_30_An) | 290084:BAb1_1250_LizardmanFighter_A(STR_LizardmanFighter_30_An) | 290104:BAb1_1011_BmLightGuardian_A(STR_LizardmanFighter_30_An) | 290105:BAb1_1011_BmLightGuardianSum_A(STR_LizardmanFighter_30_An) | 290107:BAb1_1011_BmDarkGuardian_A(STR_LizardmanFighter_30_An) | 290108:BAb1_1011_BmDarkGuardianSum_A(STR_LizardmanFighter_30_An)
1006,211043,恐怖的奥里萨,STR_NPC_AbPro_Naga_Boss,215400,215400:IDAbProL3_NagaNamed_50_An(STR_IDAbProL3_NagaNamed_50_An)
1006,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1007,203752,尤克雷阿斯,STR_NPC_Jucleas,220915 221226,220915:Dreadgion_Jucleas(STR_NPC_Jucleas) | 221226:Dreadgion_Jucleas_SP(STR_NPC_Jucleas)
1007,203758,马库斯,STR_NPC_Macus,217807 220918 221229,217807:IDArena_Solo_S5_Fi_L_55_An(STR_IDArena_Solo_S5_Fi_L_55_An) | 220918:Dreadgion_Macus(STR_NPC_Macus) | 221229:Dreadgion_Macus_SP(STR_NPC_Macus)
1007,203759,埃乌梅洛斯,STR_NPC_Eumelos,217808 220919 221230,217808:IDArena_Solo_S5_As_L_55_An(STR_IDArena_Solo_S5_As_L_55_An) | 220919:Dreadgion_Eumelos(STR_NPC_Eumelos) | 221230:Dreadgion_Eumelos_SP(STR_NPC_Eumelos)
1007,203760,贝尔丽亚,STR_NPC_Bellia,217809 220933 221244,217809:IDArena_Solo_S5_Ma_L_55_An(STR_IDArena_Solo_S5_Ma_L_55_An) | 220933:Dreadgion_Bellia(STR_NPC_Bellia) | 221244:Dreadgion_Bellia_SP(STR_NPC_Bellia)
1007,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1007,203761,希凯雅,STR_NPC_Hygea,217810 220934 221245,217810:IDArena_Solo_S5_Pr_L_55_An(STR_IDArena_Solo_S5_Pr_L_55_An) | 220934:Dreadgion_Hygea(STR_NPC_Hygea) | 221245:Dreadgion_Hygea_SP(STR_NPC_Hygea)
1007,801212,达莫克雷斯,STR_NPC_LC1_Damocles_M,220920 221231,220920:Dreadgion_LC1_Damocles_M(STR_NPC_LC1_Damocles_M) | 221231:Dreadgion_LC1_Damocles_M_SP(STR_NPC_LC1_Damocles_M)
1007,801213,阿斯帕西亚,STR_NPC_LC1_Aspasia_M,220921 221232,220921:Dreadgion_LC1_Aspasia_M(STR_NPC_LC1_Aspasia_M) | 221232:Dreadgion_LC1_Aspasia_M_SP(STR_NPC_LC1_Aspasia_M)
1101,203057,米雷斯,STR_NPC_Mires,835058,835058:IDTM_L_L_abyss_goods_ApSeller(STR_NPC_IDTM_L_L_abyss_goods_ApSeller)
1102,203057,米雷斯,STR_NPC_Mires,835058,835058:IDTM_L_L_abyss_goods_ApSeller(STR_NPC_IDTM_L_L_abyss_goods_ApSeller)
1103,203057,米雷斯,STR_NPC_Mires,835058,835058:IDTM_L_L_abyss_goods_ApSeller(STR_NPC_IDTM_L_L_abyss_goods_ApSeller)
1104,203057,米雷斯,STR_NPC_Mires,835058,835058:IDTM_L_L_abyss_goods_ApSeller(STR_NPC_IDTM_L_L_abyss_goods_ApSeller)
1106,203061,乌诺,STR_NPC_Uno,831819 831820,831819:event_Guarantee_1(STR_EVENT_GUARANTEE_1) | 831820:event_Guarantee_1_1(STR_EVENT_GUARANTEE_1_1)
1108,203061,乌诺,STR_NPC_Uno,831819 831820,831819:event_Guarantee_1(STR_EVENT_GUARANTEE_1) | 831820:event_Guarantee_1_1(STR_EVENT_GUARANTEE_1_1)
1108,210668,粉红喙海伊布,STR_Hiiv_4_n,210205,210205:Hiiv_3_n(STR_Hiiv_3_n)
1108,210205,粉红喙海伊布,STR_Hiiv_3_n,210668,210668:Hiiv_4_n(STR_Hiiv_4_n)
1111,210674,口哨森林缪塔,STR_Muta_6_n,210261,210261:Muta_5_n(STR_Muta_5_n)
1111,210261,口哨森林缪塔,STR_Muta_5_n,210674,210674:Muta_6_n(STR_Muta_6_n)
1111,203061,乌诺,STR_NPC_Uno,831819 831820,831819:event_Guarantee_1(STR_EVENT_GUARANTEE_1) | 831820:event_Guarantee_1_1(STR_EVENT_GUARANTEE_1_1)
1114,203175,塞莲尼娅,STR_Monster_Seirenia,203835,203835:Seirenia_city(STR_Monster_Seirenia)
1116,210195,丛林菲斯勒,STR_Fethlot_5_n,210196,210196:Fethlot_6_n(STR_Fethlot_6_n)
1116,210196,丛林菲斯勒,STR_Fethlot_6_n,210195,210195:Fethlot_5_n(STR_Fethlot_5_n)
1122,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1122,210259,褐毛布拉斯,STR_Brax_3_n,210260,210260:Brax_4_n(STR_Brax_4_n)
1122,210195,丛林菲斯勒,STR_Fethlot_5_n,210196,210196:Fethlot_6_n(STR_Fethlot_6_n)
1122,210196,丛林菲斯勒,STR_Fethlot_6_n,210195,210195:Fethlot_5_n(STR_Fethlot_5_n)
1122,210260,褐毛布拉斯,STR_Brax_4_n,210259,210259:Brax_3_n(STR_Brax_3_n)
1123,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1124,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1125,700107,奇怪的箱子,STR_OBJ_LF_TMOLIA_BOX,211823 220500 246295 246328 280358 280968 280969 700174 701672 701673 701674 834140 834153 834154,211823:LF1AChestBig_16_n(STR_LF1AChestBig_16_n) | 220500:IDEternity_02_C_Mimic_B_74_e(STR_IDEternity_02_C_Mimic_B_74_e) | 246295:IDEvent_Solo_Box_Bonus_65_N(STR_IDEvent_Solo_Box_Bonus_65_N) | 246328:IDEvent_Solo_Box_Bonus_45_N(STR_IDEvent_Solo_Box_Bonus_65_N) | 280358:BLF2_NM2_Box_40_An(STR_BLF2_NM2_Box_40_An) | 280968:BIDDF2A_GraveKnightSum_MimicA_50_An(STR_BIDDF2A_GraveKnightSum_MimicA_50_An) | 280969:BIDDF2A_GraveKnightSum_MimicB_50_An(STR_BIDDF2A_GraveKnightSum_MimicB_50_An) | 700174:LF2_FOBJ_Q1411(STR_OBJ_LF2_FOBJ_Q1411) | 701672:IDF5_U1_Treasurebox_01(STR_NPC_IDF5_U1_Treasurebox) | 701673:IDF5_U1_Treasurebox_02(STR_NPC_IDF5_U1_Treasurebox) | 701674:IDF5_U1_Treasurebox_03(STR_NPC_IDF5_U1_Treasurebox) | 834140:IDEternity_02_C_event_Treasurebox(STR_IDEternity_02_C_event_Treasurebox) | 834153:IDEternity_02_C_event_Treasurebox_01(STR_IDEternity_02_C_event_Treasurebox) | 834154:IDEternity_02_C_event_Treasurebox_02(STR_IDEternity_02_C_event_Treasurebox)
1126,210192,无畏的彭基,STR_Fungy_7_n,219287 219288,219287:event_l_Fungy_7_n(STR_Fungy_7_n) | 219288:event_D_Fungy_7_n(STR_Fungy_7_n)
1129,210182,图尔辛监视者,STR_TKrallWarrior_8_An_2,210161 210740,210161:TKrallKeeper_9_An(STR_TKrallKeeper_9_An) | 210740:TKrallWarrior_14_An(STR_TKrallWarrior_14_An)
1129,210161,图尔辛监视者,STR_TKrallKeeper_9_An,210182 210740,210182:TKrallWarrior_8_An_2(STR_TKrallWarrior_8_An_2) | 210740:TKrallWarrior_14_An(STR_TKrallWarrior_14_An)
1129,210097,杜卡基战士,STR_DBrownieMWa_8_An,210098 210099 210686,210098:DBrownieWWa_13_An(STR_DBrownieWWa_13_An) | 210099:DBrownieWWa_14_An(STR_DBrownieWWa_14_An) | 210686:DBrownieMWa_9_An(STR_DBrownieMWa_9_An)
1129,210101,杜卡基巡查兵,STR_DBrownieWWa_8_An,210687,210687:DBrownieWWa_9_An(STR_DBrownieWWa_9_An)
1129,210686,杜卡基战士,STR_DBrownieMWa_9_An,210097 210098 210099,210097:DBrownieMWa_8_An(STR_DBrownieMWa_8_An) | 210098:DBrownieWWa_13_An(STR_DBrownieWWa_13_An) | 210099:DBrownieWWa_14_An(STR_DBrownieWWa_14_An)
1129,210687,杜卡基巡查兵,STR_DBrownieWWa_9_An,210101,210101:DBrownieWWa_8_An(STR_DBrownieWWa_8_An)
1132,210320,尖角开普拉,STR_Starcrab_11_n,210269,210269:Starcrab_10_n(STR_Starcrab_10_n)
1132,210266,湿地慢性子龙龟,STR_Starturtle_10_n,210267,210267:Starturtle_11_n(STR_Starturtle_11_n)
1132,210267,湿地慢性子龙龟,STR_Starturtle_11_n,210266,210266:Starturtle_10_n(STR_Starturtle_10_n)
1132,210269,尖角开普拉,STR_Starcrab_10_n,210320,210320:Starcrab_11_n(STR_Starcrab_11_n)
1148,210193,森林路皮里尼,STR_lupyllini_13_n,282788,282788:LDF4a_lupyllini(STR_LDF4a_lupyllini)
1148,210188,野生竖条托格,STR_Tog_12_An,210189,210189:Tog_13_An(STR_Tog_13_An)
1148,210189,野生竖条托格,STR_Tog_13_An,210188,210188:Tog_12_An(STR_Tog_12_An)
1149,203191,波比,STR_MONSTER_Puppy,217385,217385:Polymorph_Porguss_G1(STR_Polymorph_Porguss_G1)
1159,210689,小蜘蛛,STR_BabyOctaside_16_An,281399,281399:BIDTP_OctacideS_52_n(STR_BIDTP_OctacideS_52_n)
1160,210090,杜卡基警戒者,STR_DBrownieWSc_13_An,210091 214098,210091:DBrownieWSc_14_An(STR_DBrownieWSc_14_An) | 214098:DBrownieWSc_16_An(STR_DBrownieWSc_16_An)
1160,210091,杜卡基警戒者,STR_DBrownieWSc_14_An,210090 214098,210090:DBrownieWSc_13_An(STR_DBrownieWSc_13_An) | 214098:DBrownieWSc_16_An(STR_DBrownieWSc_16_An)
1160,210098,杜卡基战士,STR_DBrownieWWa_13_An,210097 210099 210686,210097:DBrownieMWa_8_An(STR_DBrownieMWa_8_An) | 210099:DBrownieWWa_14_An(STR_DBrownieWWa_14_An) | 210686:DBrownieMWa_9_An(STR_DBrownieMWa_9_An)
1160,210099,杜卡基战士,STR_DBrownieWWa_14_An,210097 210098 210686,210097:DBrownieMWa_8_An(STR_DBrownieMWa_8_An) | 210098:DBrownieWWa_13_An(STR_DBrownieWWa_13_An) | 210686:DBrownieMWa_9_An(STR_DBrownieMWa_9_An)
1160,210332,布洛尼料理师,STR_DBrownieMWa_14_An_2,210333 210410,210333:DBrownieWWa_14_An_2(STR_DBrownieWWa_14_An_2) | 210410:DBrownieWWa_8_An_2(STR_DBrownieWWa_8_An_2)
1160,210333,布洛尼料理师,STR_DBrownieWWa_14_An_2,210332 210410,210332:DBrownieMWa_14_An_2(STR_DBrownieMWa_14_An_2) | 210410:DBrownieWWa_8_An_2(STR_DBrownieWWa_8_An_2)
1162,700005,宝石箱子,STR_OBJ_JewelBox,700127 700156 700163 700188 730032,700127:DF1_JewelBox(STR_OBJ_DF1_JewelBox) | 700156:LF2_JewelBox_Q1038(STR_OBJ_DF1_JewelBox) | 700163:LF2_Lost_Box(STR_OBJ_DF1_JewelBox) | 700188:LF3_JewelBox_Q1561(STR_OBJ_DF1_JewelBox) | 730032:LF2_Lost_JewelBox(STR_OBJ_DF1_JewelBox)
1166,210130,毒针蜘蛛,STR_Octaside_15_An,210131,210131:Octaside_16_An(STR_Octaside_16_An)
1166,210131,毒针蜘蛛,STR_Octaside_16_An,210130,210130:Octaside_15_An(STR_Octaside_15_An)
1166,210200,大耙爪龙蜥兽,STR_FrillfaimamA_15_An,210201 212139 212140 212141,210201:FrillfaimamA_16_An(STR_FrillfaimamA_16_An) | 212139:F_FrillfaimamBeDiebyNT_37_An(STR_FrillfaimamA_15_An) | 212140:F_FrillfaimamDiebyNT_37_An(STR_FrillfaimamA_15_An) | 212141:F_FrillfaimamNMDiebyNT_37_An(STR_FrillfaimamA_15_An)
1166,210201,大耙爪龙蜥兽,STR_FrillfaimamA_16_An,210200 212139 212140 212141,210200:FrillfaimamA_15_An(STR_FrillfaimamA_15_An) | 212139:F_FrillfaimamBeDiebyNT_37_An(STR_FrillfaimamA_15_An) | 212140:F_FrillfaimamDiebyNT_37_An(STR_FrillfaimamA_15_An) | 212141:F_FrillfaimamNMDiebyNT_37_An(STR_FrillfaimamA_15_An)
1167,210272,凶暴的西莫罗格,STR_Condor_16_An,210271,210271:Condor_15_An(STR_Condor_15_An)
1167,210271,凶暴的西莫罗格,STR_Condor_15_An,210272,210272:Condor_16_An(STR_Condor_16_An)
1176,210106,碎石卡尔克盖伦,STR_SouledStone_17_An,210107,210107:SouledStone_18_An(STR_SouledStone_18_An)
1176,210107,碎石卡尔克盖伦,STR_SouledStone_18_An,210106,210106:SouledStone_17_An(STR_SouledStone_17_An)
1188,203167,图诺托斯,STR_NPC_Notos,203727,203727:Tunotos(STR_NPC_Tunotos)
1189,210331,沙漠肯索利德,STR_Potcrab_18_n,210275,210275:Potcrab_19_n(STR_Potcrab_19_n)
1189,210275,沙漠肯索利德,STR_Potcrab_19_n,210331,210331:Potcrab_18_n(STR_Potcrab_18_n)
1192,203701,拉比临托斯,STR_NPC_Lavirintos,220929 221240,220929:Dreadgion_Lavirintos(STR_NPC_Lavirintos) | 221240:Dreadgion_Lavirintos_SP(STR_NPC_Lavirintos)
1193,210708,图尔辛监视队长,STR_TKrallKeeper_20_Ae,210159,210159:TKrallKeeper_19_Ae(STR_TKrallKeeper_19_Ae)
1193,210159,图尔辛监视队长,STR_TKrallKeeper_19_Ae,210708,210708:TKrallKeeper_20_Ae(STR_TKrallKeeper_20_Ae)
1196,210086,空气精灵,STR_AElemental1st_18_An,217514,217514:S3_ElementalAir_1st_55_Ae(STR_S3_ElementalAir_1st_55_Ae)
1198,700009,奇怪的信函,STR_OBJ_Scroll_Lehpar_2,700136,700136:DF1A_Lehpar_Order(STR_OBJ_Scroll_Lehpar_2)
1204,210331,沙漠肯索利德,STR_Potcrab_18_n,210275,210275:Potcrab_19_n(STR_Potcrab_19_n)
1204,210275,沙漠肯索利德,STR_Potcrab_19_n,210331,210331:Potcrab_18_n(STR_Potcrab_18_n)
1303,211684,红尾路皮里尼,STR_lupyllini_19_n,211685 290086,211685:lupyllini_20_n(STR_lupyllini_20_n) | 290086:BAb1_1250_lupyllini_A(STR_lupyllini_20_n)
1303,211685,红尾路皮里尼,STR_lupyllini_20_n,211684 290086,211684:lupyllini_19_n(STR_lupyllini_19_n) | 290086:BAb1_1250_lupyllini_A(STR_lupyllini_20_n)
1307,210758,曼杜里采集工,STR_ManduriT_21_An,210763,210763:ManduriT_22_An(STR_ManduriT_22_An)
1307,210759,曼杜里猎人,STR_ManduriB_21_An,210764,210764:ManduriB_22_An(STR_ManduriB_22_An)
1307,210763,曼杜里采集工,STR_ManduriT_22_An,210758,210758:ManduriT_21_An(STR_ManduriT_21_An)
1307,210764,曼杜里猎人,STR_ManduriB_22_An,210759,210759:ManduriB_21_An(STR_ManduriB_21_An)
1311,700164,肥沃的土壤,STR_OBJ_LF2_Planting_Site_Q1311,700165 700166 700167,700165:LF2_Planting_Site_2(STR_OBJ_LF2_Planting_Site_Q1311) | 700166:LF2_Planting_Site_3(STR_OBJ_LF2_Planting_Site_Q1311) | 700167:LF2_Planting_Site_4(STR_OBJ_LF2_Planting_Site_Q1311)
1317,210774,克鲁比安采集工,STR_Cherubim2_23_n,210783,210783:Cherubim2_24_n(STR_Cherubim2_24_n)
1317,210783,克鲁比安采集工,STR_Cherubim2_24_n,210774,210774:Cherubim2_23_n(STR_Cherubim2_23_n)
1318,210774,克鲁比安采集工,STR_Cherubim2_23_n,210783,210783:Cherubim2_24_n(STR_Cherubim2_24_n)
1318,210783,克鲁比安采集工,STR_Cherubim2_24_n,210774,210774:Cherubim2_23_n(STR_Cherubim2_23_n)
1319,798050,吉尔灵,STR_NPC_Shugo_LF2_6,278073,278073:Gilling(STR_NPC_Gilling)
1323,730032,宝石箱子,STR_OBJ_DF1_JewelBox,700005 700127 700156 700163 700188,700005:JewelBox_Q52(STR_OBJ_JewelBox) | 700127:DF1_JewelBox(STR_OBJ_DF1_JewelBox) | 700156:LF2_JewelBox_Q1038(STR_OBJ_DF1_JewelBox) | 700163:LF2_Lost_Box(STR_OBJ_DF1_JewelBox) | 700188:LF3_JewelBox_Q1561(STR_OBJ_DF1_JewelBox)
1325,210795,巨螯露盘特,STR_Lobster_25_An,210806,210806:Lobster_26_An(STR_Lobster_26_An)
1325,210806,巨螯露盘特,STR_Lobster_26_An,210795,210795:Lobster_25_An(STR_Lobster_25_An)
1333,210808,阿盖伦德雷克,STR_Bonedrake_27_An,210799 284382 290010 290011,210799:Bonedrake_26_An(STR_Bonedrake_26_An) | 284382:BLDF5_Under_Rune_FrostNmd_MezSum2_Wi_65_Ah(STR_BLDF5_Under_Rune_FrostNmd_MezSum2_Wi_65_Ah) | 290010:BAb1_1211_Bonedrake_A(STR_Bonedrake_27_An) | 290011:BAb1_1211_Bonedrake_B(STR_Bonedrake_27_An)
1333,210799,阿盖伦德雷克,STR_Bonedrake_26_An,210808 284382 290010 290011,210808:Bonedrake_27_An(STR_Bonedrake_27_An) | 284382:BLDF5_Under_Rune_FrostNmd_MezSum2_Wi_65_Ah(STR_BLDF5_Under_Rune_FrostNmd_MezSum2_Wi_65_Ah) | 290010:BAb1_1211_Bonedrake_A(STR_Bonedrake_27_An) | 290011:BAb1_1211_Bonedrake_B(STR_Bonedrake_27_An)
1334,210805,火焰精灵,STR_ElementalFire2_26_An,210807 217520 244084 244091 245187 245194,210807:ElementalFire2_27_An(STR_ElementalFire2_27_An) | 217520:S3_ElementalFire_3rd_55_Ae(STR_S3_ElementalFire_3rd_55_Ae) | 244084:IDflame_v51_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 244091:IDflame_v51_Last_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 245187:IDflame_v51_ma_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 245194:IDflame_v51_ma_Last_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae)
1334,210807,火焰精灵,STR_ElementalFire2_27_An,210805 217520 244084 244091 245187 245194,210805:ElementalFire2_26_An(STR_ElementalFire2_26_An) | 217520:S3_ElementalFire_3rd_55_Ae(STR_S3_ElementalFire_3rd_55_Ae) | 244084:IDflame_v51_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 244091:IDflame_v51_Last_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 245187:IDflame_v51_ma_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae) | 245194:IDflame_v51_ma_Last_ElementalFire3D_65_Ae(STR_IDflame_v51_ElementalFire3D_65_Ae)
1341,210820,不毛地蜥蜴,STR_Basilisk_28_An,210809,210809:Basilisk_27_An(STR_Basilisk_27_An)
1341,210821,刺尾蝎兽,STR_Scorpion_28_An,210845 211274,210845:Scorpion_29_An(STR_Scorpion_29_An) | 211274:Scorpion_29_An_2(STR_Scorpion_29_An)
1341,210809,不毛地蜥蜴,STR_Basilisk_27_An,210820,210820:Basilisk_28_An(STR_Basilisk_28_An)
1341,210845,刺尾蝎兽,STR_Scorpion_29_An,210821 211274,210821:Scorpion_28_An(STR_Scorpion_28_An) | 211274:Scorpion_29_An_2(STR_Scorpion_29_An)
1342,210898,石皮科塞利德,STR_Shellizard_31_An,210878,210878:Shellizard_30_An(STR_Shellizard_30_An)
1342,210875,石皮科塞利奇,STR_ShellizardBaby_30_An,210877,210877:Shellizard_small_30_An(STR_Shellizard_small_30_An)
1342,210878,石皮科塞利德,STR_Shellizard_30_An,210898,210898:Shellizard_31_An(STR_Shellizard_31_An)
1349,700169,纽特的卵囊,STR_OBJ_LF2_Neut_Spawner,700209,700209:LF3_Neutspawner_Q1053(STR_OBJ_LF3_Neutspawner_Q1053)
1351,211765,蜷缩的埃拉库斯守护像,STR_4C_Gargoyle_30_Ae,211766,211766:4C_Gargoyle_31_Ae(STR_4C_Gargoyle_31_Ae)
1351,211766,蜷缩的埃拉库斯守护像,STR_4C_Gargoyle_31_Ae,211765,211765:4C_Gargoyle_30_Ae(STR_4C_Gargoyle_30_Ae)
1353,210848,沙漠科塞利奇,STR_ShellizardBaby_29_An,210822 210824 210850,210822:ShellizardBaby_28_An(STR_ShellizardBaby_28_An) | 210824:Shellizard_small_28_An(STR_Shellizard_small_28_An) | 210850:Shellizard_small_29_An(STR_Shellizard_small_29_An)
1353,210849,坚甲科塞利奇,STR_ShellizardBabyL_29_An,210823,210823:ShellizardBabyL_28_An(STR_ShellizardBabyL_28_An)
1353,210822,沙漠科塞利奇,STR_ShellizardBaby_28_An,210824 210848 210850,210824:Shellizard_small_28_An(STR_Shellizard_small_28_An) | 210848:ShellizardBaby_29_An(STR_ShellizardBaby_29_An) | 210850:Shellizard_small_29_An(STR_Shellizard_small_29_An)
1353,210823,坚甲科塞利奇,STR_ShellizardBabyL_28_An,210849,210849:ShellizardBabyL_29_An(STR_ShellizardBabyL_29_An)
1353,210875,石皮科塞利奇,STR_ShellizardBaby_30_An,210877,210877:Shellizard_small_30_An(STR_Shellizard_small_30_An)
1358,210857,泉水精灵,STR_ElementalWater2_29_An,210827,210827:ElementalWater2_28_An(STR_ElementalWater2_28_An)
1358,210827,泉水精灵,STR_ElementalWater2_28_An,210857,210857:ElementalWater2_29_An(STR_ElementalWater2_29_An)
1362,210858,监视团巡查兵,STR_LehparAs_29_An,210828 211708,210828:LehparAs_28_An(STR_LehparAs_28_An) | 211708:LehparAs_27_An(STR_LehparAs_27_An)
1362,210859,监视团警备兵,STR_LehparWa_29_An,210829 211709,210829:LehparWa_28_An(STR_LehparWa_28_An) | 211709:LehparWa_27_An(STR_LehparWa_27_An)
1362,210828,监视团巡查兵,STR_LehparAs_28_An,210858 211708,210858:LehparAs_29_An(STR_LehparAs_29_An) | 211708:LehparAs_27_An(STR_LehparAs_27_An)
1362,210829,监视团警备兵,STR_LehparWa_28_An,210859 211709,210859:LehparWa_29_An(STR_LehparWa_29_An) | 211709:LehparWa_27_An(STR_LehparWa_27_An)
1362,211708,监视团巡查兵,STR_LehparAs_27_An,210828 210858,210828:LehparAs_28_An(STR_LehparAs_28_An) | 210858:LehparAs_29_An(STR_LehparAs_29_An)
