quest_id	classification	retail_dnf	production_dnf	absent_positive_refs	unresolved_tokens
2938	REVIEW_CONTRACT	[[]]	"[[[""finished"", 24016, 0]]]"	[]	[]
2964	REVIEW_CONTRACT	"[[[""finished"", 2962, 1]]]"	"[[[""finished"", 2962, 0]]]"	[]	[]
2972	REVIEW_CONTRACT	"[[[""noacquired"", 2974, 0], [""noacquired"", 2976, 0], [""noacquired"", 2978, 0], [""noacquired"", 2980, 0], [""noacquired"", 2982, 0], [""noacquired"", 4945, 0], [""unfinished"", 2974, 0], [""unfinished"", 2976, 0], [""unfinished"", 2978, 0], [""unfinished"", 2980, 0], [""unfinished"", 2982, 0], [""unfinished"", 4945, 0]]]"	[[]]	[]	[]
2974	REVIEW_CONTRACT	"[[[""noacquired"", 2972, 0], [""noacquired"", 2976, 0], [""noacquired"", 2978, 0], [""noacquired"", 2980, 0], [""noacquired"", 2982, 0], [""noacquired"", 4948, 0], [""unfinished"", 2972, 0], [""unfinished"", 2976, 0], [""unfinished"", 2978, 0], [""unfinished"", 2980, 0], [""unfinished"", 2982, 0], [""unfinished"", 4948, 0]]]"	[[]]	[]	[]
2976	REVIEW_CONTRACT	"[[[""noacquired"", 2972, 0], [""noacquired"", 2974, 0], [""noacquired"", 2978, 0], [""noacquired"", 2980, 0], [""noacquired"", 2982, 0], [""noacquired"", 4951, 0], [""unfinished"", 2972, 0], [""unfinished"", 2974, 0], [""unfinished"", 2978, 0], [""unfinished"", 2980, 0], [""unfinished"", 2982, 0], [""unfinished"", 4951, 0]]]"	[[]]	[]	[]
2978	REVIEW_CONTRACT	"[[[""noacquired"", 2972, 0], [""noacquired"", 2974, 0], [""noacquired"", 2976, 0], [""noacquired"", 2980, 0], [""noacquired"", 2982, 0], [""noacquired"", 4954, 0], [""unfinished"", 2972, 0], [""unfinished"", 2974, 0], [""unfinished"", 2976, 0], [""unfinished"", 2980, 0], [""unfinished"", 2982, 0], [""unfinished"", 4954, 0]]]"	[[]]	[]	[]
2980	REVIEW_CONTRACT	"[[[""noacquired"", 2972, 0], [""noacquired"", 2974, 0], [""noacquired"", 2976, 0], [""noacquired"", 2978, 0], [""noacquired"", 2982, 0], [""noacquired"", 4957, 0], [""unfinished"", 2972, 0], [""unfinished"", 2974, 0], [""unfinished"", 2976, 0], [""unfinished"", 2978, 0], [""unfinished"", 2982, 0], [""unfinished"", 4957, 0]]]"	[[]]	[]	[]
2982	REVIEW_CONTRACT	"[[[""noacquired"", 2972, 0], [""noacquired"", 2974, 0], [""noacquired"", 2976, 0], [""noacquired"", 2978, 0], [""noacquired"", 2980, 0], [""noacquired"", 4960, 0], [""unfinished"", 2972, 0], [""unfinished"", 2974, 0], [""unfinished"", 2976, 0], [""unfinished"", 2978, 0], [""unfinished"", 2980, 0], [""unfinished"", 4960, 0]]]"	[[]]	[]	[]
3050	REVIEW_CONTRACT	"[[[""finished"", 3049, 0]]]"	[[]]	[]	[]
3102	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1094, 0]], [[""finished"", 3121, 0]]]"	"[[[""finished"", 3121, 0]]]"	[1094]	[]
3121	REVIEW_CONTRACT	"[[[""noacquired"", 1091, 0], [""noacquired"", 1094, 0], [""unfinished"", 1091, 0], [""unfinished"", 1094, 0]]]"	[[]]	[]	[]
3548	REVIEW_CONTRACT	"[[[""noacquired"", 1057, 0], [""noacquired"", 1500, 0], [""unfinished"", 1057, 0], [""unfinished"", 1500, 0]]]"	[[]]	[]	[]
3975	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 3935, 0]], [[""finished"", 15352, 0]]]"	"[[[""finished"", 3935, 0]]]"	[15352]	[]
4079	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2092, 0]], [[""finished"", 24201, 0]]]"	"[[[""finished"", 24201, 0]]]"	[2092]	[]
4120	REVIEW_CONTRACT	"[[[""noacquired"", 2091, 0], [""noacquired"", 2094, 0], [""unfinished"", 2091, 0], [""unfinished"", 2094, 0]]]"	[[]]	[]	[]
4311	REVIEW_CONTRACT	[[]]	"[[[""finished"", 4309, 0]]]"	[]	[]
4338	REVIEW_CONTRACT	"[[[""noacquired"", 2033, 0], [""noacquired"", 2300, 0], [""unfinished"", 2033, 0], [""unfinished"", 2300, 0]]]"	[[]]	[]	[]
4542	REVIEW_CONTRACT	"[[[""noacquired"", 2055, 0], [""unfinished"", 2055, 0]]]"	[[]]	[]	[]
4732	REVIEW_CONTRACT	"[[[""noacquired"", 4702, 0], [""unfinished"", 4702, 0]]]"	[[]]	[]	[]
4733	REVIEW_CONTRACT	"[[[""noacquired"", 4703, 0], [""unfinished"", 4703, 0]]]"	[[]]	[]	[]
4734	REVIEW_CONTRACT	"[[[""noacquired"", 4704, 0], [""unfinished"", 4704, 0]]]"	[[]]	[]	[]
4913	REVIEW_CONTRACT	"[[[""noacquired"", 24260, 0], [""noacquired"", 24261, 0], [""unfinished"", 24260, 0], [""unfinished"", 24261, 0]]]"	[[]]	[]	[]
4975	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 4939, 0]], [[""finished"", 25352, 0]]]"	"[[[""finished"", 4939, 0]]]"	[25352]	[]
4977	REVIEW_CONTRACT	"[[[""noacquired"", 4980, 0]]]"	[[]]	[]	[]
10032	REVIEW_CONTRACT	"[[[""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	"[[[""finished"", 10031, 0], [""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	[]	[]
10033	REVIEW_CONTRACT	"[[[""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	"[[[""finished"", 10032, 0], [""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	[]	[]
10034	REVIEW_CONTRACT	"[[[""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	"[[[""finished"", 10033, 0], [""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	[]	[]
10035	REVIEW_CONTRACT	"[[[""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	"[[[""finished"", 10031, 0], [""finished"", 10032, 0], [""finished"", 10033, 0], [""finished"", 10034, 0], [""unfinished"", 10025, 0], [""unfinished"", 14062, 0]]]"	[]	[]
10101	REVIEW_CONTRACT	[[]]	"[[[""finished"", 10100, 0]]]"	[]	[]
10507	REVIEW_CONTRACT	"[[[""finished"", 10506, 0]]]"	"[[[""finished"", 10500, 0], [""finished"", 10501, 0], [""finished"", 10502, 0], [""finished"", 10503, 0], [""finished"", 10504, 0], [""finished"", 10506, 0]]]"	[]	[]
10525	REVIEW_CONTRACT	[[]]	"[[[""finished"", 10521, 0]]]"	[]	[]
10530	REVIEW_CONTRACT	[[]]	"[[[""finished"", 10529, 0]]]"	[]	[]
11304	REVIEW_CONTRACT	"[[[""noacquired"", 10025, 0], [""unfinished"", 10025, 0]]]"	[[]]	[]	[]
11319	REVIEW_CONTRACT	"[[[""noacquired"", 11320, 0], [""noacquired"", 11321, 0], [""noacquired"", 11322, 0]]]"	[[]]	[]	[]
14016	REVIEW_CONTRACT	"[[[""noacquired"", 1020, 0], [""unfinished"", 1020, 0]]]"	"[[[""finished"", 14010, 0], [""finished"", 14011, 0], [""finished"", 14012, 0], [""finished"", 14013, 0], [""finished"", 14014, 0], [""finished"", 14015, 0], [""noacquired"", 1020, 0], [""unfinished"", 1020, 0]]]"	[]	[]
14021	REVIEW_CONTRACT	"[[[""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	"[[[""finished"", 14020, 0], [""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	[]	[]
14022	REVIEW_CONTRACT	"[[[""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	"[[[""finished"", 14020, 0], [""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	[]	[]
14023	REVIEW_CONTRACT	"[[[""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	"[[[""finished"", 14020, 0], [""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	[]	[]
14024	REVIEW_CONTRACT	"[[[""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	"[[[""finished"", 14020, 0], [""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	[]	[]
14026	REVIEW_CONTRACT	"[[[""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	"[[[""finished"", 14020, 0], [""finished"", 14021, 0], [""finished"", 14022, 0], [""finished"", 14023, 0], [""finished"", 14024, 0], [""finished"", 14025, 0], [""noacquired"", 1043, 0], [""unfinished"", 1043, 0]]]"	[]	[]
14031	REVIEW_CONTRACT	[[]]	"[[[""finished"", 14030, 0]]]"	[]	[]
14041	REVIEW_CONTRACT	"[[[""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	"[[[""finished"", 14040, 0], [""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	[]	[]
14042	REVIEW_CONTRACT	"[[[""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	"[[[""finished"", 14040, 0], [""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	[]	[]
14043	REVIEW_CONTRACT	"[[[""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	"[[[""finished"", 14040, 0], [""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	[]	[]
14044	REVIEW_CONTRACT	"[[[""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	"[[[""finished"", 14040, 0], [""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	[]	[]
14047	REVIEW_CONTRACT	"[[[""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	"[[[""finished"", 14046, 0], [""noacquired"", 1077, 0], [""unfinished"", 1077, 0]]]"	[]	[]
