quest_id,condition,step_section,counter_section,required,source_type,monster_count,monsters
3981,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,9,idlf1_sgrade_dragon_50_ah_sp idlf1_agrade_dragon_50_ah_sp idlf1_bgrade_drakanwi_50_ah_sp idlf1_cgrade_drakankn_50_ah_sp idlf1_dgrade_draky_50_ah_sp idlf1_sgrade_dragon_epicless_50_ah_sp idlf1_master_sgrade_dragon_50_ah_sp idlf1_master_agrade_dragon_50_ah_sp idlf1_master_sgrade_dragon_epicless_50_ah_sp
4122,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,adma_t_pot_sp
4123,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,idlf2a_t_odestone_sp
4726,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,iddreadgion_02_drakanbox_q3721
4727,Progress(SECTION_0==0; SECTION_1<6),0,1,6,simpleQuest,1,iddreadgion_02_drakanfihigh_55_ae
4728,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,2,iddreadgion_02_surkana_1 iddreadgion_02_surkana_2
4980,Progress(SECTION_0==0; SECTION_1<8),0,1,8,simpleQuest,10,idlf1_nm_watergolem1_50_ah idlf1_nm_watergolem1_50_ah_sp idlf1_nm_watergolem2_50_ah idlf1_nm_watergolem2_50_ah_sp idlf1_nm_watergolem3_50_ah idlf1_nm_watergolem3_50_ah_sp idlf1_f_spaller_50_ah idlf1_f_spaller_50_ah_sp idlf1_f_spaller2_50_ah idlf1_f_spaller2_50_ah_sp idlf1_f_spaller3_50_ah idlf1_f_spaller3_50_ah_sp idlf1_bioniccpu_50_ah idlf1_bioniccpu_50_ah_sp test_bionicarms_40_n idlf1_generator1_50_ah idlf1_generator1_50_ah_sp idlf1_generator2_50_ah idlf1_generator2_50_ah_sp idlf1_generator3_50_ah idlf1_generator3_50_ah_sp
4981,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,9,idlf1_sgrade_dragon_50_ah_sp idlf1_agrade_dragon_50_ah_sp idlf1_bgrade_drakanwi_50_ah_sp idlf1_cgrade_drakankn_50_ah_sp idlf1_dgrade_draky_50_ah_sp idlf1_sgrade_dragon_epicless_50_ah_sp idlf1_master_sgrade_dragon_50_ah_sp idlf1_master_agrade_dragon_50_ah_sp idlf1_master_sgrade_dragon_epicless_50_ah_sp
9574,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,lf6_c_6_named_frogfighter_68_ah
9639,Progress(SECTION_0==0; SECTION_1<2),0,1,2,simpleQuest,1,cherubiml_1_n
9657,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,cherubiml_2_n
9660,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,cherubiml_2_n
9664,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,cherubiml_2_n
9665,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,cherubiml_2_n
9700,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,2,shellizard_33_an shellizard_34_an
9701,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,2,shellizard_33_an shellizard_34_an
9702,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,2,vespa_22_n vespa_23_n
9703,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,iddramata_drakanschigh_55_ae iddramata_drakanclhigh_55_ae
11332,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,f4_raid_drakan_boss_55_ah
11333,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,f4_craid_4th_fanatic_fi_boss_55_al
11334,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,df4_field_raid_boss_55_al
11340,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v01_vritra_fi_51_an lf4_occupy_spot_q_v01_vritra_as_51_an lf4_occupy_spot_q_v01_vritra_ra_51_an lf4_occupy_spot_q_v01_vritra_wi_51_an lf4_occupy_spot_q_v01_vritra_pr_51_an
11341,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v01_da_fi_51_an lf4_occupy_spot_q_v01_da_as_51_an lf4_occupy_spot_q_v01_da_ra_51_an lf4_occupy_spot_q_v01_da_wi_51_an lf4_occupy_spot_q_v01_da_pr_51_an
11342,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v02_vritra_fi_52_an lf4_occupy_spot_q_v02_vritra_as_52_an lf4_occupy_spot_q_v02_vritra_ra_52_an lf4_occupy_spot_q_v02_vritra_wi_52_an lf4_occupy_spot_q_v02_vritra_pr_52_an
11343,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v02_da_fi_52_an lf4_occupy_spot_q_v02_da_as_52_an lf4_occupy_spot_q_v02_da_ra_52_an lf4_occupy_spot_q_v02_da_wi_52_an lf4_occupy_spot_q_v02_da_pr_52_an
11344,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v03_vritra_fi_53_an lf4_occupy_spot_q_v03_vritra_as_53_an lf4_occupy_spot_q_v03_vritra_ra_53_an lf4_occupy_spot_q_v03_vritra_wi_53_an lf4_occupy_spot_q_v03_vritra_pr_53_an
11345,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v03_da_fi_53_an lf4_occupy_spot_q_v03_da_as_53_an lf4_occupy_spot_q_v03_da_ra_53_an lf4_occupy_spot_q_v03_da_wi_53_an lf4_occupy_spot_q_v03_da_pr_53_an
11346,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v04_vritra_fi_53_an lf4_occupy_spot_q_v04_vritra_as_53_an lf4_occupy_spot_q_v04_vritra_ra_53_an lf4_occupy_spot_q_v04_vritra_wi_53_an lf4_occupy_spot_q_v04_vritra_pr_53_an
11347,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v04_da_fi_53_an lf4_occupy_spot_q_v04_da_as_53_an lf4_occupy_spot_q_v04_da_ra_53_an lf4_occupy_spot_q_v04_da_wi_53_an lf4_occupy_spot_q_v04_da_pr_53_an
11348,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v05_vritra_fi_54_an lf4_occupy_spot_q_v05_vritra_as_54_an lf4_occupy_spot_q_v05_vritra_ra_54_an lf4_occupy_spot_q_v05_vritra_wi_54_an lf4_occupy_spot_q_v05_vritra_pr_54_an
11349,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v05_da_fi_54_an lf4_occupy_spot_q_v05_da_as_54_an lf4_occupy_spot_q_v05_da_ra_54_an lf4_occupy_spot_q_v05_da_wi_54_an lf4_occupy_spot_q_v05_da_pr_54_an
11350,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v06_vritra_fi_55_an lf4_occupy_spot_q_v06_vritra_as_55_an lf4_occupy_spot_q_v06_vritra_ra_55_an lf4_occupy_spot_q_v06_vritra_wi_55_an lf4_occupy_spot_q_v06_vritra_pr_55_an
11351,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v06_da_fi_55_an lf4_occupy_spot_q_v06_da_as_55_an lf4_occupy_spot_q_v06_da_ra_55_an lf4_occupy_spot_q_v06_da_wi_55_an lf4_occupy_spot_q_v06_da_pr_55_an
11352,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v07_vritra_fi_55_an lf4_occupy_spot_q_v07_vritra_as_55_an lf4_occupy_spot_q_v07_vritra_ra_55_an lf4_occupy_spot_q_v07_vritra_wi_55_an lf4_occupy_spot_q_v07_vritra_pr_55_an
11353,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,lf4_occupy_spot_q_v07_da_fi_55_an lf4_occupy_spot_q_v07_da_as_55_an lf4_occupy_spot_q_v07_da_ra_55_an lf4_occupy_spot_q_v07_da_wi_55_an lf4_occupy_spot_q_v07_da_pr_55_an
11370,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v01_vritra_fi_51_an df4_occupy_spot_q_v01_vritra_as_51_an df4_occupy_spot_q_v01_vritra_ra_51_an df4_occupy_spot_q_v01_vritra_wi_51_an df4_occupy_spot_q_v01_vritra_pr_51_an
11371,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v01_da_fi_51_an df4_occupy_spot_q_v01_da_as_51_an df4_occupy_spot_q_v01_da_ra_51_an df4_occupy_spot_q_v01_da_wi_51_an df4_occupy_spot_q_v01_da_pr_51_an
11372,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v02_vritra_fi_52_an df4_occupy_spot_q_v02_vritra_as_52_an df4_occupy_spot_q_v02_vritra_ra_52_an df4_occupy_spot_q_v02_vritra_wi_52_an df4_occupy_spot_q_v02_vritra_pr_52_an
11373,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v02_da_fi_52_an df4_occupy_spot_q_v02_da_as_52_an df4_occupy_spot_q_v02_da_ra_52_an df4_occupy_spot_q_v02_da_wi_52_an df4_occupy_spot_q_v02_da_pr_52_an
11374,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v03_vritra_fi_53_an df4_occupy_spot_q_v03_vritra_as_53_an df4_occupy_spot_q_v03_vritra_ra_53_an df4_occupy_spot_q_v03_vritra_wi_53_an df4_occupy_spot_q_v03_vritra_pr_53_an
11375,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v03_da_fi_53_an df4_occupy_spot_q_v03_da_as_53_an df4_occupy_spot_q_v03_da_ra_53_an df4_occupy_spot_q_v03_da_wi_53_an df4_occupy_spot_q_v03_da_pr_53_an
11376,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v04_vritra_fi_53_an df4_occupy_spot_q_v04_vritra_as_53_an df4_occupy_spot_q_v04_vritra_ra_53_an df4_occupy_spot_q_v04_vritra_wi_53_an df4_occupy_spot_q_v04_vritra_pr_53_an
11377,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v04_da_fi_53_an df4_occupy_spot_q_v04_da_as_53_an df4_occupy_spot_q_v04_da_ra_53_an df4_occupy_spot_q_v04_da_wi_53_an df4_occupy_spot_q_v04_da_pr_53_an
11378,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v05_vritra_fi_54_an df4_occupy_spot_q_v05_vritra_as_54_an df4_occupy_spot_q_v05_vritra_ra_54_an df4_occupy_spot_q_v05_vritra_wi_54_an df4_occupy_spot_q_v05_vritra_pr_54_an
11379,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v05_da_fi_54_an df4_occupy_spot_q_v05_da_as_54_an df4_occupy_spot_q_v05_da_ra_54_an df4_occupy_spot_q_v05_da_wi_54_an df4_occupy_spot_q_v05_da_pr_54_an
11380,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v06_vritra_fi_55_an df4_occupy_spot_q_v06_vritra_as_55_an df4_occupy_spot_q_v06_vritra_ra_55_an df4_occupy_spot_q_v06_vritra_wi_55_an df4_occupy_spot_q_v06_vritra_pr_55_an
11381,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v06_da_fi_55_an df4_occupy_spot_q_v06_da_as_55_an df4_occupy_spot_q_v06_da_ra_55_an df4_occupy_spot_q_v06_da_wi_55_an df4_occupy_spot_q_v06_da_pr_55_an
11382,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v07_vritra_fi_55_an df4_occupy_spot_q_v07_vritra_as_55_an df4_occupy_spot_q_v07_vritra_ra_55_an df4_occupy_spot_q_v07_vritra_wi_55_an df4_occupy_spot_q_v07_vritra_pr_55_an
11383,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,5,df4_occupy_spot_q_v07_da_fi_55_an df4_occupy_spot_q_v07_da_as_55_an df4_occupy_spot_q_v07_da_ra_55_an df4_occupy_spot_q_v07_da_wi_55_an df4_occupy_spot_q_v07_da_pr_55_an
11401,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,iddramata_drakanschigh_55_ae iddramata_drakanclhigh_55_ae
11402,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,iddramata_dramata_55_al iddramata_sp_dramata_55_al
11470,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,idelim_3f_komadenm_53_ae idelim_sp_3f_komadenm_53_ae
13758,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,ldf4_advance_a_dachapire_fi_65_an ldf4_advance_a_dachapire_as_65_an
13759,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_a_dachapire_wi_65_n
13760,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_a_dachapire_pr_65_n
13761,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,ldf4_advance_d_dachapire_fi_65_an ldf4_advance_d_dachapire_as_65_an
13762,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_d_dachapire_wi_65_n
13763,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_d_dachapire_pr_65_n
13764,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,ldf4_advance_b_dachapire_fi_65_an ldf4_advance_b_dachapire_as_65_an
13765,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_b_dachapire_wi_65_n
13766,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_b_dachapire_pr_65_n
13767,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,2,ldf4_advance_c_dachapire_fi_65_an ldf4_advance_c_dachapire_as_65_an
13768,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_c_dachapire_wi_65_n
13769,Progress(SECTION_0==0; SECTION_1<5),0,1,5,simpleQuest,1,ldf4_advance_c_dachapire_pr_65_n
13770,Progress(SECTION_0==0; SECTION_1<12),0,1,12,simpleQuest,4,ldf4_advance_k_dachapire_fi_65_an ldf4_advance_k_dachapire_as_65_an ldf4_advance_k_dachapire_pr_65_n ldf4_advance_k_dachapire_wi_65_n
13840,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1131_boss_dr_1 ab1_1131_boss_dr_2 ab1_1131_boss_dr_3 ab1_1131_boss_dr_4 ab1_1131_boss_dr_5 ab1_1131_boss_dr_1_ma ab1_1131_boss_dr_2_ma ab1_1131_boss_dr_3_ma ab1_1131_boss_dr_4_ma ab1_1131_boss_dr_5_ma
13841,Progress(SECTION_0==0; SECTION_1<40),0,1,40,simpleQuest,2,leftciel_lizardfi_35_an leftciel_lizardas_35_an leftciel_lizardra_35_an leftciel_lizardpr_35_an leftciel_nagafighter_35_ae leftciel_nagamage_35_ae leftciel_nagapriest_35_ae leftciel_nagawinamedq_35_ah
13844,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1132_boss_dr_1 ab1_1132_boss_dr_2 ab1_1132_boss_dr_3 ab1_1132_boss_dr_4 ab1_1132_boss_dr_5 ab1_1132_boss_dr_1_ma ab1_1132_boss_dr_2_ma ab1_1132_boss_dr_3_ma ab1_1132_boss_dr_4_ma ab1_1132_boss_dr_5_ma
13845,Progress(SECTION_0==0; SECTION_1<40),0,1,40,simpleQuest,1,rightciel_lizardfi_35_ae rightciel_lizardas_35_ae rightciel_lizardra_35_ae rightciel_lizardpr_35_ae rightciel_lizardfiarmor_35_ae rightciel_nagamage_35_ae rightciel_nagapriest_35_ae rightciel_nagafighter_35_ae
13848,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1141_boss_dr_1 ab1_1141_boss_dr_2 ab1_1141_boss_dr_3 ab1_1141_boss_dr_4 ab1_1141_boss_dr_5 ab1_1141_boss_dr_1_ma ab1_1141_boss_dr_2_ma ab1_1141_boss_dr_3_ma ab1_1141_boss_dr_4_ma ab1_1141_boss_dr_5_ma
13849,Progress(SECTION_0==0; SECTION_1<40),0,1,40,simpleQuest,1,divine_lizardfired_35_ae divine_lizardasred_35_ae divine_lizardrared_35_ae divine_lizardprred_35_ae divine_nagafighter_35_ae divine_nagapriest_35_ae divine_nagamage_35_ae
13860,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1221_boss_dr_1 ab1_1221_boss_dr_2 ab1_1221_boss_dr_3 ab1_1221_boss_dr_4 ab1_1221_boss_dr_5
13861,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,crotan_drakanbossnamed_65_ah
13864,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1241_boss_dr_1 ab1_1241_boss_dr_2 ab1_1241_boss_dr_3 ab1_1241_boss_dr_4 ab1_1241_boss_dr_5
13865,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,lamiren_drakanbossnamed_65_ah
13868,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1231_boss_dr_1 ab1_1231_boss_dr_2 ab1_1231_boss_dr_3 ab1_1231_boss_dr_4 ab1_1231_boss_dr_5
13869,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,dkisas_drakanbossnamed_65_ah
13880,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ldf5_fortress_7011_boss_dr_1 ldf5_fortress_7011_boss_dr_2 ldf5_fortress_7011_boss_dr_3 ldf5_fortress_7011_boss_dr_4 ldf5_fortress_7011_boss_dr_5
13920,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,10,ab1_1131_guard_dr_a_1 ab1_1131_guard_dr_a_2 ab1_1131_guard_dr_a_3 ab1_1131_guard_dr_a_4 ab1_1131_guard_dr_a_5 ab1_1131_guard_dr_b_1 ab1_1131_guard_dr_b_2 ab1_1131_guard_dr_b_3 ab1_1131_guard_dr_b_4 ab1_1131_guard_dr_b_5
13921,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,10,ab1_1131_guardh_dr_a_1 ab1_1131_guardh_dr_a_2 ab1_1131_guardh_dr_a_3 ab1_1131_guardh_dr_a_4 ab1_1131_guardh_dr_a_5 ab1_1131_guardh_dr_b_1 ab1_1131_guardh_dr_b_2 ab1_1131_guardh_dr_b_3 ab1_1131_guardh_dr_b_4 ab1_1131_guardh_dr_b_5
13922,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,2,ab1_1131_door_dr ab1_1131_door_dr_ma ab1_1131_door_f_dr ab1_1131_door_f_dr_ma
13923,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,10,ab1_1132_guard_dr_a_1 ab1_1132_guard_dr_a_2 ab1_1132_guard_dr_a_3 ab1_1132_guard_dr_a_4 ab1_1132_guard_dr_a_5 ab1_1132_guard_dr_b_1 ab1_1132_guard_dr_b_2 ab1_1132_guard_dr_b_3 ab1_1132_guard_dr_b_4 ab1_1132_guard_dr_b_5
13924,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,10,ab1_1132_guardh_dr_a_1 ab1_1132_guardh_dr_a_2 ab1_1132_guardh_dr_a_3 ab1_1132_guardh_dr_a_4 ab1_1132_guardh_dr_a_5 ab1_1132_guardh_dr_b_1 ab1_1132_guardh_dr_b_2 ab1_1132_guardh_dr_b_3 ab1_1132_guardh_dr_b_4 ab1_1132_guardh_dr_b_5
13925,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,2,ab1_1132_door_dr ab1_1132_door_dr_ma ab1_1132_door_f_dr ab1_1132_door_f_dr_ma
13926,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,20,ab1_1141_guard_dr_a_1 ab1_1141_guard_dr_a_2 ab1_1141_guard_dr_a_3 ab1_1141_guard_dr_a_4 ab1_1141_guard_dr_a_5 ab1_1141_guard_dr_b_1 ab1_1141_guard_dr_b_2 ab1_1141_guard_dr_b_3 ab1_1141_guard_dr_b_4 ab1_1141_guard_dr_b_5 ab1_1142_guard_dr_a_5 ab1_1142_guard_dr_b_5 ab1_1143_guard_dr_a_5 ab1_1143_guard_dr_b_5 ab1_1144_guard_dr_a_5 ab1_1144_guard_dr_b_5 ab1_1145_guard_dr_a_5 ab1_1145_guard_dr_b_5 ab1_1146_guard_dr_a_5 ab1_1146_guard_dr_b_5
13927,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,5,ab1_1141_guardh_dr_a_1 ab1_1141_guardh_dr_a_2 ab1_1141_guardh_dr_a_3 ab1_1141_guardh_dr_a_4 ab1_1141_guardh_dr_a_5
13928,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,2,ab1_1141_door_dr ab1_1141_door_dr_ma ab1_1141_door_f_dr ab1_1141_door_f_dr_ma
13930,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,5,ab1_carrierdrop_ra_1 ab1_carrierdroph_ra_1 ab1_1221_guard_g_r_65_new1 ab1_carrierdrop_ra_2 ab1_carrierdroph_ra_2 ab1_1221_guard_g_r_65_new2 ab1_carrierdrop_ra_3 ab1_carrierdroph_ra_3 ab1_1221_guard_g_r_65_new3 ab1_carrierdrop_ra_4 ab1_carrierdroph_ra_4 ab1_1221_guard_g_r_65_new4 ab1_carrierdrop_ra_5 ab1_carrierdroph_ra_5 ab1_1221_guard_g_r_65_new5
13931,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,5,ab1_1221_commander_g_a_65_new1 ab1_1221_commander_g_a_65_new2 ab1_1221_commander_g_a_65_new3 ab1_1221_commander_g_a_65_new4 ab1_1221_commander_g_a_65_new5
13932,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1221_door_dr
13933,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,5,ab1_1241_guard_g_r_65_new1 ab1_1241_guard_g_r_65_new2 ab1_1241_guard_g_r_65_new3 ab1_1241_guard_g_r_65_new4 ab1_1241_guard_g_r_65_new5
13934,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,5,ab1_1241_commander_g_a_65_new1 ab1_1241_commander_g_a_65_new2 ab1_1241_commander_g_a_65_new3 ab1_1241_commander_g_a_65_new4 ab1_1241_commander_g_a_65_new5
13935,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1241_door_dr
13936,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,5,ab1_1231_guard_g_r_65_new1 ab1_1231_guard_g_r_65_new2 ab1_1231_guard_g_r_65_new3 ab1_1231_guard_g_r_65_new4 ab1_1231_guard_g_r_65_new5
13937,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,5,ab1_1231_commander_g_a_65_new1 ab1_1231_commander_g_a_65_new2 ab1_1231_commander_g_a_65_new3 ab1_1231_commander_g_a_65_new4 ab1_1231_commander_g_a_65_new5
13938,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1231_door_dr
13940,Progress(SECTION_0==0; SECTION_1<10),0,1,10,simpleQuest,6,ldf5_fortress_7011_guard_kn_miston_dr_1 ldf5_fortress_7011_guard_kn_miston_dr_2 ldf5_fortress_7011_guard_kn_miston_dr_3 ldf5_fortress_7011_guard_kn_miston_dr_4 ldf5_fortress_7011_guard_kn_miston_dr_5 ldf5_fortress_guardbase_dr_kn_65_ae
