quest_id	client_rows	missing_progress_actions	declared_actions	client_file
1989	5	SELECT5_3_1 SELECT5_3_1_1 SELECT5_4_1 SELECT5_4_1_1	ASK_QUEST_ACCEPT FINISH_DIALOG QUEST_ACCEPT_1 QUEST_REFUSE_1 QUEST_SELECT SELECT2_1 SELECT2_1_1 SELECT3_1 SELECT3_1_1 SELECT4_1 SELECT4_1_1 SELECT5_1 SELECT5_1_1 SELECT6_1 SELECT6_1_1 SELECT7_1 SELECT7_2 SELECT_QUEST_REWARD SETPRO1 SETPRO2 SETPRO4 SETPRO5 USE_OBJECT	QUEST_Q1989.html
2000	4	SELECT1_1 SELECT2_1 SETPRO1		QUEST_Q2000.html
2223	4	SELECT3_1	FINISH_DIALOG QUEST_SELECT SELECT2_1 SELECT2_1_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2223.html
2239	3	SETPRO2 SETPRO3	FINISH_DIALOG SELECT1_1 SELECT2_1 SELECT2_1_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2239.html
2278	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2278.html
2279	3	SELECT3_1 SETPRO2	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2279.html
2289	4	SELECT3_1 SETPRO3	FINISH_DIALOG SELECT2_1 SELECT2_1_1 SELECT_QUEST_REWARD SETPRO1 SETPRO2 USE_OBJECT	QUEST_Q2289.html
2307	3	SELECT1_1 SELECT1_2 SELECT1_3 SELECT1_4 SELECT5_1 SETPRO1 SETPRO5	FINISH_DIALOG SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q2307.html
2372	6	SELECT2_1 SELECT2_1_1 SELECT4_1 SELECT4_1_1 SETPRO2 SETPRO4	ASK_QUEST_ACCEPT CHECK_USER_HAS_QUEST_ITEM CHECK_USER_HAS_QUEST_ITEM_SIMPLE FINISH_DIALOG QUEST_ACCEPT_1 QUEST_ACCEPT_SIMPLE QUEST_REFUSE_1 QUEST_REFUSE_2 QUEST_REFUSE_SIMPLE QUEST_SELECT SELECT1_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECT_NONE_1 SELECT_QUEST_REWARD SETPRO1 SET_SUCCEED USE_OBJECT	QUEST_Q2372.html
2428	3	SELECT3_1 SETPRO2	QUEST_SELECT SELECT2_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2428.html
2480	3	SELECT3_1 SETPRO2	QUEST_SELECT SELECT2_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2480.html
2515	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2515.html
2523	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2523.html
2538	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2538.html
2600	3	SELECT3_1	FINISH_DIALOG QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2600.html
2901	2	SELECT1_1 SELECT1_1_1	FINISH_DIALOG QUEST_REFUSE_1 QUEST_SELECT SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2901.html
2902	2	SELECT1_1 SELECT1_1_1	FINISH_DIALOG QUEST_REFUSE_1 QUEST_SELECT SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2902.html
2903	2	SELECT1_1 SELECT1_1_1	FINISH_DIALOG QUEST_REFUSE_1 QUEST_SELECT SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2903.html
2904	2	SELECT1_1 SELECT1_1_1	FINISH_DIALOG QUEST_REFUSE_1 QUEST_SELECT SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2904.html
2912	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2912.html
2913	3	SELECT3_1 SELECT4_1 SETPRO2	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2913.html
2917	3	SELECT3_1 SETPRO2	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q2917.html
2920	2	SELECT3_1 SELECT3_1_1 SELECT3_1_1_1 SETPRO1 SETPRO2	SELECT2_1 SELECT2_1_1 SELECT2_1_1_1 SELECT_NONE_1 SELECT_NONE_1_1 SELECT_QUEST_REWARD SETPRO11 SETPRO12 USE_OBJECT	QUEST_Q2920.html
2947	10	SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	FINISH_DIALOG QUEST_SELECT SELECT1_1 SELECT1_1_1 SELECT1_1_2 SELECT3_1 SELECT4_1 SELECT_QUEST_REWARD SETPRO12 SETPRO3 SETPRO4 USE_OBJECT	QUEST_Q2947.html
2964	2	SELECT2_1 SETPRO1	QUEST_SELECT SELECT1_1 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q2964.html
3050	5	SELECT1_1_1 SETPRO1	ASK_QUEST_ACCEPT FINISH_DIALOG QUEST_ACCEPT_1 QUEST_REFUSE_1 QUEST_SELECT SELECT1_1 SELECT_QUEST_REWARD SET_SUCCEED USE_OBJECT	QUEST_Q3050.html
3088	6	SELECT4_1 SELECT5_1 SELECT5_1_1 SELECT6_1 SELECT8_1 SETPRO4 SETPRO5 SETPRO6 SETPRO8	FINISH_DIALOG SELECT1 SELECT1_1 SELECT1_2 SELECT1_3 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 SETPRO2 SETPRO3 SETPRO7 USE_OBJECT	QUEST_Q3088.html
3093	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q3093.html
3209	2	SELECT2_1	QUEST_SELECT SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q3209.html
3218	2	SELECT2_1 SETPRO1	QUEST_SELECT SELECT1_1 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q3218.html
3970	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q3970.html
3973	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q3973.html
4052	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q4052.html
4218	2	SELECT2_1 SETPRO1	QUEST_SELECT SELECT1_1 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q4218.html
4712	2	SETPRO1	SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q4712.html
4905	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q4905.html
4906	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q4906.html
4937	8	SELECT7_1	FINISH_DIALOG QUEST_SELECT SELECT1_1 SELECT2_1 SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD SETPRO1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SET_SUCCEED USE_OBJECT	QUEST_Q4937.html
4942	11	SELECT9_1	CHECK_USER_HAS_QUEST_ITEM FINISH_DIALOG QUEST_SELECT SELECT1 SELECT1_1 SELECT1_1_1 SELECT1_1_2 SELECT1_2 SELECT1_2_1 SELECT1_2_2 SELECT1_3 SELECT1_3_1 SELECT1_3_2 SELECT2_1 SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECT7_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD SETPRO1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SET_SUCCEED USE_OBJECT	QUEST_Q4942.html
9554	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7		QUEST_Q9554.html
9555	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7		QUEST_Q9555.html
9556	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7		QUEST_Q9556.html
9557	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7		QUEST_Q9557.html
