quest_id	client_rows	missing_progress_actions	shape	row_state_verdict	reward_var0	client_last_row	visible_state_var0
2443	2	SETPRO1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
2449	2	SETPRO1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
2480	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2513	2	SELECT3_1 SETPRO1 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
2515	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2523	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2538	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2600	3	SELECT3_1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2646	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2692	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2767	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2912	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2913	3	SELECT3_1 SELECT4_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2917	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2947	10	SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	INTERIOR_GAP	ROW_WITHOUT_STATE	None	9	0 4 5 9
2962	3	SELECT3_1 SELECT3_2 SETPRO1 SETPRO3 SETPRO4	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
3050	5	SELECT1_1_1 SETPRO1	INTERIOR_GAP	ROW_WITHOUT_STATE	3	4	0 2 3
3088	6	SELECT4_1 SELECT5_1 SELECT5_1_1 SELECT6_1 SELECT8_1 SETPRO1 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SETPRO8	STATES_BEYOND_ROWS	BOTH_MISALIGNED	None	5	0 2 6 8
3093	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
3966	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	3	0
3968	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	3	0
3970	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
3973	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
4052	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
4501	3	SELECT3_1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
4542	6	SELECT3_1 SELECT3_2 SELECT5_1 SELECT6_1 SETPRO1 SETPRO3 SETPRO5 SETPRO6	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	5	0
4712	2	SETPRO1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
4905	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
4906	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
4937	8	SELECT7_1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	7	0 1 2 3 4 5 6
4942	11	SELECT9_1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	10	0 1 2 3 4 5 6 7 8
9554	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7	NO_STATE	ROW_WITHOUT_STATE	None	0	
9555	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7	NO_STATE	ROW_WITHOUT_STATE	None	0	
9556	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7	NO_STATE	ROW_WITHOUT_STATE	None	0	
9557	1	SELECT1_1 SELECT1_2 SELECT1_3 SETPRO1 SETPRO3 SETPRO7	NO_STATE	ROW_WITHOUT_STATE	None	0	
