world_id,name,geo,terrain,path,terrain_disabled,spots,mobile_spots,mobile_geo_covered,mobile_path_dependent,mobile_no_projection,mobile_no_projection_no_runtime,bucket
301220000,Iron_Wall_Warfront,True,True,True,False,191,126,21,105,0,0,OK
301230000,Illuminary_Obelisk,True,True,True,False,33,4,0,4,0,0,OK
301310000,Idgel_Dome,True,True,True,False,31,23,13,10,0,0,OK
301320000,Lucky_Ophidan_Bridge,True,True,True,False,127,118,63,55,0,0,OK
301330000,Lucky_Danuar_Reliquary,True,True,True,False,7,4,3,1,0,0,OK
301360000,Infernal_Danuar_Reliquary,True,True,True,False,8,5,3,2,0,0,OK
301370000,Infernal_Illuminary_Obelisk,True,True,True,False,37,4,0,4,0,0,OK
301380000,Danuar_Sanctuary,True,True,True,False,253,141,78,63,0,0,OK
301400000,The_Shugo_Emperor_Vault,True,True,True,False,267,185,79,106,0,0,OK
301500000,Stonespear_Reach,True,True,True,False,4,2,0,2,0,0,OK
301590000,Emperor_Trillirunerk_Safe,True,True,True,False,199,118,5,113,0,0,OK
301640000,Secret_Munitions_Factory,True,True,True,False,88,74,71,3,0,0,OK
301660000,Fallen_Poeta,True,True,True,False,87,60,1,59,0,0,OK
301670000,Ophidan_Warpath,True,True,True,False,208,148,72,76,0,0,OK
301680000,Idgel_Dome_Landmark,True,True,True,False,41,25,23,2,0,0,OK
301700000,IDRun,True,True,True,False,3109,64,46,18,0,0,OK
301720000,Mirash_Sanctuary,True,True,True,False,138,61,19,42,0,0,OK
302000000,Smoldering_Fire_Temple,True,True,True,False,117,67,1,66,0,0,OK
302100000,Fissure_Of_Oblivion,True,True,True,False,217,40,5,35,0,0,OK
302110000,Opportunity_Fissure_Of_Oblivion,True,True,True,False,219,40,5,35,0,0,OK
302200000,Dredgion_Defense_Sanctum,True,True,True,False,643,456,12,444,0,0,OK
302300000,Dredgion_Defense_Pandaemonium,True,True,True,False,617,467,0,467,0,0,OK
302330000,Kumuki_Cave,True,True,True,False,148,89,36,53,0,0,OK
302340000,Bastion_Of_Souls,True,True,True,False,340,228,114,114,0,0,OK
302350000,Evergale_Canyon,True,True,True,False,499,457,63,394,0,0,OK
302380000,Grand_Arena_Of_Tenacity,True,True,True,False,16,8,8,0,0,0,OK
302410000,Grand_Arena_Of_Tenacity,True,True,True,False,16,8,8,0,0,0,OK
310160000,Divine_Tower_L,True,True,True,False,235,170,128,42,0,0,OK
320110000,Alquimia_Research_Center,True,True,True,False,133,117,113,4,0,0,OK
320150000,Padmarashka's_Cave,True,True,True,False,65,59,18,41,0,0,OK
320160000,Divine_Tower_D,True,True,True,False,271,200,144,56,0,0,OK
400030000,Transidium Annex,True,True,True,False,221,125,13,112,0,0,OK
600010000,Silentera_Canyon,True,True,True,False,394,313,6,307,0,0,OK
600040000,Tiamaranta_Eye,True,True,True,False,1069,730,0,730,0,0,OK
600050000,Katalam,True,True,True,False,6953,6524,0,6524,0,0,OK
600080000,Live_Party_Concert_Hall,True,True,True,False,31,28,3,25,0,0,OK
600090000,Kaldor,True,True,True,False,3002,2230,3,2227,0,0,OK
600100000,Levinshor,True,True,True,False,5338,4772,1264,3508,0,0,OK
600110000,Silentera_Canyon [Master Server],True,True,True,False,402,316,295,21,0,0,OK
700010000,Oriel,True,True,True,False,1998,1798,1160,638,0,0,OK
710010000,Pernon,True,True,True,False,1959,1729,985,744,0,0,OK
720010000,Oriel_Studio,True,True,True,False,2,0,0,0,0,0,OK
730010000,Pernon_Studio,True,True,True,False,2,0,0,0,0,0,OK
110020000,Cloister_Of_Kaisinel,True,False,True,True,25,24,22,2,0,0,PATH_ONLY
110070000,Kaisinel_Academy,True,False,True,True,82,61,26,35,0,0,PATH_ONLY
120020000,Convent_Of_Marchutan,True,False,True,True,32,29,22,7,0,0,PATH_ONLY
130090000,Wisplight_Abbey,True,False,True,True,29,18,13,5,0,0,PATH_ONLY
140010000,Fatebound_Abbey,True,False,True,True,30,18,14,4,0,0,PATH_ONLY
210080000,Griffoen,True,False,True,True,1,1,1,0,0,0,PATH_ONLY
210110000,Tower_Of_Eternity,True,False,True,True,17,10,5,5,0,0,PATH_ONLY
220090000,Habrok,True,False,True,True,1,1,0,1,0,0,PATH_ONLY
220120000,Tower_Of_Eternity,True,False,True,True,19,12,5,7,0,0,PATH_ONLY
300060000,Sulfur_Tree_Nest,True,False,True,True,175,95,95,0,0,0,PATH_ONLY
300070000,Hamate_Isle_Storeroom,True,False,True,True,66,60,1,59,0,0,PATH_ONLY
300080000,Left_Wing_Chamber,True,False,True,True,175,151,83,68,0,0,PATH_ONLY
300090000,Right_Wing_Chamber,True,False,True,True,105,101,90,11,0,0,PATH_ONLY
300100000,Steel Rake,True,False,True,True,926,857,492,365,0,0,PATH_ONLY
300110000,Baranath_Dredgion,True,False,True,True,177,151,71,80,0,0,PATH_ONLY
300120000,Grave_Of_Steel_Storeroom,True,False,True,True,237,207,182,25,0,0,PATH_ONLY
300130000,Twilight_Battlefield_Storeroom,True,False,True,True,234,204,202,2,0,0,PATH_ONLY
300140000,Isle_Of_Roots_Storeroom,True,False,True,True,236,206,204,2,0,0,PATH_ONLY
300150000,Udas_Temple,True,False,True,True,242,205,159,46,0,0,PATH_ONLY
300160000,Lower_Udas_Temple,True,False,True,True,468,454,299,155,0,0,PATH_ONLY
300190000,Taloc's_Hollow,True,False,True,True,373,334,208,126,0,0,PATH_ONLY
300210000,Chantra_Dredgion,True,False,True,True,266,206,76,130,0,0,PATH_ONLY
300230000,Kromede's_Trial,True,False,True,True,203,157,157,0,0,0,PATH_ONLY
300240000,Aturam_Sky_Fortress,True,False,True,True,534,453,175,278,0,0,PATH_ONLY
300241000,Event_Aturam_Sky_Fortress,True,False,True,True,541,453,175,278,0,0,PATH_ONLY
300440000,Terath_Dredgion,True,False,True,True,270,221,76,145,0,0,PATH_ONLY
300460000,Steel_Rake_Cabin,True,False,True,True,224,187,183,4,0,0,PATH_ONLY
300520000,Dragon_Lord_Refuge,True,False,True,True,13,4,4,0,0,0,PATH_ONLY
300630000,Anguished_Dragon_Lord's_Refuge,True,False,True,True,13,4,4,0,0,0,PATH_ONLY
300700000,The_Hexway,True,False,True,True,215,185,73,112,0,0,PATH_ONLY
300800000,Infinity_Shard,True,False,True,True,39,12,7,5,0,0,PATH_ONLY
301270000,Linkgate_Foundry,True,False,True,True,63,3,0,3,0,0,PATH_ONLY
301340000,Linkgate_Foundry,True,False,True,True,17,8,5,3,0,0,PATH_ONLY
301390000,Drakenspire_Depths,True,False,True,True,147,87,21,66,0,0,PATH_ONLY
301510000,Sealed_Argent_Manor,True,False,True,True,123,98,28,70,0,0,PATH_ONLY
301520000,Drakenspire_Depths,True,False,True,True,119,89,8,81,0,0,PATH_ONLY
301540000,Archives_Of_Eternity,True,False,True,True,507,371,6,365,0,0,PATH_ONLY
301550000,Cradle_Of_Eternity,True,False,True,True,636,406,202,204,0,0,PATH_ONLY
301560000,Trials_Of_Eternity,True,False,True,True,195,159,5,154,0,0,PATH_ONLY
301570000,Archives_Of_Eternity,True,False,True,True,55,42,7,35,0,0,PATH_ONLY
301600000,Adma's_Fall,True,False,True,True,41,36,18,18,0,0,PATH_ONLY
301610000,Theobomos_Test_Chamber,True,False,True,True,45,40,17,23,0,0,PATH_ONLY
301620000,Drakenseer's_Lair,True,False,True,True,17,9,0,9,0,0,PATH_ONLY
301630000,Contaminated_Underpath,True,False,True,True,47,1,0,1,0,0,PATH_ONLY
301631000,Event_Contaminated_Underpath,True,False,True,True,38,2,1,1,0,0,PATH_ONLY
301650000,Ashunatal_Dredgion,True,False,True,True,252,201,71,130,0,0,PATH_ONLY
302320000,Hall_Of_Tenacity,True,False,True,True,60,58,0,58,0,0,PATH_ONLY
302370000,Grand_Arena_Group_Camp,True,False,True,True,60,58,0,58,0,0,PATH_ONLY
302390000,Grand_Arena_Training_Camp,True,False,True,True,60,58,0,58,0,0,PATH_ONLY
302400000,Tower_ Of_ Challenge,True,False,True,True,51,0,0,0,0,0,PATH_ONLY
302420000,Grand_Arena_Training_Camp,True,False,True,True,60,58,0,58,0,0,PATH_ONLY
310010000,Karamatis_A,True,False,True,True,54,22,22,0,0,0,PATH_ONLY
310020000,Karamatis_B,True,False,True,True,54,22,22,0,0,0,PATH_ONLY
310030000,Aerdina,True,False,True,True,16,13,2,11,0,0,PATH_ONLY
310040000,Geranaia,True,False,True,True,11,7,7,0,0,0,PATH_ONLY
310050000,Aetherogenetics_Lab,True,False,True,True,90,75,74,1,0,0,PATH_ONLY
310060000,Fragment_Of_Darkness,True,False,True,True,2,1,1,0,0,0,PATH_ONLY
310070000,Sliver_Of_Darkness,True,False,True,True,3,1,1,0,0,0,PATH_ONLY
310080000,Sanctum_Underground_Arena,True,False,True,True,13,12,12,0,0,0,PATH_ONLY
310090000,Indratu_Fortress,True,False,True,True,201,193,191,2,0,0,PATH_ONLY
310100000,Azoturan_Fortress,True,False,True,True,224,221,219,2,0,0,PATH_ONLY
310110000,Theobomos_Lab,True,False,True,True,441,406,310,96,0,0,PATH_ONLY
310120000,Ataxiar_A,True,False,True,True,142,141,140,1,0,0,PATH_ONLY
320010000,Ataxiar_B,True,False,True,True,40,18,18,0,0,0,PATH_ONLY
320020000,Ataxiar_C,True,False,True,True,40,18,18,0,0,0,PATH_ONLY
320030000,Bregirun,True,False,True,True,16,12,2,10,0,0,PATH_ONLY
320040000,Nidalber,True,False,True,True,11,7,7,0,0,0,PATH_ONLY
320050000,Sky_Temple_Interior,True,False,True,True,270,264,145,119,0,0,PATH_ONLY
320070000,Space_Of_Destiny,True,False,True,True,1,1,0,1,0,0,PATH_ONLY
320080000,Draupnir_Cave,True,False,True,True,873,842,785,57,0,0,PATH_ONLY
320090000,Triniel_Underground_Arena,True,False,True,True,12,11,10,1,0,0,PATH_ONLY
320100000,Fire_Temple,True,False,True,True,242,186,116,70,0,0,PATH_ONLY
320120000,Shadow_Court_Dungeon,True,False,True,True,57,56,41,15,0,0,PATH_ONLY
320130000,Adma_Stronghold,True,False,True,True,692,665,575,90,0,0,PATH_ONLY
320140000,Ataxiar_D,True,False,True,True,169,149,147,2,0,0,PATH_ONLY
400010000,Reshanta,True,False,True,True,17104,12167,2472,9695,0,0,PATH_ONLY
400020000,Belus,True,False,True,True,3411,2617,359,2258,0,0,PATH_ONLY
400040000,Aspida,True,False,True,True,3408,2615,359,2256,0,0,PATH_ONLY
400050000,Atanatos,True,False,True,True,3408,2615,359,2256,0,0,PATH_ONLY
400060000,Disillon,True,False,True,True,3396,2603,359,2244,0,0,PATH_ONLY
