quest_id	status	rows	setpro_chains	reward_chains	row_to_npc	candidate_npcs	chain_seq	xml_states	xml_pages
1938	MANUAL	3	2	1	0:Shugo_LF3_1->?(?) | 1:LF3_Nakaching_E->805836(LF3_Nakaching_E) | 2:Likasas->?(?)	203703:likesan	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT1 SELECT5
2223	MANUAL	4	1	1	0:Lamir->203620(lamir) | 1:-->?(?) | 2:Gefion->203616(gefion) | 3:Lamir->203620(lamir)	203616:gefion	SETPRO1:select2>select2_1>select2_1_1 ; SELECT_QUEST_REWARD:select5	started@0 step1@1 reward@1	SELECT1 SELECT2 SELECT2_1 SELECT2_1_1 SELECT3_1 SELECT3_2 SELECT5 SELECT_QUEST SHOW_SELECT_QUEST_REWARD_WINDOW1
2239	MANUAL	3	3	0	0:Vovetirn->203630(vovetirn) | 1:Vovetirn->203630(vovetirn) | 2:Gilungk->203613(gilungk)	203613:gilungk 203630:vovetirn	SETPRO1:select2_1>select2_1_1 ; SETPRO2:select3_2 ; SETPRO3:select4	started@0 reward@0	CHECK_USER_ITEM_FAIL SELECT1 SELECT1_1 SELECT2 SELECT2_1 SELECT2_1_1 SHOW_SELECT_QUEST_REWARD_WINDOW1
2289	MANUAL	4	3	0	0:-->?(?) | 1:Gefion->203616(gefion) | 2:Skanin->203618(skanin) | 3:Gefion->203616(gefion)	203616:gefion 203618:skanin	SETPRO1:quest_accept_1 ; SETPRO2:select2>select2_1>select2_1_1 ; SETPRO3:select3>select3_1	started@0 reward@0	CHECK_USER_ITEM_FAIL SELECT1 SELECT2 SELECT2_1 SELECT2_1_1 SHOW_SELECT_QUEST_REWARD_WINDOW1
2307	MANUAL	3	2	0	0:Spedor->204336(spedor) | 1:Spedor->204336(spedor) | 2:Fathir->?(?)	204336:spedor 204378:favyr 700247:aromatic soup	SETPRO1:select5_2 ; SETPRO5:select5>select5_1	started@0 reward@0	CHECK_USER_ITEM_FAIL DEFAULT_SUCCESS SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
2372	MANUAL	6	3	0	0:Shugo_DF2_4->?(?) | 1:Shugo_DF2_9->?(?) | 2:Shugo_DF2_9->?(?) | 3:Bulagan->204408(bulagan) | 4:Shugo_DF2_3->?(?) | 5:Shugo_DF2_3->?(?)	798079:padinerk	SETPRO1:select1>select1_1 ; SETPRO2:select2>select2_1>select2_1_1 ; SETPRO4:select4>select4_1>select4_1_1 ; SET_SUCCEED:select5	started@0 reward@1	CHECK_USER_ITEM_FAIL QUEST_ACCEPT_1 QUEST_REFUSE_1 SELECT1_1 SELECT5 SELECT_NONE SELECT_NONE_1 SELECT_QUEST SHOW_ASK_QUEST_ACCEPT_WINDOW SHOW_SELECT_QUEST_REWARD_WINDOW1
2449	MANUAL	2	1	1	0:-->?(?) | 1:Shugo_DF2_4->?(?)	798080:sarinerk 798115:chaomirk	SETPRO1:select1>select1_1 ; SELECT_QUEST_REWARD:select_success	started@0 reward@1	DEFAULT_SUCCESS SELECT1_1 SELECT_NONE SELECT_NONE_1
2513	MANUAL	2	3	1	0:-->?(?) | 1:Gnalin->204732(gnalin)	204732:gnalin	SETPRO1:select1>select1_1 ; SETPRO2:select2>select2_1 ; SETPRO3:select3>select3_1 ; SELECT_QUEST_REWARD:select_success	started@0 reward@1	SELECT1_1 SELECT2 SELECT2_1 SELECT_NONE SELECT_QUEST SHOW_SELECT_QUEST_REWARD_WINDOW1
2600	MANUAL	3	1	1	0:Shugo_DF3_12->?(?) | 1:Horu->204734(horu) | 2:Shugo_DF3_12->?(?)	204734:horu	SETPRO1:select2>select2_1 ; SELECT_QUEST_REWARD:select5	started@0 s1@1 reward@0	SELECT1 SELECT2 SELECT2_1 SELECT5 SELECT6 SHOW_SELECT_QUEST_REWARD_WINDOW1
2646	MANUAL	4	3	1	0:Dewi->204777(dewi) | 1:Thor->283027(thor) | 2:Nerthus->?(?) | 3:Svafnir->204817(svafnir)	204700:thor 204702:nerita 204777:dewi 204817:svafnir	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SETPRO3:select4>select4_1 ; SELECT_QUEST_REWARD:select5	started@0 stage1@1 stage2@2 reward@0	DEFAULT_SUCCESS SELECT1 SELECT2 SELECT2_1
2692	MANUAL	4	3	1	0:Lanse->204108(lanse) | 1:Shugo_AB1_D3->?(?) | 2:Ab1_NPC_LugBug->?(?) | 3:LabB_BeholderNamedQ_43_Ae->?(?)	204108:lanse 212164:deshirung the blimp 279027:Kaoranerk 279029:Lugbug	SETPRO1:select2_1 ; SETPRO2:select3>select3_1 ; SETPRO3:select4>select4_1 ; SELECT_QUEST_REWARD:select5	started@0 stage1@1 stage2@2 reward@0	DEFAULT_SUCCESS SELECT1 SELECT1_1 SELECT2 SELECT2_1
2767	MANUAL	3	2	1	0:Shugo_AB1_16->?(?) | 1:Shugo_AB1_29->?(?) | 2:Shugo_AB1_D2->?(?)	279004:tierunerk 279026:Sienrurerk 279061:Baorunerk	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 stage1@1 reward@0	DEFAULT_SUCCESS SELECT1 SELECT1_1 SELECT2 SELECT2_1
2947	MANUAL	10	8	2	0:Kvasir->204053(kvasir) | 1:Aegir->204301(aegir) | 2:Galm->?(?) | 3:Aegir->204301(aegir) | 4:-->?(?) | 5:Aegir->204301(aegir) | 6:-->?(?) | 7:Galm->?(?) | 8:Galm->?(?) | 9:Aegir->204301(aegir)		SETPRO2:select2>select2_1 ; SETPRO3:select3>select3_1 ; SETPRO3:select3_2 ; SETPRO4:select4>select4_1 ; SETPRO11:select1_1_1_1 ; SETPRO12:select1>select1_1>select1_1_1 ; SETPRO12:select1_1_1_2 ; SETPRO13:select1_1_1_3 ; SELECT_QUEST_REWARD:select8 ; SELECT_QUEST_REWARD:select9	s0@0 s4@4 s5@5 s9@9	QUEST_COMPLETE SELECT1 SELECT1_1 SELECT1_1_1 SELECT1_1_1_2 SELECT1_1_2 SELECT3 SELECT3_1 SELECT4 SELECT4_1 SELECT_QUEST SHOW_SELECT_QUEST_REWARD_WINDOW1
2962	MANUAL	3	4	0	0:Berg->278067(berg) | 1:Jafnhar->278137(jafnhar) | 2:Srudgelmir->?(?)	204253:khrudgelmir 278067:berg 278137:jafnhar	SETPRO1:select1>select1_1>select1_1_1 ; SETPRO2:select2>select2_1 ; SETPRO3:select3>select3_1 ; SETPRO4:select3>select3_2	started@0 reward@0	SELECT1_1 SELECT1_1_1 SELECT2 SELECT2_1 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
3050	MANUAL	5	1	1	0:-->?(?) | 1:-->?(?) | 2:Maeleagros->?(?) | 3:Maeleagros->?(?) | 4:Rosina->798190(rosina)	798190:rosina	SETPRO1:select1>select1_1>select1_1_1 ; SET_SUCCEED:select4 ; SELECT_QUEST_REWARD:select_success	started@0 v2@2 v3@3 reward@3	DEFAULT_SUCCESS QUEST_ACCEPT_1 QUEST_REFUSE_1 SELECT1 SELECT1_2 SELECT4 SELECT_NONE SELECT_QUEST SHOW_ASK_QUEST_ACCEPT_WINDOW
3088	MANUAL	6	8	3	0:Shugo_LF2a_17->?(?) | 1:Shugo_LF2a_16->?(?) | 2:Shugo_LF2a_19->?(?) | 3:Shugo_LF2a_16->?(?) | 4:Shugo_LF2a_1->?(?) | 5:Grynos->798166(grynos)	798132:yadamonerk 798166:grynos 798201:jiufarinerk 798202:tassinerk 798204:guorinerk	SETPRO1:quest_accept_1>select1_1 ; SETPRO2:select2>select2_1 ; SETPRO3:quest_accept_1>select1_2 ; SETPRO4:select4>select4_1 ; SETPRO5:select5_1>select5_1_1 ; SETPRO6:select6>select6_1 ; SETPRO7:quest_accept_1>select1_3 ; SETPRO8:select8>select8_1 ; SELECT_QUEST_REWARD:select3 ; SELECT_QUEST_REWARD:select7 ; SELECT_QUEST_REWARD:select9	started@0 reward1@2 reward2@6 reward3@8	CHECK_USER_ITEM_FAIL SELECT1 SELECT1_1 SELECT1_2 SELECT1_3 SELECT2 SELECT2_1 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1 SHOW_SELECT_QUEST_REWARD_WINDOW2 SHOW_SELECT_QUEST_REWARD_WINDOW3
3966	MANUAL	4	3	1	0:Deurone->203994(deurone) | 1:Seora->?(?) | 2:Erone->204568(erone) | 3:Andu->798391(andu)	203994:deurone 204030:celestine 204568:erone 798391:andu	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SETPRO3:select4>select4_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT1 SELECT2 SELECT2_1 SELECT6 SHOW_SELECT_QUEST_REWARD_WINDOW1
3968	AUTO	4	3	1	0:Jahmanok->209473(Jahmanok) | 1:Orhes->204528(orhes) | 2:Adelphie->203927(adelphie) | 3:Palentine->798390(palentine)	203927:adelphie 204528:orhes 798176:jamanok 798390:palentine	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SETPRO3:select4>select4_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT1 SELECT2 SELECT2_1 SELECT6 SHOW_SELECT_QUEST_REWARD_WINDOW1
4501	AUTO	3	2	1	0:Tekor->204340(tekor) | 1:Virashak->204348(virashak) | 2:Lapion->204728(lapion)	204340:tekor 204348:virashak 204728:lapion	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT1 SELECT1_1 SELECT2 SELECT2_1 SHOW_SELECT_QUEST_REWARD_WINDOW1
4542	MANUAL	6	5	1	0:Rubelik->204743(rubelik) | 1:Sleipnirr->?(?) | 2:Esnu->204808(esnu) | 3:Esnu->204808(esnu) | 4:Esnu->204808(esnu) | 5:Sleipnirr->?(?)	204743:rubelik 204768:sleipnir 204808:esnu	SETPRO1:select1>select1_1>select1_2 ; SETPRO2:select2_1>select2_2 ; SETPRO3:select3>select3_1>select3_2 ; SETPRO5:select5>select5_1 ; SETPRO6:select6>select6_1 ; SELECT_QUEST_REWARD:select6	started@0 reward@0	CHECK_USER_ITEM_FAIL SELECT1_1 SELECT1_2 SELECT2 SELECT2_1 SELECT2_2 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
4712	MANUAL	2	1	1	0:IDAB1_Dreadgion_prisoner_dark->?(?) | 1:Henir->279042(henir)	279042:henir 798327:Captured Asmodian Scholar 798330:Captured Asmodian Scholar	SETPRO1:select1 ; SELECT_QUEST_REWARD:select_success	started@0 reward@0	DEFAULT_SUCCESS SELECT_NONE
4942	MANUAL	11	12	1	0:Kvasir->204053(kvasir) | 1:Logi->204104(logi) | 2:Lanse->204108(lanse) | 3:Kinterun->204106(kinterun) | 4:Zyakia->204110(zyakia) | 5:Lainita->204100(lainita) | 6:Honir->204102(honir) | 7:-->?(?) | 8:Usener->798317(usener) | 9:Balder->204075(balder) | 10:Kvasir->204053(kvasir)	204053:kvasir	SETPRO1:select1>select1_1>select1_1_1 ; SETPRO2:select1>select1_1>select1_1_2 ; SETPRO3:select1>select1_2>select1_2_1 ; SETPRO4:select1>select1_2>select1_2_2 ; SETPRO5:select1>select1_3>select1_3_1 ; SETPRO6:select1>select1_3>select1_3_2 ; SETPRO7:select2>select2_1 ; SETPRO7:select3>select3_1 ; SETPRO7:select4>select4_1 ; SETPRO7:select5>select5_1 ; SETPRO7:select6>select6_1 ; SETPRO7:select7>select7_1 ; SET_SUCCEED:select9>select9_1 ; SELECT_QUEST_REWARD:select_success	started@0 s1@1 s2@2 s3@3 s4@4 s5@5 s6@6 s7@7 s8@8 reward@0	CHECK_USER_ITEM_FAIL CHECK_USER_ITEM_OK DEFAULT_SUCCESS SELECT1 SELECT1_1 SELECT1_1_1 SELECT1_1_2 SELECT1_2 SELECT1_2_1 SELECT1_2_2 SELECT1_3 SELECT1_3_1 SELECT1_3_2 SELECT2 SELECT2_1 SELECT3 SELECT3_1 SELECT4 SELECT4_1 SELECT5 SELECT5_1 SELECT6 SELECT6_1 SELECT7 SELECT7_1 SELECT8 SELECT9_1 SELECT9_2 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
