quest_id	legacy_calls	reward_var0	client_rows	verdict	row_state_verdict	classification
3096	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
3547	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3712	defaultCloseDialog(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
3718	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3722	useQuestItem(0->0)	0	2	ROW_BEHIND	ROW_WITHOUT_STATE	QE045_LOCKED
3921	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3933	defaultCloseDialog(6->6)	6	8	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3934	defaultCloseDialog(8->8)	8	10	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3935	defaultCloseDialog(4->4)	4	6	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3936	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3937	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3938	defaultCloseDialog(8->8)	8	11	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3939	defaultCloseDialog(3->3)	3	5	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3940	defaultCloseDialog(5->5)	5	7	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3961	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
3962	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
3963	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
3964	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
3965	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4038	changeQuestStep(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
4074	changeQuestStep(0->0)	0	0	NO_CLIENT_HTML	NO_CLIENT_HTML	STEP_EQUALS_NEXTSTEP
4210	defaultCloseDialog(1->1)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4502	checkQuestItems(2->2)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4542	changeQuestStep(5->6)	5	6	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
4712	defaultCloseDialog(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
4718	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4722	useQuestItem(0->0)	0	2	ROW_BEHIND	ROW_WITHOUT_STATE	QE045_LOCKED
4905	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4906	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4913	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4921	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4938	defaultCloseDialog(8->8)	9	10	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4939	defaultCloseDialog(4->4)	5	6	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4940	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4941	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4942	defaultCloseDialog(8->8)	0	11	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
4943	defaultCloseDialog(3->3)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4944	defaultCloseDialog(5->5)	0	7	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
4966	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
4967	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
4968	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
4969	changeQuestStep(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
4970	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4971	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4972	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4973	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4974	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
4976	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
9999	checkQuestItems(5->6)					NO_AUDIT_DATA
10100	useQuestItem(4->4)	4	6	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
10101	defaultCloseDialog(8->9)	8	9	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
10501	checkQuestItems(6->7)	7	7	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
10504	checkQuestItems(3->4)	4	4	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
10527	useQuestItem(14->15)	15	16	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
10528	changeQuestStep(11->12)	12	13	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
10530	checkQuestItems(8->9)	9	11	ROW_BEHIND	ROW_WITHOUT_STATE	ALIGNED_TO_NEXTSTEP
11003	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
11006	useQuestItem(2->2)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11031	useQuestItem(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
11032	useQuestItem(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
11033	useQuestItem(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
11036	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11051	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11052	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11053	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11054	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11055	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11076	defaultCloseDialog(3->4)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
11077	changeQuestStep(2->3)	0	3	ROW_BEHIND	ROW_STATE_ALIGNED	OTHER
11103	defaultCloseDialog(2->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11123	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11143	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11147	changeQuestStep(4->4)	4	6	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
11216	checkQuestItems(1->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
11233	defaultCloseDialog(2->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11319	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11340	changeQuestStep(5->6)					NO_AUDIT_DATA
11341	changeQuestStep(5->6)					NO_AUDIT_DATA
11342	changeQuestStep(5->6)					NO_AUDIT_DATA
11343	changeQuestStep(5->6)					NO_AUDIT_DATA
11344	changeQuestStep(5->6)					NO_AUDIT_DATA
11345	changeQuestStep(5->6)					NO_AUDIT_DATA
11346	changeQuestStep(5->6)					NO_AUDIT_DATA
11347	changeQuestStep(5->6)					NO_AUDIT_DATA
11348	changeQuestStep(5->6)					NO_AUDIT_DATA
11349	changeQuestStep(5->6)					NO_AUDIT_DATA
11350	changeQuestStep(5->6)					NO_AUDIT_DATA
11351	changeQuestStep(5->6)					NO_AUDIT_DATA
11352	changeQuestStep(5->6)					NO_AUDIT_DATA
11353	changeQuestStep(5->6)					NO_AUDIT_DATA
11370	changeQuestStep(5->6)					NO_AUDIT_DATA
11371	changeQuestStep(5->6)					NO_AUDIT_DATA
11372	changeQuestStep(5->6)					NO_AUDIT_DATA
11373	changeQuestStep(5->6)					NO_AUDIT_DATA
11374	changeQuestStep(5->6)					NO_AUDIT_DATA
11375	changeQuestStep(5->6)					NO_AUDIT_DATA
11376	changeQuestStep(5->6)					NO_AUDIT_DATA
11377	changeQuestStep(5->6)					NO_AUDIT_DATA
11378	changeQuestStep(5->6)					NO_AUDIT_DATA
11379	changeQuestStep(5->6)					NO_AUDIT_DATA
11380	changeQuestStep(5->6)					NO_AUDIT_DATA
11381	changeQuestStep(5->6)					NO_AUDIT_DATA
11382	changeQuestStep(5->6)					NO_AUDIT_DATA
11383	changeQuestStep(5->6)					NO_AUDIT_DATA
11460	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
11465	changeQuestStep(0->0)	1	1	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
11466	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13305	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13700	changeQuestStep(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13701	changeQuestStep(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13702	changeQuestStep(4->5)	4	3	ROW_AHEAD	STATE_OUT_OF_RANGE	OTHER
13703	changeQuestStep(1->2)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
13704	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13705	changeQuestStep(3->4)	3	2	ROW_AHEAD	BOTH_MISALIGNED	OTHER
13708	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13809	changeQuestStep(3->4)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
13812	changeQuestStep(0->0)	1	1	ROW_AHEAD	BOTH_MISALIGNED	STEP_EQUALS_NEXTSTEP
13830	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13831	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13832	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13833	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13834	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13880	changeQuestStep(1->2)	1	2	ROW_ALIGNED	ROW_WITHOUT_STATE	OTHER
13902	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13950	changeQuestStep(2->4)	4	4	ROW_AHEAD	BOTH_MISALIGNED	ALIGNED_TO_NEXTSTEP
13951	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
13952	changeQuestStep(0->0)	1	2	ROW_ALIGNED	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
13953	changeQuestStep(1->2)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
13956	changeQuestStep(4->5)	5	6	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
13967	changeQuestStep(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
14021	defaultCloseDialog(9->9)	9	6	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
14022	changeQuestStep(7->7)	7	4	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
14023	checkQuestItems(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
14024	changeQuestStep(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14025	defaultCloseDialog(5->6)	6	7	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
14046	defaultCloseDialog(6->6)	7	8	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14054	defaultCloseDialog(4->4)	4	9	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
14120	checkQuestItems(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14121	checkQuestItems(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14122	checkQuestItems(2->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14150	checkQuestItems(1->2)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
14201	changeQuestStep(2->2)	0	3	ROW_BEHIND	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
14211	changeQuestStep(0->0)	None	1	NO_REWARD_ROW	ROW_STATE_ALIGNED	NO_AUDIT_DATA
14220	changeQuestStep(1->1)	0	3	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
15000	checkQuestItems(0->0)	0	4	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
15002	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15010	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15011	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15012	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15021	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15022	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15043	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15044	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15052	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15053	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
15066	checkQuestItems(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
