quest	rows	field	section0_values	script	unsatisfied	verdict
4211	2	var0	[0, 1]	Progress(SECTION_1<1; SECTION_0==0) | Progress(SECTION_2<1; SECTION_0==0) | Progress(SECTION_3<1; SECTION_0==0) | Progress(SECTION_4==0; SECTION_0==0)	-	OK
4502	4	var0	[0, 1, 2, 3]	Progress(SECTION_1<1; SECTION_0==2) | Progress(SECTION_2<1; SECTION_0==2) | Progress(SECTION_3<1; SECTION_0==2)	-	OK
4718	2	var0	[0, 1]	Progress(SECTION_0==0; SECTION_2<8)	-	OK
4725	2	-	[]	Progress(SECTION_0==0; SECTION_2<15)	SECTION_0==0	NO_SECTION0_FIELD
9685	0	-	[]	Progress(SECTION_0==1; SECTION_1<5)	-	NO_DEFINITION
10020	0	-	[]	Progress(SECTION_1<10; SECTION_0==3) | Progress(SECTION_2<2; SECTION_0==3)	-	NO_DEFINITION
10021	0	-	[]	Progress(SECTION_0==6; SECTION_2<20)	-	NO_DEFINITION
10022	0	-	[]	Progress(SECTION_0==2; SECTION_1<10) | Progress(SECTION_0==2; SECTION_2<10)	-	NO_DEFINITION
10073	0	-	[]	Progress(SECTION_0==6; SECTION_1<1) | Progress(SECTION_0==6; SECTION_2<1) | Progress(SECTION_0==6; SECTION_3<1) | Progress(SECTION_0==6; SECTION_4<1)	-	NO_DEFINITION
10528	13	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	Progress(SECTION_0==4; SECTION_1<10) | Progress(SECTION_0==4; SECTION_2<1)	-	OK
10529	12	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	Progress(SECTION_0==6; SECTION_1<7) | Progress(SECTION_0==6; SECTION_2<3)	-	OK
11149	2	var0	[0]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1) | Progress(SECTION_0==0; SECTION_3<1)	-	OK
11250	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11252	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11254	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11256	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11258	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11260	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11262	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11264	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11266	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11296	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11298	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11300	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
11468	2	-	[]	Progress(SECTION_0==0; SECTION_1<10) | Progress(SECTION_0==0; SECTION_2<5) | Progress(SECTION_0==0; SECTION_3<3)	SECTION_0==0 SECTION_0==0 SECTION_0==0	NO_SECTION0_FIELD
14012	4	var0	[0, 1]	Progress(SECTION_1<=4; SECTION_0==1) | Progress(SECTION_2<=2; SECTION_0==1)	-	OK
14013	4	var0	[0, 1]	Progress(SECTION_1<=4; SECTION_0==1) | Progress(SECTION_2<=6; SECTION_0==1) | Progress(SECTION_2==7; SECTION_1==5; SECTION_0==1)	-	OK
14025	7	var0	[0, 1, 2, 3, 4, 5, 6]	Progress(SECTION_1<4; SECTION_0==5) | Progress(SECTION_2<1; SECTION_0==5)	-	OK
14054	9	var0	[0, 1, 2, 3, 4]	Progress(SECTION_1<6; SECTION_0==12) | Progress(SECTION_1<6; SECTION_0==2) | Progress(SECTION_1==6; SECTION_2==3; SECTION_0==13) | Progress(SECTION_1==6; SECTION_2==3; SECTION_0==3) | Progress(SECTION_2<3; SECTION_0==12) | Progress(SECTION_2<3; SECTION_0==2)	SECTION_0==12 SECTION_0==13 SECTION_0==12	UNREACHABLE
17511	12	var0	[0, 1, 4, 5, 8, 9, 10, 11]	Progress(SECTION_0==10) | Progress(SECTION_1<=4; SECTION_0==0) | Progress(SECTION_1<=4; SECTION_0==4) | Progress(SECTION_1<=4; SECTION_0==8)	-	OK
18208	3	var0	[0, 1, 2]	Progress(SECTION_0==0; SECTION_1<5) | Progress(SECTION_0==1; SECTION_2<1)	-	OK
18209	3	var0	[0, 1, 2]	Progress(SECTION_0==0; SECTION_1<5) | Progress(SECTION_0==1; SECTION_2<1)	-	OK
18402	0	-	[]	Progress(SECTION_0==0; SECTION_1<5)	-	NO_DEFINITION
18502	0	-	[]	Progress(SECTION_0==1; SECTION_1<1) | Progress(SECTION_0==1; SECTION_2<1) | Progress(SECTION_2==1; SECTION_1==1; SECTION_0==1) Progress(2)	-	NO_DEFINITION
18932	2	var0	[0, 1]	Progress(SECTION_0==0; SECTION_2<10)	-	OK
20021	0	-	[]	Progress(SECTION_0==4; SECTION_1<5) | Progress(SECTION_0==4; SECTION_2<5) | Progress(SECTION_0==7; SECTION_3<20) | Progress(SECTION_3==20; SECTION_0==7) Progress(8)	-	NO_DEFINITION
20022	0	-	[]	Progress(SECTION_0==3; SECTION_1<5)	-	NO_DEFINITION
20023	0	-	[]	Progress(SECTION_1==4; SECTION_0==7) Progress(8)	-	NO_DEFINITION
20024	0	-	[]	Progress(SECTION_0==2; SECTION_1<5) | Progress(SECTION_0==2; SECTION_2<10)	-	NO_DEFINITION
20073	0	-	[]	Progress(SECTION_0==6; SECTION_1<1) | Progress(SECTION_0==6; SECTION_2<1) | Progress(SECTION_0==6; SECTION_3<1) | Progress(SECTION_0==6; SECTION_4<1)	-	NO_DEFINITION
20528	13	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	Progress(SECTION_0==4; SECTION_1<10) | Progress(SECTION_0==4; SECTION_2<1)	-	OK
20529	12	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	Progress(SECTION_0==6; SECTION_1<7) | Progress(SECTION_0==6; SECTION_2<3)	-	OK
21250	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21252	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21254	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21256	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21258	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21260	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21262	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21264	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21266	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21297	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21299	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21301	0	-	[]	Progress(SECTION_0==0; SECTION_1<1) | Progress(SECTION_0==0; SECTION_2<1)	-	NO_DEFINITION
21468	2	-	[]	Progress(SECTION_0==0; SECTION_1<10) | Progress(SECTION_0==0; SECTION_2<5) | Progress(SECTION_0==0; SECTION_3<3)	SECTION_0==0 SECTION_0==0 SECTION_0==0	NO_SECTION0_FIELD
24030	10	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	Progress(SECTION_1<=50; SECTION_0==6)	-	OK
24071	0	-	[]	Progress(SECTION_1<3; SECTION_0==6) | Progress(SECTION_1<5; SECTION_0==6) | Progress(SECTION_3<6; SECTION_0==7)	-	NO_DEFINITION
27511	12	var0	[0, 1, 4, 5, 8, 9, 10, 11]	Progress(SECTION_0==10) | Progress(SECTION_1<=4; SECTION_0==0) | Progress(SECTION_1<=4; SECTION_0==4) | Progress(SECTION_1<=4; SECTION_0==8)	-	OK
28208	3	var0	[0, 1, 2]	Progress(SECTION_0==0; SECTION_1<5) | Progress(SECTION_0==1; SECTION_2<1)	-	OK
28209	3	var0	[0, 1, 2]	Progress(SECTION_0==0; SECTION_1<5) | Progress(SECTION_0==1; SECTION_2<1)	-	OK
28402	0	-	[]	Progress(SECTION_0==0; SECTION_1<5)	-	NO_DEFINITION
28502	0	-	[]	Progress(SECTION_0==1; SECTION_1<1) | Progress(SECTION_0==1; SECTION_2<1) | Progress(SECTION_2==1; SECTION_1==1; SECTION_0==1) Progress(2)	-	NO_DEFINITION
28932	2	var0	[0, 1]	Progress(SECTION_0==0; SECTION_2<10)	-	OK
30203	3	var0	[0, 1]	Progress(SECTION_0<1)	-	OK
30303	3	var0	[0, 1]	Progress(SECTION_0<1)	-	OK
30604	2	var0	[0, 1]	Progress(SECTION_0==0; SECTION_2<15)	-	OK
30614	2	var0	[0]	Progress(SECTION_0==0; SECTION_2<15)	-	OK
41556	0	-	[]	Progress(SECTION_0==0; SECTION_1<7)	-	NO_DEFINITION
