quest_id	client_rows	last_row_slot	last_row_row	current_reward_var0	legacy_persisted	verdict_before	action	legacy_basis
3732	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultOnKillEvent(env,256693,1,true)：var0==1 时 setStatus
3933	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(6,6,true,false,0)
3934	10	27	9	8	8	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(8,8,true,false,0)
3935	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(4,4,true,false,0)
3939	5	12	4	3	3	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(3,3,true,false,0)
4200	5	12	4	3	3	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	205233 && var0==3 时 setStatus(REWARD)
4722	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestItem(item,0,0,true)
10100	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestItem(item,4,4,true)
10530	11	27	9	9	8/9	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	checkQuestItems(8,9,true) 停 8；SELECT_REWARD setStatus
11010	4	9	3	0	3	ROW_BEHIND	FIX:REWARD_PROJECTION_0_TO_3	defaultCloseDialog(2,3) 写 3 -> SELECT_REWARD setStatus
11040	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultFollowEndEvent(1,1,true)
11147	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(4,4,true)
11149	2	12	4	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	checkReward 只改 var1..3，var0 保持 0
11467	5	12	4	None	0..3	NO_REWARD_ROW	OBSERVE:MULTI_REWARD_NODES	changeQuestStep(var,var,true)，reward0..3 全覆盖
13965	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==0 时 setStatus(REWARD)
14016	4	9	3	2	2	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestObject(2,2,true,false)
14041	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==6 时 setStatus(REWARD)
14042	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultFollowEndEvent(4,4,true,270)
14044	5	12	4	3	3	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestObject(3,3,true,false)
14047	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==6 时 setStatus(REWARD)
14112	3	24	8	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	onKill 0->1；SELECT_REWARD setStatus（落盘 1）
14123	3	24	8	0	1	ROW_BEHIND	FIX:REWARD_PROJECTION_0_TO_1_AND_HANDOVER	defaultOnKillEvent(206360,0,1) 写 1；SELECT_REWARD setStatus
15300	15	42	14	13	13	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(13,14,true) 停 13
15307	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	CHECK_COLLECTED_ITEMS setStatus（不写 var0）
15674	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	CHECK_COLLECTED_ITEMS setStatus（不写 var0）
18500	5	12	4	3	3	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(3,3,true)
19008	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	STEP_TO_10/20 setQuestVarById(0,1)；203788 setStatus
19014	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
19020	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
19026	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
19032	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
19038	13	36	12	11	11	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	checkItemExistence(11,11,true,...)
20100	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestItem(item,4,4,true)
21075	4	9	3	None	1/2	NO_REWARD_ROW	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(1,1,true,false) / defaultCloseDialog(2,2,true,false)
23965	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==0 时 setStatus(REWARD)
24041	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==6 时 setStatus(REWARD)
24042	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultFollowEndEvent(4,4,true,290)
24043	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(6,6,true,false)
24044	8	21	7	6	6	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(6,6,true,false)
24045	6	15	5	4	4	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	Gaochinerk STEP_TO_5 var0==4 时 setStatus
24112	3	24	8	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	onKill 0->1；SELECT_REWARD setStatus
24120	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
24123	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
25300	15	42	14	13	13	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(13,14,true) 停 13
25307	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	CHECK_COLLECTED_ITEMS setStatus（不写 var0）
25674	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	CHECK_COLLECTED_ITEMS setStatus（不写 var0）
28500	5	12	4	3	3	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(3,3,true)
29014	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
29020	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
29026	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
29032	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
29038	13	36	12	11	11	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	checkItemExistence(11,11,true,...)
30057	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	getQuestVars()!=0 直接 return；var0==0 时 setStatus
30158	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	同上
30208	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	SET_REWARD setStatus（不写 var0）
50008	2	3	1	0	3	ROW_BEHIND	OBSERVE:COUNTER_SATURATION	setQuestVarById(0,+1)（2->3）+ setStatus
51008	2	3	1	0	3	ROW_BEHIND	OBSERVE:COUNTER_SATURATION	同上
51010	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
51020	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
51022	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
80690	3	15	5	1	None	ROW_BEHIND	OBSERVE:COUNTER_SLOT	legacy 无 Java handler（quest_data.xml 仅元数据）
